SO4_vial_no,Date,Month,Year,Campaign,Site,Zone,Rep,Depth,Tree,Sample Name
1,202211,November,2022,MonMon,MSM,UP,LysA,10cm,,1_202211_MSM_UP_LysA_10cm
10,202211,November,2022,MonMon,MSM,TR,LysA,20cm,,10_202211_MSM_TR_LysA_20cm
100,202211,November,2022,MonMon,GCrew,TR,LysC,45cm,,100_202211_GCrew_TR_LysC_45cm
100,202211,November,2022,MonMon,GCrew,TR,LysC,45cm,,100_202211_GCrew_TR_LysC_45cm
100,202211,November,2022,MonMon,GCrew,TR,LysC,45cm,,100_202211_GCrew_TR_LysC_45cm
100,202211,November,2022,MonMon,GCrew,TR,LysC,45cm,,100_202211_GCrew_TR_LysC_45cm
101,202211,November,2022,MonMon,GCrew,WC,SipA,10cm,,101_202211_GCrew_WC_SipA_10cm
102,202211,November,2022,MonMon,GCrew,WC,SipA,20cm,,102_202211_GCrew_WC_SipA_20cm
103,202211,November,2022,MonMon,GCrew,WC,SipA,45cm,,103_202211_GCrew_WC_SipA_45cm
104,202211,November,2022,MonMon,GCrew,WC,SipB,10cm,,104_202211_GCrew_WC_SipB_10cm
105,202211,November,2022,MonMon,GCrew,WC,SipB,20cm,,105_202211_GCrew_WC_SipB_20cm
106,202211,November,2022,MonMon,GCrew,WC,SipB,45cm,,106_202211_GCrew_WC_SipB_45cm
107,202211,November,2022,MonMon,GCrew,WC,SipC,10cm,,107_202211_GCrew_WC_SipC_10cm
108,202211,November,2022,MonMon,GCrew,WC,SipC,20cm,,108_202211_GCrew_WC_SipC_20cm
109,202211,November,2022,MonMon,GCrew,WC,SipC,45cm,,109_202211_GCrew_WC_SipC_45cm
11,202211,November,2022,MonMon,MSM,TR,LysA,45cm,,11_202211_MSM_TR_LysA_45cm
110,202211,November,2022,MonMon,GCrew,SW,A,,,110_202211_GCrew_SW_A
111,202211,November,2022,MonMon,GCrew,SW,B,,,111_202211_GCrew_SW_B
112,202211,November,2022,MonMon,GCrew,SW,C,,,112_202211_GCrew_SW_C
113,202211,November,2022,MonMon,GWI,UP,LysA,10cm,,113_202211_GWI_UP_LysA_10cm
114,202211,November,2022,MonMon,GWI,UP,LysA,20cm,,114_202211_GWI_UP_LysA_20cm
115,202211,November,2022,MonMon,GWI,UP,LysA,45cm,,115_202211_GWI_UP_LysA_45cm
116,202211,November,2022,MonMon,GWI,UP,LysB,10cm,,116_202211_GWI_UP_LysB_10cm
117,202211,November,2022,MonMon,GWI,UP,LysB,20cm,,117_202211_GWI_UP_LysB_20cm
118,202211,November,2022,MonMon,GWI,UP,LysC,10cm,,118_202211_GWI_UP_LysC_10cm
119,202211,November,2022,MonMon,GWI,UP,LysC,20cm,,119_202211_GWI_UP_LysC_20cm
119,202211,November,2022,MonMon,GWI,UP,LysC,20cm,,119_202211_GWI_UP_LysC_20cm
119,202211,November,2022,MonMon,GWI,UP,LysC,20cm,,119_202211_GWI_UP_LysC_20cm
119,202211,November,2022,MonMon,GWI,UP,LysC,20cm,,119_202211_GWI_UP_LysC_20cm
12,202211,November,2022,MonMon,MSM,TR,LysB,10cm,,12_202211_MSM_TR_LysB_10cm
120,202211,November,2022,MonMon,GWI,TR,LysA,10cm,,120_202211_GWI_TR_LysA_10cm
121,202211,November,2022,MonMon,GWI,TR,LysA,20cm,,121_202211_GWI_TR_LysA_20cm
122,202211,November,2022,MonMon,GWI,TR,LysA,45cm,,122_202211_GWI_TR_LysA_45cm
123,202211,November,2022,MonMon,GWI,TR,LysB,10cm,,123_202211_GWI_TR_LysB_10cm
124,202211,November,2022,MonMon,GWI,TR,LysB,20cm,,124_202211_GWI_TR_LysB_20cm
125,202211,November,2022,MonMon,GWI,TR,LysB,45cm,,125_202211_GWI_TR_LysB_45cm
126,202211,November,2022,MonMon,GWI,TR,LysC,10cm,,126_202211_GWI_TR_LysC_10cm
127,202211,November,2022,MonMon,GWI,TR,LysC,20cm,,127_202211_GWI_TR_LysC_20cm
128,202211,November,2022,MonMon,GWI,TR,LysC,45cm,,128_202211_GWI_TR_LysC_45cm
129,202211,November,2022,MonMon,GWI,WC,SipA,10cm,,129_202211_GWI_WC_SipA_10cm
13,202211,November,2022,MonMon,MSM,TR,LysB,20cm,,13_202211_MSM_TR_LysB_20cm
130,202211,November,2022,MonMon,GWI,WC,SipA,20cm,,130_202211_GWI_WC_SipA_20cm
131,202211,November,2022,MonMon,GWI,WC,SipA,45cm,,131_202211_GWI_WC_SipA_45cm
132,202211,November,2022,MonMon,GWI,WC,SipB,10cm,,132_202211_GWI_WC_SipB_10cm
133,202211,November,2022,MonMon,GWI,WC,SipB,20cm,,133_202211_GWI_WC_SipB_20cm
134,202211,November,2022,MonMon,GWI,WC,SipB,45cm,,134_202211_GWI_WC_SipB_45cm
135,202211,November,2022,MonMon,GWI,WC,SipC,10cm,,135_202211_GWI_WC_SipC_10cm
136,202211,November,2022,MonMon,GWI,WC,SipC,20cm,,136_202211_GWI_WC_SipC_20cm
137,202211,November,2022,MonMon,GWI,SW,A,,,137_202211_GWI_SW_A
138,202211,November,2022,MonMon,GWI,SW,B,,,138_202211_GWI_SW_B
139,202211,November,2022,MonMon,GWI,SW,C,,,139_202211_GWI_SW_C
14,202211,November,2022,MonMon,MSM,TR,LysB,45cm,,14_202211_MSM_TR_LysB_45cm
140,202211,November,2022,MonMon,GWI,TR,RHZ,SF,1,140_202211_GWI_RHZ_TR_SF_1
141,202211,November,2022,MonMon,GWI,TR,RHZ,SF,2,141_202211_GWI_RHZ_TR_SF_2
142,202211,November,2022,MonMon,GWI,TR,RHZ,SF,3,142_202211_GWI_RHZ_TR_SF_3
143,202211,November,2022,MonMon,GWI,TR,RHZ,SF,4,143_202211_GWI_RHZ_TR_SF_4
144,202211,November,2022,MonMon,GWI,TR,RHZ,SF,5,144_202211_GWI_RHZ_TR_SF_5
145,202211,November,2022,MonMon,GWI,TR,RHZ,SF,6,145_202211_GWI_RHZ_TR_SF_6
146,202211,November,2022,MonMon,GWI,TR,RHZ,SF,7,146_202211_GWI_RHZ_TR_SF_7
147,202211,November,2022,MonMon,GWI,TR,RHZ,SF,8,147_202211_GWI_RHZ_TR_SF_8
15,202211,November,2022,MonMon,MSM,TR,LysB,10cm,,15_202211_MSM_TR_LysB_10cm
16,202211,November,2022,MonMon,MSM,TR,LysB,20cm,,16_202211_MSM_TR_LysB_20cm
17,202211,November,2022,MonMon,MSM,TR,LysB,45cm,,17_202211_MSM_TR_LysB_45cm
18,202211,November,2022,MonMon,MSM,WC,SipA,10cm,,18_202211_MSM_WC_SipA_10cm
19,202211,November,2022,MonMon,MSM,WC,SipA,20cm,,19_202211_MSM_WC_SipA_20cm
2,202211,November,2022,MonMon,MSM,UP,LysA,20cm,,2_202211_MSM_UP_LysA_20cm
20,202211,November,2022,MonMon,MSM,WC,SipA,45cm,,20_202211_MSM_WC_SipA_45cm
21,202211,November,2022,MonMon,MSM,WC,SipB,10cm,,21_202211_MSM_WC_SipB_10cm
22,202211,November,2022,MonMon,MSM,WC,SipB,20cm,,22_202211_MSM_WC_SipB_20cm
23,202211,November,2022,MonMon,MSM,WC,SipB,45cm,,23_202211_MSM_WC_SipB_45cm
24,202211,November,2022,MonMon,MSM,WC,SipC,10cm,,24_202211_MSM_WC_SipC_10cm
25,202211,November,2022,MonMon,MSM,WC,SipC,20cm,,25_202211_MSM_WC_SipC_20cm
26,202211,November,2022,MonMon,MSM,WC,SipC,45cm,,26_202211_MSM_WC_SipC_45cm
27,202211,November,2022,MonMon,MSM,SW,A,,,27_202211_MSM_SW_A
28,202211,November,2022,MonMon,MSM,SW,B,,,28_202211_MSM_SW_B
29,202211,November,2022,MonMon,MSM,SW,C,,,29_202211_MSM_SW_C
3,202211,November,2022,MonMon,MSM,UP,LysB,10cm,,3_202211_MSM_UP_LysB_10cm
30,202211,November,2022,MonMon,MSM,UP,RHZ,SF,1,30_202211_MSM_RHZ_UP_SF_1
31,202211,November,2022,MonMon,MSM,UP,RHZ,SF,2,31_202211_MSM_RHZ_UP_SF_2
32,202211,November,2022,MonMon,MSM,UP,RHZ,SF,3,32_202211_MSM_RHZ_UP_SF_3
33,202211,November,2022,MonMon,MSM,UP,RHZ,SF,4,33_202211_MSM_RHZ_UP_SF_4
34,202211,November,2022,MonMon,MSM,UP,RHZ,SF,5,34_202211_MSM_RHZ_UP_SF_5
35,202211,November,2022,MonMon,MSM,UP,RHZ,SF,6,35_202211_MSM_RHZ_UP_SF_6
36,202211,November,2022,MonMon,MSM,UP,RHZ,SF,7,36_202211_MSM_RHZ_UP_SF_7
37,202211,November,2022,MonMon,MSM,UP,RHZ,SF,8,37_202211_MSM_RHZ_UP_SF_8
38,202211,November,2022,MonMon,MSM,TR,RHZ,SF,1,38_202211_MSM_RHZ_TR_SF_1
39,202211,November,2022,MonMon,MSM,TR,RHZ,SF,2,39_202211_MSM_RHZ_TR_SF_2
4,202211,November,2022,MonMon,MSM,UP,LysB,20cm,,4_202211_MSM_UP_LysB_20cm
40,202211,November,2022,MonMon,MSM,TR,RHZ,SF,3,40_202211_MSM_RHZ_TR_SF_3
41,202211,November,2022,MonMon,MSM,TR,RHZ,SF,4,41_202211_MSM_RHZ_TR_SF_4
42,202211,November,2022,MonMon,MSM,TR,RHZ,SF,6,42_202211_MSM_RHZ_TR_SF_6
43,202211,November,2022,MonMon,MSM,TR,RHZ,SF,7,43_202211_MSM_RHZ_TR_SF_7
44,202211,November,2022,MonMon,MSM,WC,RHZ,,Col1,44_202211_MSM_RHZ_WC_Col1
45,202211,November,2022,MonMon,MSM,WC,RHZ,,SipA,45_202211_MSM_RHZ_WC_SipA
46,202211,November,2022,MonMon,MSM,WC,RHZ,,Col2,46_202211_MSM_RHZ_WC_Col2
47,202211,November,2022,MonMon,MSM,WC,RHZ,,SipB,47_202211_MSM_RHZ_WC_SipB
48,202211,November,2022,MonMon,MSM,WC,RHZ,,Col3,48_202211_MSM_RHZ_WC_Col3
49,202211,November,2022,MonMon,MSM,WC,RHZ,,Col4,49_202211_MSM_RHZ_WC_Col4
5,202211,November,2022,MonMon,MSM,UP,LysB,45cm,,5_202211_MSM_UP_LysB_45cm
50,202211,November,2022,MonMon,MSM,WC,RHZ,,SipC,50_202211_MSM_RHZ_WC_SipC
51,202211,November,2022,MonMon,MSM,WC,RHZ,,Col5,51_202211_MSM_RHZ_WC_Col5
52,202211,November,2022,MonMon,MSM,UP,PPR,,1,52_202211_MSM_PPR_UP_1
53,202211,November,2022,MonMon,MSM,UP,PPR,,2,53_202211_MSM_PPR_UP_2
54,202211,November,2022,MonMon,MSM,UP,PPR,,3,54_202211_MSM_PPR_UP_3
55,202211,November,2022,MonMon,MSM,UP,PPR,,4,55_202211_MSM_PPR_UP_4
56,202211,November,2022,MonMon,MSM,UP,PPR,,5,56_202211_MSM_PPR_UP_5
57,202211,November,2022,MonMon,MSM,UP,PPR,,6,57_202211_MSM_PPR_UP_6
