"","Year","Site","Zone","Depth_cm","min_Cl_mM","max_Cl_mM","mean_Cl_mM","sd_Cl_mM","min_SO4_mM","max_SO4_mM","mean_SO4_mM","sd_SO4_mM"
"1",2022,"GCW","SW",0,135.0245,227.8106,173.9111,36.5728,19.4132,33.7543,25.4248,5.4871
"2",2022,"GCW","TR",10,0,24.1551,2.5506,6.2518,0,2.7345,0.7626,0.7631
"3",2022,"GCW","TR",20,0.1057,2.3971,0.7819,0.6317,0,1.1317,0.4484,0.3578
"4",2022,"GCW","TR",45,0.06,3.7801,1.3703,1.5348,0.0849,4.9516,0.9335,1.3637
"5",2022,"GCW","UP",10,0,2.7117,0.4798,0.8462,0.0439,0.7869,0.1926,0.2327
"6",2022,"GCW","UP",20,0.0345,0.7428,0.2616,0.1987,0.0456,0.7707,0.1906,0.1955
"7",2022,"GCW","UP",45,0.041,0.8216,0.3379,0.3163,0.0436,0.2748,0.2034,0.0779
"8",2022,"GCW","WC",10,93.4752,136.7668,115.5287,21.6573,8.9009,22.6711,14.5992,7.1854
"9",2022,"GCW","WC",20,115.6286,249.1716,160.5224,76.7746,8.6632,16.2736,12.2713,3.8205
"10",2022,"GCW","WC",45,134.2545,140.5786,136.9746,3.2534,0.7945,4.5384,2.4603,1.9057
"11",2022,"GWI","SW",0,353.9812,436.5188,401.0277,22.1622,53.482,82.957,62.4633,7.3175
"12",2022,"GWI","TR",10,94.4672,411.2474,274.8872,101.0474,12.2784,58.9878,40.5021,14.7739
"13",2022,"GWI","TR",20,173.2714,381.184,265.9292,60.2543,4.6854,50.4176,25.4354,12.5209
"14",2022,"GWI","TR",45,150.3007,319.1767,240.6935,39.8165,19.7552,46.2402,30.8836,7.6899
"15",2022,"GWI","UP",10,34.4515,253.3531,121.036,55.2391,4.6398,35.654,17.0136,7.9955
"16",2022,"GWI","UP",20,89.6458,262.039,174.954,54.273,13.1391,35.7126,23.8155,6.9658
"17",2022,"GWI","UP",45,120.8709,270.2913,160.4257,42.6401,17.0215,36.9841,22.2709,5.5727
"18",2022,"MSM","SW",0,105.0988,540.7399,351.1423,136.689,15.669,80.1226,55.09,21.694
"19",2022,"MSM","TR",10,66.6451,194.8654,118.3724,39.6158,9.7999,35.2483,16.4711,7.3407
"20",2022,"MSM","TR",20,76.0021,193.951,110.9907,39.6074,5.2882,41.3411,14.2896,8.3643
"21",2022,"MSM","TR",45,85.4332,206.3429,116.3581,30.6222,8.9078,43.2932,17.2335,8.2286
"22",2022,"MSM","UP",10,18.4667,92.267,33.155,18.7489,2.6841,8.2548,3.7494,1.3726
