"","Site","Zone","Depth_cm","min_Cl_ppm","max_Cl_ppm","mean_Cl_ppm","sd_Cl_ppm","min_SO4_ppm","max_SO4_ppm","mean_SO4_ppm","sd_SO4_ppm"
"1","GCW","SW",0,2166.0136,9214.8406,5646.4139,1973.9527,325.2328,1235.1054,756.3953,261.5102
"2","GCW","TR",10,0,5788.8372,734.7383,1478.1554,0,766.8754,94.2397,172.8582
"3","GCW","TR",20,1.5851,4799.3341,445.442,1032.2355,0,520.6013,41.4923,90.1149
"4","GCW","TR",45,1.9038,2891.2196,286.0544,566.0201,0.9206,158.7476,17.8993,26.7862
"5","GCW","UP",10,0,96.1308,8.0915,20.1143,0.2337,25.2283,5.1881,5.6209
"6","GCW","UP",20,0,26.3339,4.4155,5.9665,0.2163,24.7076,5.4587,5.0381
"7","GCW","UP",45,1.2722,80.6304,18.4158,25.5171,1.3993,13.7793,7.3603,3.2375
"8","GCW","WC",10,1707.6564,7799.589,5368.1941,1475.9535,31.6015,1044.0764,489.5031,239.5482
"9","GCW","WC",20,2213.8176,8833.1347,5481.415,1350.8418,134.6521,990.5352,457.0447,208.1832
"10","GCW","WC",45,3909.8845,8642.368,5608.3938,811.4432,25.4716,848.2726,307.4004,163.4003
"11","GWI","SW",0,108.1539,19356.5144,12571.0513,2676.3831,1193.2984,2659.6013,1752.8721,271.1766
"12","GWI","TR",10,1764.9857,14578.7194,8807.2862,3090.1319,200.3206,1927.0838,1134.5779,428.6267
"13","GWI","TR",20,4860.5994,13512.9722,9333.7423,1808.3115,150.2146,1616.3877,913.4614,341.5607
"14","GWI","TR",45,5328.1588,14243.4464,9090.4831,1561.39,633.3503,1665.617,1054.3414,223.2556
"15","GWI","UP",10,0,8981.3661,3876.1155,2083.4652,0,1143.0658,498.6839,259.8164
"16","GWI","UP",20,6.9319,9289.2814,4767.0581,1949.2891,1.8771,1144.9459,600.2646,213.4138
"17","GWI","UP",45,7.0467,9581.8268,4992.1974,1746.7515,0,1185.7101,615.728,213.3056
"18","GWI","WC",10,6438.5843,16941.3424,11671.3189,2419.3725,686.7787,2799.2596,1522.5629,468.7679
"19","GWI","WC",20,8196.6248,20448.131,12436.5375,2312.7666,0.002,2556.713,1486.4711,445.2604
"20","GWI","WC",45,8628.6595,21806.253,12853.7137,2069.6106,1199.1944,2368.0439,1539.4995,225.2132
"21","MSM","SW",0,3725.7517,19169.2282,9201.1299,3133.6273,502.3477,2568.7298,1260.8403,443.4205
"22","MSM","TR",10,2151.0362,9276.7225,5618.829,2052.2948,242.6754,1244.6733,657.2851,256.4736
"23","MSM","TR",20,2694.2745,7707.0974,4969.0329,1289.3345,169.541,1325.3953,510.3074,182.1455
"24","MSM","TR",45,2438.3969,7314.8545,4873.9406,1118.0429,254.7283,1387.9801,534.8917,175.4759
"25","MSM","UP",10,0,3270.8644,1021.519,634.3426,43.7542,264.6481,107.8826,46.0547
"26","MSM","UP",20,382.7669,3696.9521,1571.7824,679.6064,53.8198,386.0512,150.7137,55.1423
"27","MSM","UP",45,0,3709.1606,2118.3377,643.5493,0,647.3701,207.6073,96.3446
"28","MSM","WC",10,5340.6275,12882.3394,8416.6514,1573.6868,367.5355,1521.8959,896.5979,266.1684
"29","MSM","WC",20,6070.555,12668.0913,8328.7975,1240.4536,456.3583,1448.9153,804.0749,226.8494
"30","MSM","WC",45,6942.0795,11859.1742,8578.9024,1237.1361,22.1616,276.8845,105.3643,60.2434
"31","SWH","SW",0,8.0174,4102.1062,1474.016,1299.8027,3.8311,551.2815,200.0445,175.9104
"32","SWH","SWAMP",10,1.1391,1445.3825,256.5809,395.0302,0,154.5028,30.0185,44.6182
"33","SWH","SWAMP",20,1.2704,1334.981,164.3406,294.1836,0,150.6141,17.3588,33.6226
"34","SWH","SWAMP",45,0.9155,1389.2461,97.7311,221.3735,0,150.2839,8.6847,26.8341
"35","SWH","TR",10,32.286,2690.5223,1003.0457,824.2441,1.4057,273.6427,93.2122,85.7348
"36","SWH","TR",20,62.521,2504.0476,936.9479,764.3136,0,244.124,47.3343,65.2863
"37","SWH","TR",45,0,2416.002,751.4098,594.3747,0,134.695,12.0852,29.0182
"38","SWH","UP",10,0.9723,1353.7206,186.9705,334.0693,0,136.2152,28.591,30.5389
"39","SWH","UP",20,3.0806,965.1334,137.2594,236.5309,3.7203,116.9987,31.2769,27.5824
"40","SWH","UP",45,4.0092,438.3781,87.3717,116.8317,0.1223,56.7756,12.0914,12.2472
"41","SWH","WC",10,0,3120.8934,1090.8937,938.9792,0,253.6214,39.6733,63.4323
"42","SWH","WC",20,0,3319.8437,794.1002,759.8333,0,374.4658,15.2935,61.7973
"43","SWH","WC",45,0,2345.8498,754.1814,450.3972,0,86.386,6.4406,18.8042
