,1,2,3,4,5,6,7,8,9,10,11,12
A,0.061,0.058,0.059,0.101,0.092,0.094,0.436,0.449,0.39,0.045,0.046,0.044
B,0.172,0.134,0.118,0.398,0.395,0.435,0.057,0.057,0.055,0.046,0.044,0.044
C,0.217,0.232,0.177,0.267,0.255,0.226,0.481,0.435,0.478,0.045,0.045,0.046
D,0.429,0.372,0.347,0.268,0.3,0.261,0.421,0.331,0.394,0.093,0.097,0.098
E,0.716,0.691,0.68,0.067,0.067,0.066,0.477,0.589,0.528,0.521,0.542,0.576
F,1.185,1.076,1,0.054,0.061,0.059,0.578,0.506,0.417,0.054,0.056,0.053
G,1.14,1.051,1.043,0.056,0.058,0.056,0.044,0.044,0.044,0.045,0.045,0.044
H,1.011,1.15,1.201,0.849,0.779,0.783,0.044,0.045,0.046,0.729,0.793,0.802
,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,Std 0,Std 0,Std 0,33,33,33,15,15,15,,,
B,Std 1,Std 1,Std 1,34,34,34,ChkStd 0,ChkStd 0,ChkStd 0,,,
C,Std 2,Std 2,Std 2,35,35,35,15 Dup,15 Dup,15 Dup,,,
D,Std 3,Std 3,Std 3,36,36,36,ChkStd 3,ChkStd 3,ChkStd 3,33 Spike,33 Spike,33 Spike
E,Std 4,Std 4,Std 4,37,37,37,18,18,18,18 Spike,18 Spike,18 Spike
F,Std 5,Std 5,Std 5,38,38,38,27,27,27,ChkStd 0,ChkStd 0,ChkStd 0
G,MC: 10ppt S5,MC: 10ppt S5,MC: 10ppt S5,39,39,39,,,,,,
H,MC: 20ppt S5,MC: 20ppt S5,MC: 20ppt S5,12,12,12,,,,ChkStd 4,ChkStd 4,ChkStd 4
,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,1,1,1,1,1,1,5,5,5,,,
B,1,1,1,1,1,1,1,1,1,,,
C,1,1,1,1,1,1,5,5,5,,,
D,1,1,1,1,1,1,1,1,1,1,1,1
E,1,1,1,1,1,1,5,5,5,5,5,5
F,1,1,1,1,1,1,5,5,5,1,1,1
G,1,1,1,1,1,1,,,,,,
H,1,1,1,5,5,5,,,,1,1,1
