"Project","Region","Year","Month","Day","Site","Plot","Sample_ID","Sampler_Type","Replicate","SO4_ppm","SO4_mM","SO4_conc_flag","Cl_ppm","Cl_mM","Cl_conc_flag","salinity","H2S_mean_uM","H2S_sd_uM","H2S_conc_flag","NH3_mgL","NH3_uM","NH3_conc_flag","PO4_mgL","PO4_uM","PO4_conc_flag","NOx_mgL","NOx_uM","NOx_conc_flag","FE_2_mean_uM","FE_2_sd_uM","FE_2_conc_flag","FE_3_mean_uM","FE_3_sd_uM","FE_3_conc_flag"
"COMPASS: Synoptic","CB",2023,5,19,"MSM","UP","MSM_202305_UP_RHZ_1","RHZ",1,36.3393,1.13347785402371,NA,727.0896,20.5102849083216,NA,1.3138769072,0,0,"bdl",0.043531,3.10786980516467,NA,0.008483,0.273876967221482,NA,0.012717,0.90792263702371,"bdl",NA,NA,NA,NA,NA,NA
"COMPASS: Synoptic","CB",2023,5,19,"MSM","UP","MSM_202305_UP_RHZ_2","RHZ",2,30.356,0.946849656893325,NA,426.3689,12.0273314527504,NA,0.7704746023,0,0,"bdl",0.05403,3.85743965387993,NA,0.00447,0.144315695329486,NA,0.014683,1.0482840354973,"bdl",NA,NA,NA,NA,NA,NA
"COMPASS: Synoptic","CB",2023,5,19,"MSM","UP","MSM_202305_UP_RHZ_3","RHZ",3,75.8839,2.36693387398628,NA,713.3283,20.122095909732,NA,1.2890102381,0,0,"bdl",0.048736,3.47947767853956,NA,0.007069,0.228225425119493,NA,0.014682,1.04821264109319,"bdl",NA,NA,NA,NA,NA,NA
"COMPASS: Synoptic","CB",2023,5,19,"MSM","UP","MSM_202305_UP_RHZ_4","RHZ",4,19.7362,0.615601996257018,NA,802.6945,22.6430042313117,NA,1.4504949615,0,0,"bdl",0.060447,4.31557754503202,NA,0.033742,1.08937364469967,NA,0.02202,1.57210477842747,"bdl",NA,NA,NA,NA,NA,NA
"COMPASS: Synoptic","CB",2023,5,19,"MSM","UP","MSM_202305_UP_RHZ_5","RHZ",5,38.3567,1.19640361821585,NA,569.8836,16.0757009873061,NA,1.0298056652,0,0,"bdl",0.053813,3.8419470681888,NA,0.00695,0.224383463655464,NA,0.028221,2.01482147829253,NA,NA,NA,NA,NA,NA,NA
"COMPASS: Synoptic","CB",2023,5,19,"MSM","UP","MSM_202305_UP_RHZ_6","RHZ",6,32.5617,1.01564878353088,NA,635.5395,17.9277715091678,NA,1.1484458765,0,0,"bdl",0.097682,6.9739481819415,NA,0.008597,0.277557501733241,NA,0.01365,0.974533616055174,"bdl",NA,NA,NA,NA,NA,NA
"COMPASS: Synoptic","CB",2023,5,19,"MSM","UP","MSM_202305_UP_RHZ_7","RHZ",7,46.6181,1.4540892077355,NA,987.7863,27.8642115655853,NA,1.7849558441,0,0,"bdl",0.105667,7.54403249873275,NA,0.005573,0.179926481000274,NA,0.015107,1.0785552628385,"bdl",NA,NA,NA,NA,NA,NA
"COMPASS: Synoptic","CB",2023,5,19,"MSM","UP","MSM_202305_UP_RHZ_8","RHZ",8,31.3174,0.976837180286962,NA,598.1686,16.8735853314527,NA,1.0809166602,0,0,"bdl",0.03727,2.66086944105321,NA,0.003677,0.118713380699445,NA,0.011046,0.788622587761571,"bdl",NA,NA,NA,NA,NA,NA
"COMPASS: Synoptic","CB",2023,5,19,"MSM","TR","MSM_202305_TR_RHZ_1","RHZ",1,369.7565,11.5332657517155,NA,3031.3889,85.5116755994358,NA,5.4777457423,0,0,"bdl",0.174776,12.4780283721362,NA,0.003567,0.115161987749502,NA,0.023665,1.68954857318283,"bdl",NA,NA,NA,NA,NA,NA
"COMPASS: Synoptic","CB",2023,5,19,"MSM","TR","MSM_202305_TR_RHZ_2","RHZ",2,328.9713,10.2611135371179,NA,2948.931,83.1856417489422,NA,5.328744317,0,0,"bdl",0.139437,9.95502152541284,NA,0.007533,0.24320584629016,NA,0.01151,0.821749591267037,"bdl",NA,NA,NA,NA,NA,NA
