[Header]	
System	TOCL TNML ASIL 24ML	
S/W Version	1.00	
User	sjw	
Date/Time	10/21/2025 3:44:40 PM	

[System]	
Instrument Options	TOC/ASI/IC Unit/TN/	

[Data]	
Type	Anal.	Sample Name	Sample ID	Result(TOC)	Result(TC)	Result(IC)	Result(POC)	Result(NPOC)	Result(TN)	Unit	Vial	Date / Time	
Unknown	IC	202407_SWH_SWAMP_LysC_20cm	Untitled			15.70				mg/L	52	7/30/2024 3:19:20 AM	
Unknown	IC	202407_SWH_SWAMP_LysC_45cm	Untitled			23.05				mg/L	53	7/30/2024 3:32:37 AM	
Unknown	IC	DI	Untitled			1.284				mg/L	0	7/30/2024 3:46:10 AM	
Unknown	IC	Chk_Std_40mgL	Untitled			38.09				mg/L	54	7/30/2024 4:00:22 AM	
Unknown	IC	DI	Untitled			1.220				mg/L	0	7/30/2024 4:09:16 AM	
Unknown	IC	202407_SWH_TR_LysA_10cm	Untitled			35.07				mg/L	55	7/30/2024 4:23:10 AM	
Unknown	IC	202407_SWH_TR_LysA_20cm	Untitled			40.20				mg/L	56	7/30/2024 4:37:20 AM	
Unknown	IC	202407_SWH_TR_LysB_10cm	Untitled			25.79				mg/L	57	7/30/2024 4:50:54 AM	
Unknown	IC	202407_SWH_TR_LysB_20cm	Untitled			52.50				mg/L	58	7/30/2024 5:05:09 AM	
Unknown	IC	202407_SWH_TR_LysB_45cm	Untitled			56.66				mg/L	59	7/30/2024 5:24:20 AM	
Unknown	IC	202407_SWH_TR_LysC_10cm	Untitled			36.68				mg/L	60	7/30/2024 5:39:55 AM	
Unknown	IC	202407_SWH_TR_LysC_20cm	Untitled			45.10				mg/L	61	7/30/2024 5:54:16 AM	
Unknown	IC	202407_SWH_TR_LysC_45cm	Untitled			48.07				mg/L	62	7/30/2024 6:08:56 AM	
Unknown	IC	202407_SWH_WC_LysC_10cm	Untitled			52.91				mg/L	63	7/30/2024 6:23:46 AM	
Unknown	IC	202407_SWH_WC_LysC_20cm	Untitled			84.10				mg/L	64	7/30/2024 6:50:09 AM	
Unknown	IC	202407_SWH_WC_LysC_45cm	Untitled			93.05				mg/L	65	7/30/2024 7:12:52 AM	
Unknown	IC	202407_SWH_SW_A	Untitled			10.36				mg/L	66	7/30/2024 7:32:14 AM	
Unknown	IC	202407_SWH_SW_B	Untitled			9.466				mg/L	67	7/30/2024 7:44:33 AM	
Unknown	IC	202407_SWH_SW_C	Untitled			9.835				mg/L	68	7/30/2024 7:56:47 AM	
Unknown	IC	DI	Untitled			1.230				mg/L	0	7/30/2024 8:10:03 AM	
Unknown	IC	Chk_Std_40mgL	Untitled			37.40				mg/L	69	7/30/2024 8:24:04 AM	
Unknown	IC	DI	Untitled			1.189				mg/L	0	7/30/2024 8:37:27 AM	
Unknown	IC	202407_GWI_UP_LysB_10cm	Untitled			11.82				mg/L	70	7/30/2024 8:50:05 AM	
Unknown	IC	202407_GWI_UP_LysB_20cm	Untitled			26.32				mg/L	71	7/30/2024 9:03:42 AM	
Unknown	IC	202407_GWI_UP_LysB_45cm	Untitled			20.77				mg/L	72	7/30/2024 9:17:01 AM	
Unknown	IC	202407_GWI_UP_LysC_20cm	Untitled			39.64				mg/L	73	7/30/2024 9:39:00 AM	
Unknown	IC	202407_GWI_TR_LysA_10cm	Untitled			44.60				mg/L	74	7/30/2024 9:53:28 AM	
Unknown	IC	202407_GWI_UP_LysA_45cm	Untitled			25.68				mg/L	75	7/30/2024 10:06:52 AM	
Unknown	IC	202407_GWI_TR_LysB_10cm	Untitled			26.84				mg/L	76	7/30/2024 10:20:20 AM	
Unknown	IC	202407_GWI_TR_LysC_10cm	Untitled			18.66				mg/L	77	7/30/2024 10:33:17 AM	
Unknown	IC	202407_GWI_TR_LysC_20cm	Untitled			29.07				mg/L	78	7/30/2024 10:46:40 AM	
Unknown	IC	202407_GWI_WC_LysA_10cm	Untitled			29.67				mg/L	79	7/30/2024 11:00:18 AM	
Unknown	IC	202407_GWI_WC_LysB_10cm	Untitled			40.10				mg/L	80	7/30/2024 11:14:10 AM	
Unknown	IC	202407_GWI_WC_LysB_20cm	Untitled			42.48				mg/L	81	7/30/2024 11:29:39 AM	
Unknown	IC	202407_GWI_WC_LysC_10cm	Untitled			40.27				mg/L	82	7/30/2024 11:44:15 AM	
Unknown	IC	202407_GWI_SW_A	Untitled			19.89				mg/L	83	7/30/2024 11:57:33 AM	
Unknown	IC	202407_GWI_SW_B	Untitled			19.35				mg/L	84	7/30/2024 12:10:39 PM	
Unknown	IC	202407_GWI_SW_C	Untitled			19.18				mg/L	85	7/30/2024 12:23:54 PM	
Unknown	IC	DI	Untitled			1.246				mg/L	0	7/30/2024 12:32:54 PM	
Unknown	IC	Chk_Std_40mgL	Untitled			37.41				mg/L	86	7/30/2024 12:46:41 PM	
Unknown	IC	Chk_Std_40mgL	Untitled			37.60				mg/L	87	7/30/2024 1:01:07 PM	
Unknown	IC	DI	Untitled			1.217				mg/L	0	7/30/2024 1:12:17 PM	
Unknown	IC	DI	Untitled			1.216				mg/L	0	7/30/2024 1:25:32 PM	
Unknown	IC	DI	Untitled			1.208				mg/L	0	7/30/2024 1:34:25 PM	
Unknown	IC	DI	Untitled			0.000				mg/L	0		
Unknown	IC	DI	Untitled			0.000				mg/L	0		
