"","Analysis_No","Date","Site","Zone","Replicate","Depth","Tree","Sample_ID","SO4_ppm","Cl_ppm","SO4_mM","Cl_mM","salinity"
"1","1","202211","MSM","UP","LysA","10cm","1","1_202211_MSM_UP_LysA_10cm",264.6481,3270.8644,8.25477542108546,92.2669788434415,5.9104779708
"2","10","202211","MSM","TR","LysA","20cm","10","10_202211_MSM_TR_LysA_20cm",1325.3953,6875.5636,41.3410885839052,193.951018335684,12.4241694252
"3","100","202211","GCrew","TR","LysC","45cm","100","100_202211_GCrew_TR_LysC_45cm",158.7476,134.0034,4.95157829070493,3.78006770098731,0.2421701438
"4","100","202211","GCrew","TR","LysC","45cm","100","100_202211_GCrew_TR_LysC_45cm",158.7476,133.2425,4.95157829070493,3.75860366713681,0.2407951975
"5","100","202211","GCrew","TR","LysC","45cm","100","100_202211_GCrew_TR_LysC_45cm",19.3955,134.0034,0.604975046787274,3.78006770098731,0.2421701438
"6","100","202211","GCrew","TR","LysC","45cm","100","100_202211_GCrew_TR_LysC_45cm",19.3955,133.2425,0.604975046787274,3.75860366713681,0.2407951975
"7","101","202211","GCrew","WC","SipA","10cm","101","101_202211_GCrew_WC_SipA_10cm",705.7256,6762.9137,22.0126512788522,190.77330606488,12.2206110559
"8","102","202211","GCrew","WC","SipA","20cm","102","102_202211_GCrew_WC_SipA_20cm",241.4455,6041.3935,7.53105115408609,170.420126939351,10.9168240545
"9","103","202211","GCrew","WC","SipA","45cm","103","103_202211_GCrew_WC_SipA_45cm",630.0428,6834.2797,19.6519900187149,192.786451339915,12.3495694179
"10","104","202211","GCrew","WC","SipB","10cm","104","104_202211_GCrew_WC_SipB_10cm",492.9064,4949.5749,15.3744978165939,139.621294781382,8.9439078443
"11","105","202211","GCrew","WC","SipB","20cm","105","105_202211_GCrew_WC_SipB_20cm",487.103,5389.0015,15.1934809731753,152.016967559944,9.7379517105
"12","106","202211","GCrew","WC","SipB","45cm","106","106_202211_GCrew_WC_SipB_45cm",487.7467,5895.3001,15.2135589519651,166.29901551481,10.6528332807
"13","107","202211","GCrew","WC","SipC","10cm","107","107_202211_GCrew_WC_SipC_10cm",915.8439,7651.9177,28.5665595757954,215.850992947814,13.8270412839
"14","108","202211","GCrew","WC","SipC","20cm","108","108_202211_GCrew_WC_SipC_20cm",917.5388,7514.729,28.6194260761073,211.981071932299,13.579141303
"15","109","202211","GCrew","WC","SipC","45cm","109","109_202211_GCrew_WC_SipC_45cm",467.7261,5581.6634,14.5890860885839,157.451717912553,10.0860917638
"16","11","202211","MSM","TR","LysA","45cm","11","11_202211_MSM_TR_LysA_45cm",960.7725,5319.3357,29.9679507174049,150.051782792666,9.6120656099
"17","110","202211","GCrew","SW","A","110","202211","110_202211_GCrew_SW_A",663.6499,5151.5591,20.7002464129757,145.31901551481,9.3088932937
"18","111","202211","GCrew","SW","B","111","202211","111_202211_GCrew_SW_B",661.216,5082.9487,20.624329382408,143.3836022567,9.1849143009
"19","112","202211","GCrew","SW","C","112","202211","112_202211_GCrew_SW_C",622.387,4786.6191,19.4131940112289,135.024516220028,8.6494467137
"20","113","202211","GWI","UP","LysA","10cm","113","113_202211_GWI_UP_LysA_10cm",855.1248,6963.7294,26.6726388022458,196.438064880113,12.5834850258
"21","114","202211","GWI","UP","LysA","20cm","114","114_202211_GWI_UP_LysA_20cm",906.615,7209.5632,28.2786961946351,203.372727785614,13.0277067024
"22","115","202211","GWI","UP","LysA","45cm","115","115_202211_GWI_UP_LysA_45cm",721.3934,6087.5963,22.5013537117904,171.723449929478,11.0003125141
"23","116","202211","GWI","UP","LysB","10cm","116","116_202211_GWI_UP_LysB_10cm",491.0359,3760.6402,15.3161540860886,106.082939351199,6.7955028414
"24","117","202211","GWI","UP","LysB","20cm","117","117_202211_GWI_UP_LysB_20cm",675.1521,5696.8235,21.0590174672489,160.70023977433,10.2941860645
"25","118","202211","GWI","UP","LysC","10cm","118","118_202211_GWI_UP_LysC_10cm",1006.3729,7422.5731,31.3902963194011,209.381469675599,13.4126155917
"26","119","202211","GWI","UP","LysC","20cm","119","119_202211_GWI_UP_LysC_20cm",1144.9459,9289.2814,35.7125982532751,262.038967559944,16.7857574898
"27","119","202211","GWI","UP","LysC","20cm","119","119_202211_GWI_UP_LysC_20cm",1144.9459,8633.3808,35.7125982532751,243.536834978843,15.6005451056
"28","119","202211","GWI","UP","LysC","20cm","119","119_202211_GWI_UP_LysC_20cm",1062.65,9289.2814,33.1456643792888,262.038967559944,16.7857574898
"29","119","202211","GWI","UP","LysC","20cm","119","119_202211_GWI_UP_LysC_20cm",1062.65,8633.3808,33.1456643792888,243.536834978843,15.6005451056
"30","12","202211","MSM","TR","LysB","10cm","12","12_202211_MSM_TR_LysB_10cm",801.3316,5780.1615,24.9947473487211,163.051100141044,10.4447778305
"31","120","202211","GWI","TR","LysA","10cm","120","120_202211_GWI_TR_LysA_10cm",1862.6278,14578.7194,58.0981846537742,411.247373765867,26.3437719558
"32","121","202211","GWI","TR","LysA","20cm","121","121_202211_GWI_TR_LysA_20cm",995.7634,12009.4475,31.0593699313787,338.77143864598,21.7010976325
"33","122","202211","GWI","TR","LysA","45cm","122","122_202211_GWI_TR_LysA_45cm",699.8877,8161.5412,21.8305583281347,230.226832157969,14.7479309484
"34","123","202211","GWI","TR","LysB","10cm","123","123_202211_GWI_TR_LysB_10cm",1891.15,14206.1918,58.987835308796,400.738837799718,25.6706145826
"35","124","202211","GWI","TR","LysB","20cm","124","124_202211_GWI_TR_LysB_20cm",746.6544,12574.3688,23.2892825951341,354.707159379408,22.7219104216
"36","125","202211","GWI","TR","LysB","45cm","125","125_202211_GWI_TR_LysB_45cm",1244.6327,10803.9026,38.8219806612601,304.764530324401,19.5226779982
"37","126","202211","GWI","TR","LysC","10cm","126","126_202211_GWI_TR_LysC_10cm",1844.5566,13773.3261,57.5345165315034,388.52823977433,24.8884262627
"38","127","202211","GWI","TR","LysC","20cm","127","127_202211_GWI_TR_LysC_20cm",1616.3877,13512.9722,50.4175826575172,381.183983074753,24.4179667654
"39","128","202211","GWI","TR","LysC","45cm","128","128_202211_GWI_TR_LysC_45cm",1482.4622,11314.8145,46.2402432938241,319.176713681241,20.4458958015
"40","129","202211","GWI","WC","SipA","10cm","129","129_202211_GWI_WC_SipA_10cm",2204.6568,15599.595,68.7665876481597,440.044992947814,28.188494165
"41","13","202211","MSM","TR","LysB","20cm","13","13_202211_MSM_TR_LysB_20cm",807.1753,6655.4242,25.1770212102308,187.741162200282,12.0263775294
"42","130","202211","GWI","WC","SipA","20cm","130","130_202211_GWI_WC_SipA_20cm",1879.0113,13943.5739,58.6092108546475,393.330716502116,25.1960640373
"43","131","202211","GWI","WC","SipA","45cm","131","131_202211_GWI_WC_SipA_45cm",1385.1427,12076.5516,43.2047005614473,340.664361071932,21.8223547412
"44","132","202211","GWI","WC","SipB","10cm","132","132_202211_GWI_WC_SipB_10cm",2026.1512,15201.6093,63.198727386151,428.818315937941,27.4693340051
"45","133","202211","GWI","WC","SipB","20cm","133","133_202211_GWI_WC_SipB_20cm",1997.9919,14712.2869,62.320396132252,415.015145275035,26.5851284283
"46","134","202211","GWI","WC","SipB","45cm","134","134_202211_GWI_WC_SipB_45cm",1644.4313,13187.5931,51.2923050530256,372.005447108604,23.8300067317
"47","135","202211","GWI","WC","SipC","10cm","135","135_202211_GWI_WC_SipC_10cm",2380.9384,15796.5467,74.2650779787898,445.600753173484,28.5443858869
"48","136","202211","GWI","WC","SipC","20cm","136","136_202211_GWI_WC_SipC_20cm",2090.3885,15138.4219,65.2023861509669,427.035878702398,27.3551543733
"49","137","202211","GWI","SW","A","137","202211","137_202211_GWI_SW_A",1977.6984,14413.7914,61.6874111041797,406.594961918195,26.0457470598
"50","138","202211","GWI","SW","B","138","202211","138_202211_GWI_SW_B",2028.0536,14791.6628,63.2580661260137,417.25423977433,26.7285606796
"51","139","202211","GWI","SW","C","139","202211","139_202211_GWI_SW_C",2131.0356,15474.59,66.4702308172177,436.518758815233,27.96261013
"52","14","202211","MSM","TR","LysB","45cm","14","14_202211_MSM_TR_LysB_45cm",1387.9801,7314.8545,43.2932033686837,206.342863187588,13.2179680815
"53","140","202211","GWI","RHZ","TR","SF","1","140_202211_GWI_RHZ_TR_SF_1",1641.0884,12090.94,51.1880349344978,341.07023977433,21.84835458
"54","141","202211","GWI","RHZ","TR","SF","2","141_202211_GWI_RHZ_TR_SF_2",1707.2599,12460.5641,53.2520243293824,351.496871650212,22.5162653287
"55","142","202211","GWI","RHZ","TR","SF","3","142_202211_GWI_RHZ_TR_SF_3",1630.342,11877.1529,50.8528384279476,335.039574047955,21.4620412903
"56","143","202211","GWI","RHZ","TR","SF","4","143_202211_GWI_RHZ_TR_SF_4",1709.7933,12901.1828,53.3310449157829,363.926172073343,23.3124633196
"57","144","202211","GWI","RHZ","TR","SF","5","144_202211_GWI_RHZ_TR_SF_5",1600.4445,12075.9687,49.9202900810979,340.64791819464,21.8213014409
"58","145","202211","GWI","RHZ","TR","SF","6","145_202211_GWI_RHZ_TR_SF_6",1664.4226,12627.6936,51.9158640049906,356.211385049365,22.8182683352
"59","146","202211","GWI","RHZ","TR","SF","7","146_202211_GWI_RHZ_TR_SF_7",1710.3996,12734.1181,53.3499563318777,359.213486600846,23.0105774067
