"","Analysis_No","Site","Zone","Replicate","Depth","Date","Sample_ID","SO4_ppm","SO4_Area","Cl_ppm","Cl_Area","SO4_mM","Cl_mM","salinity"
"1","1","MSM","UP","LysA","10cm",202206,"1_MSM_UP_LysA_10cm",126.0804,"1.3277 ",1568.6751,"23.5520 ",3.93263880224579,44.2503554301834,2.8346219057
"2","10","MSM","TR","LysA","10cm",202206,"10_MSM_TR_LysA_10cm",331.4201,"3.4901 ",2755.8535,"41.3762 ",10.3374953212726,77.739167842031,4.9798532745
"3","11","MSM","TR","LysB","10cm",202206,"11_MSM_TR_LysB_10cm",367.1323,"3.8662 ",3027.1985,"45.4502 ",11.4514129756706,85.3934696755994,5.4701736895
"4","12","MSM","TR","LysC","10cm",202206,"12_MSM_TR_LysC_10cm",314.1841,"3.3086 ",2868.5932,"43.0689 ",9.79987835308796,80.91941325811,5.1835739124
"5","13","MSM","TR","LysA","20cm",202206,"13_MSM_TR_LysA_20cm",419.4743,"4.4174 ",2817.4242,"42.3007 ",13.08403930131,79.476,5.0911115294
"6","14","MSM","TR","LysB","20cm",202206,"14_MSM_TR_LysB_20cm",348.7404,"3.6725 ",2952.4617,"44.3281 ",10.8777417342483,83.2852383638928,5.3351242919
"7","15","MSM","TR","LysC","20cm",202206,"15_MSM_TR_LysC_20cm",308.5873,"3.2497 ",2918.0163,"43.8109 ",9.62530567685589,82.3135768688293,5.2728814541
"8","16","MSM","TR","LysA","45cm",202206,"16_MSM_TR_LysA_45cm",489.302,"5.1527 ",3366.3801,"50.5426 ",15.2620711166563,94.9613568406206,6.0830748407
"9","17","MSM","TR","LysB","45cm",202206,"17_MSM_TR_LysB_45cm",461.7393,"4.8625 ",3741.1335,"56.1692 ",14.4023487211478,105.532679830748,6.7602542345
"10","18","MSM","TR","LysC","45cm",202206,"18_MSM_TR_LysC_45cm",451.001,"4.7494 ",3028.6085,"45.4714 ",14.0674048658765,85.4332440056417,5.4727215595
"11","19","MSM","WC","SipA","10cm",202206,"19_MSM_WC_SipA_10cm",1348.5148,"7.1005 ",13166.7336,"98.8423 ",42.0622208359326,371.417026798307,23.7923136152
"12","2","MSM","UP","LysB","10cm",202206,"2_MSM_UP_LysB_10cm",103.5657,"1.0906 ",1069.0949,"16.0513 ",3.2303711790393,30.1578251057828,1.9318804843
"13","20","MSM","WC","SipB","10cm",202206,"20_MSM_WC_SipB_10cm",1858.5917,"9.7862 ",13890.1816,"104.2732 ",57.9722925764192,391.82458674189,25.0995841512
"14","21","MSM","WC","SipC","10cm",202206,"21_MSM_WC_SipC_10cm",1562.4614,"8.2270 ",13058.1191,"98.0269 ",48.7355396132252,368.35314809591,23.5960472137
"15","22","MSM","WC","SipA","20cm",202206,"22_MSM_WC_SipA_20cm",1287.7677,"6.7806 ",12354.129,"92.7421 ",40.1674266999376,348.494471086037,22.323937103
"16","23","MSM","WC","SipB","20cm",202206,"23_MSM_WC_SipB_20cm",1773.4014,"9.3376 ",13376.0845,"100.4139 ",55.3150779787898,377.322552891396,24.1706106915
"17","24","MSM","WC","SipC","20cm",202206,"24_MSM_WC_SipC_20cm",1360.9248,"7.1658 ",11643.6809,"87.4088 ",42.4493075483468,328.453622002821,21.0401573863
"18","25","MSM","WC","SipA","45cm",202206,"25_MSM_WC_SipA_45cm",738.1892,"3.8869 ",9573.2135,"71.8659 ",23.0252401746725,270.048335684062,17.2988227945
"19","27","MSM","WC","SipC","45cm",202206,"27_MSM_WC_SipC_45cm",453.6237,"2.3885 ",14717.2535,"110.4820 ",14.1492108546475,415.155246826516,26.5941030745
"20","28","GWI","UP","LysA","10cm",202206,"28_GWI_UP_LysA_10cm",705.1898,"3.7131 ",4974.0704,"37.3402 ",21.9959388646288,140.312282087447,8.9881712128
"21","29","GWI","UP","LysB","10cm",202206,"29_GWI_UP_LysB_10cm",531.2826,"2.7974 ",3905.7877,"29.3206 ",16.5715096693699,110.177368124118,7.0577843739
"22","3","MSM","UP","LysC","10cm",202206,"3_MSM_UP_LysC_10cm",139.2101,"1.4660 ",1527.3732,"22.9319 ",4.34217404865876,43.0852806770099,2.7599893724
"23","30","GWI","UP","LysC","10cm",202206,"30_GWI_UP_LysC_10cm",1136.6741,"5.9850 ",7773.1471,"58.3528 ",35.45458827199,219.270722143865,14.0461028097
"24","31","GWI","UP","LysA","20cm",202206,"31_GWI_UP_LysA_20cm",682.3081,"3.5926 ",5074.2239,"38.0921 ",21.2822239550842,143.137486600846,9.1691485873
"25","32","GWI","UP","LysB","20cm",202206,"32_GWI_UP_LysB_20cm",650.3517,"3.4244 ",4976.2069,"37.3563 ",20.2854553961323,140.372550070522,8.9920318683
"26","33","GWI","UP","LysC","20cm",202206,"33_GWI_UP_LysC_20cm",750.6523,"3.9525 ",6075.7183,"45.6103 ",23.4139831565814,171.388386459803,10.9788489681
"27","34","GWI","UP","LysA","45cm",202206,"34_GWI_UP_LysA_45cm",620.3873,"3.2666 ",5158.362,"38.7237 ",19.3508203368684,145.510916784203,9.321186134
"28","35","GWI","UP","LysB","45cm",202206,"35_GWI_UP_LysB_45cm",565.631,"2.9783 ",4357.2527,"32.7098 ",17.642888334373,122.912629055007,7.8735816289
"29","36","GWI","UP","LysC","45cm",202206,"36_GWI_UP_LysC_45cm",853.7856,"4.4955 ",6483.2126,"48.6693 ",26.6308671241422,182.883289139633,11.7151911682
"30","37","GWI","TR","LysA","10cm",202206,"37_GWI_TR_LysA_10cm",1166.3401,"6.1412 ",8618.8088,"64.7012 ",36.379915782907,243.125777150917,15.5742135016
"31","38","GWI","TR","LysB","10cm",202206,"38_GWI_TR_LysB_10cm",1054.9614,"5.5548 ",7896.1734,"59.2764 ",32.9058452900811,222.741139633286,14.2684113338
"32","39","GWI","TR","LysC","10cm",202206,"39_GWI_TR_LysC_10cm",939.7829,"4.9483 ",7379.9328,"55.4010 ",29.3132532751092,208.178640338505,13.3355645696
"33","4","MSM","UP","LysA","20cm",202206,"4_MSM_UP_LysA_20cm",180.9152,"1.9052 ",2031.261,"30.4972 ",5.64301933873986,57.2993229901269,3.670514627
"34","40","GWI","TR","LysA","20cm",202206,"40_GWI_TR_LysA_20cm",1048.1038,"5.5187 ",7487.9046,"56.2115 ",32.6919463505926,211.224389280677,13.5306696122
"35","41","GWI","TR","LysB","20cm",202206,"41_GWI_TR_LysB_20cm",1145.7933,"6.0330 ",8878.5123,"66.6508 ",35.7390299438553,250.451686882934,16.0434977261
"36","42","GWI","TR","LysC","20cm",202206,"42_GWI_TR_LysC_20cm",1031.8017,"5.4328 ",8228.9291,"61.7743 ",32.1834591391142,232.12776022567,14.8697008837
"37","43","GWI","TR","LysA","45cm",202206,"43_GWI_TR_LysA_45cm",633.3503,"3.3348 ",5328.1588,"39.9983 ",19.7551559575795,150.300671368124,9.6280089516
"38","44","GWI","TR","LysB","45cm",202206,"44_GWI_TR_LysB_45cm",1065.4746,"5.6101 ",7901.501,"59.3164 ",33.2337679351216,222.891424541608,14.278038307
"39","45","GWI","TR","LysC","45cm",202206,"45_GWI_TR_LysC_45cm",884.0311,"4.6548 ",7337.9827,"55.0860 ",27.5742701185278,206.99528067701,13.2597607389
"40","46","GWI","WC","SipA","20cm",202206,"46_GWI_WC_SipA_20cm",923.6507,"2.4317 ",8409.8399,"31.5662 ",28.8100655021834,237.231026798307,15.1966066993
"41","47","GWI","WC","SipC","20cm",202206,"47_GWI_WC_SipC_20cm",1156.6627,"3.0451 ",9115.1496,"34.2136 ",36.0780630068621,257.126928067701,16.4711013272
"42","48","GWI","WC","SipA","45cm",202206,"48_GWI_WC_SipA_45cm",1284.9546,"3.3829 ",9319.6766,"34.9813 ",40.0796818465377,262.896377997179,16.8406816162
"43","49","GWI","WC","SipB","45cm",202206,"49_GWI_WC_SipB_45cm",785.3511,"2.0676 ",7380.6334,"27.7031 ",24.4962913287586,208.198403385049,13.3368305538
"44","5","MSM","UP","LysB","20cm",202206,"5_MSM_UP_LysB_20cm",120.921,"1.2734 ",1237.6007,"18.5813 ",3.77170929507174,34.9111622002821,2.2363704649
"45","50","GWI","WC","SipC","45cm",202206,"50_GWI_WC_SipC_45cm",22.1018,"0.0582 ",504.2877,"1.8928 ",0.68938864628821,14.2253229901269,0.9112738739
"46","51","GCrew","UP","LysA","10cm",202206,"51_GCrew_UP_LysA_10cm",3.6335,"0.0383 ",NA,"n.a.",0.11333437305053,NA,NA
"47","52","GCrew","UP","LysB","10cm",202206,"52_GCrew_UP_LysB_10cm",1.4062,"0.0148 ",6.0218,"0.0904 ",0.0438615096693699,0.169867418899859,0.0109073926
"48","53","GCrew","UP","LysC","10cm",202206,"53_GCrew_UP_LysC_10cm",2.6083,"0.0275 ",10.7516,"0.1614 ",0.0813568309419838,0.303289139633286,0.0194541412
"49","54","GCrew","UP","LysA","20cm",202206,"54_GCrew_UP_LysA_20cm",6.3223,"0.0666 ",7.4852,"0.1124 ",0.197202121023082,0.211148095909732,0.0135517564
"50","55","GCrew","UP","LysB","20cm",202206,"55_GCrew_UP_LysB_20cm",1.4627,"0.0154 ",5.4847,"0.0823 ",0.0456238303181535,0.154716502115656,0.0099368529
"51","56","GCrew","UP","LysA","45cm",202206,"56_GCrew_UP_LysA_45cm",1.3993,"0.0147 ",8.6165,"0.1294 ",0.043646288209607,0.243060648801128,0.0155960155
"52","57","GCrew","TR","LysA","10cm",202206,"57_GCrew_TR_LysA_10cm",4.4018,"0.0464 ",5.802,"0.0871 ",0.137298814722395,0.163667136812412,0.010510214
"53","58","GCrew","TR","LysB","10cm",202206,"58_GCrew_TR_LysB_10cm",NA,"n.a.",29.7153,"0.4461 ",NA,0.838231311706629,0.0537215471
"54","59","GCrew","TR","LysC","10cm",202206,"59_GCrew_TR_LysC_10cm",12.3101,"0.1296 ",22.1716,"0.3329 ",0.383970679975047,0.625433004231312,0.0400900812
"55","6","MSM","UP","LysC","20cm",202206,"6_MSM_UP_LysC_20cm",170.5623,"1.7962 ",1915.3132,"28.7564 ",5.32009669369931,54.028581100141,3.4609969524
"56","60","GCrew","TR","LysA","20cm",202206,"60_GCrew_TR_LysA_20cm",9.4652,"0.0997 ",3.7973,"0.0570 ",0.295233936369308,0.10711706629055,0.0068877211
"57","61","GCrew","TR","LysB","20cm",202206,"61_GCrew_TR_LysB_20cm",NA,"n.a.",5.8317,"0.0876 ",NA,0.164504936530324,0.0105638819
"58","62","GCrew","TR","LysC","20cm",202206,"62_GCrew_TR_LysC_20cm",33.2619,"0.3503 ",34.6283,"0.5199 ",1.03748908296943,0.976820874471086,0.0625993381
"59","63","GCrew","TR","LysA","45cm",202206,"63_GCrew_TR_LysA_45cm",3.1151,"0.0328 ",11.191,"0.1680 ",0.0971646912039925,0.315684062059238,0.020248137
"60","64","GCrew","TR","LysB","45cm",202206,"64_GCrew_TR_LysB_45cm",6.4804,"0.0682 ",7.8649,"0.1181 ",0.202133499688085,0.221858956276446,0.0142378743
"61","65","GCrew","TR","LysC","45cm",202206,"65_GCrew_TR_LysC_45cm",8.4172,"0.0886 ",4.2921,"0.0644 ",0.262545227698066,0.121074753173484,0.0077818247
"62","66","GCrew","WC","SipA","10cm",202206,"66_GCrew_WC_SipA_10cm",298.7135,"1.5728 ",3113.7509,"23.3748 ",9.31732688708671,87.8350042313117,5.6265738763
"63","67","GCrew","WC","SipB","10cm",202206,"67_GCrew_WC_SipB_10cm",374.4037,"1.9714 ",3442.6963,"25.8442 ",11.6782189644417,97.1141410437235,6.2209782141
"64","68","GCrew","WC","SipC","10cm",202206,"68_GCrew_WC_SipC_10cm",183.7061,"0.9673 ",2813.9363,"21.1241 ",5.73007174048659,79.377610719323,5.0848088941
"65","69","GCrew","WC","SipA","20cm",202206,"69_GCrew_WC_SipA_20cm",359.856,"1.8948 ",4061.9509,"30.4930 ",11.2244541484716,114.582535966149,7.3399712763
"66","7","MSM","UP","LysA","45cm",202206,"7_MSM_UP_LysA_45cm",190.4671,"2.0058 ",2334.0716,"35.0436 ",5.94095757953836,65.8412299012694,4.2176933812
"67","70","GCrew","WC","SipB","20cm",202206,"70_GCrew_WC_SipB_20cm",342.8995,"1.8055 ",3360.2365,"25.2252 ",10.6955552089832,94.7880535966149,6.0719733555
