Project,Region,Site,Zone,Replicate,Depth_cm,Sample_ID,Year,Month,Day,Time,Time_Zone,NOx_Conc_mgL,NOx_Conc_uM,NOx_Conc_Flag,NOx_QAQC_Flag,NH3_Conc_mgL,NH3_Conc_uM,NH3_Conc_Flag,NH3_QAQC_Flag,PO4_Conc_mgL,PO4_Conc_uM,PO4_Conc_Flag,PO4_QAQC_Flag,Analysis_rundate,Run_notes,Field_notes
COMPASS: Synoptic,CB,GCW,SW,A,0,GCW_202309_SW_A,2023,9,12,NA,NA,0,0,bdl,,0.196915,14.0586290846523,Within_Range,,0.097758,3.15615520000444,Within_Range,,01/25/2024,"This run was stopped and restarted part way through due to
  insufficient water and/or reaction segments. 
  There are fewer spikes for PO4 and NH3 in this run due to stop and rerun.
  NH3 peCheck is high, but other run metrics okay, so accepting this run.",
COMPASS: Synoptic,CB,GCW,SW,B,0,GCW_202309_SW_B,2023,9,12,NA,NA,0,0,bdl,,0.175768,12.5488516210099,Within_Range,,0.008638,0.278881202741856,bdl,,01/25/2024,"This run was stopped and restarted part way through due to
  insufficient water and/or reaction segments. 
  There are fewer spikes for PO4 and NH3 in this run due to stop and rerun.
  NH3 peCheck is high, but other run metrics okay, so accepting this run.",
COMPASS: Synoptic,CB,GCW,SW,C,0,GCW_202309_SW_C,2023,9,12,NA,NA,0,0,bdl,,0.283936,20.2714415244133,Within_Range,,0.2345,7.57092406146854,Within_Range,,01/25/2024,"This run was stopped and restarted part way through due to
  insufficient water and/or reaction segments. 
  There are fewer spikes for PO4 and NH3 in this run due to stop and rerun.
  NH3 peCheck is high, but other run metrics okay, so accepting this run.",
COMPASS: Synoptic,CB,GCW,TR,A,20,GCW_202309_TR_LysA_20cm,2023,9,12,NA,NA,0,0,bdl,,0.114069,8.14388828203646,Within_Range,,0.004141,0.133693801870112,Within_Range,,01/25/2024,"This run was stopped and restarted part way through due to
  insufficient water and/or reaction segments. 
  There are fewer spikes for PO4 and NH3 in this run due to stop and rerun.
  NH3 peCheck is high, but other run metrics okay, so accepting this run.",
COMPASS: Synoptic,CB,GCW,TR,A,45,GCW_202309_TR_LysA_45cm,2023,9,12,NA,NA,0,0,bdl,,0.143381,10.2366010552093,Within_Range,,0.003918,0.126494159798865,Within_Range,,01/25/2024,"This run was stopped and restarted part way through due to
  insufficient water and/or reaction segments. 
  There are fewer spikes for PO4 and NH3 in this run due to stop and rerun.
  NH3 peCheck is high, but other run metrics okay, so accepting this run.",
COMPASS: Synoptic,CB,GCW,TR,B,10,GCW_202309_TR_LysB_10cm,2023,9,12,NA,NA,0,0,bdl,,0.217271,15.5119335746464,Within_Range,,0.00617,0.199200859101326,Within_Range,,01/25/2024,"This run was stopped and restarted part way through due to
  insufficient water and/or reaction segments. 
  There are fewer spikes for PO4 and NH3 in this run due to stop and rerun.
  NH3 peCheck is high, but other run metrics okay, so accepting this run.",
COMPASS: Synoptic,CB,GCW,TR,B,20,GCW_202309_TR_LysB_20cm,2023,9,12,NA,NA,0,0,bdl,,1.823596,130.19454975119,Within_Range,,0.004059,0.131046399852882,Within_Range,,01/25/2024,"This run was stopped and restarted part way through due to
  insufficient water and/or reaction segments. 
  There are fewer spikes for PO4 and NH3 in this run due to stop and rerun.
  NH3 peCheck is high, but other run metrics okay, so accepting this run.",
COMPASS: Synoptic,CB,GCW,TR,B,45,GCW_202309_TR_LysB_45cm,2023,9,12,NA,NA,0,0,bdl,,0.268175,19.1461943212891,Within_Range,,0.005093,0.164429493582342,Within_Range,,01/25/2024,"This run was stopped and restarted part way through due to
  insufficient water and/or reaction segments. 
  There are fewer spikes for PO4 and NH3 in this run due to stop and rerun.
  NH3 peCheck is high, but other run metrics okay, so accepting this run.",
COMPASS: Synoptic,CB,GCW,TR,C,10,GCW_202309_TR_LysC_10cm,2023,9,12,NA,NA,0,0,bdl,,0.037317,2.66422497804622,Within_Range,,0.006085,0.196456600912734,Within_Range,,01/25/2024,"This run was stopped and restarted part way through due to
  insufficient water and/or reaction segments. 
  There are fewer spikes for PO4 and NH3 in this run due to stop and rerun.
  NH3 peCheck is high, but other run metrics okay, so accepting this run.",
COMPASS: Synoptic,CB,GCW,TR,C,20,GCW_202309_TR_LysC_20cm,2023,9,12,NA,NA,0,0,bdl,,0.736283,52.5664860388243,Within_Range,,0.038196,1.23317277378189,Within_Range,,01/25/2024,"This run was stopped and restarted part way through due to
  insufficient water and/or reaction segments. 
  There are fewer spikes for PO4 and NH3 in this run due to stop and rerun.
  NH3 peCheck is high, but other run metrics okay, so accepting this run.",
COMPASS: Synoptic,CB,GCW,TR,C,45,GCW_202309_TR_LysC_45cm,2023,9,12,NA,NA,0,0,bdl,,0.207516,14.8154811625865,Within_Range,,0.003272,0.105637797565565,Within_Range,,01/25/2024,"This run was stopped and restarted part way through due to
  insufficient water and/or reaction segments. 
  There are fewer spikes for PO4 and NH3 in this run due to stop and rerun.
  NH3 peCheck is high, but other run metrics okay, so accepting this run.",
