"missing_ids","Site","Zone","Collar","Date"
"GCW_TR_1_202509","GCW","TR","1","202509"
"GCW_TR_2_202509","GCW","TR","2","202509"
"GCW_TR_3_202509","GCW","TR","3","202509"
"GCW_TR_4_202509","GCW","TR","4","202509"
"GCW_TR_5_202509","GCW","TR","5","202509"
"GCW_WC_1_202509","GCW","WC","1","202509"
"GCW_WC_2_202509","GCW","WC","2","202509"
"GCW_WC_3_202509","GCW","WC","3","202509"
"GCW_WC_4_202509","GCW","WC","4","202509"
"GCW_WC_5_202509","GCW","WC","5","202509"
"GWI_WC_1_202507","GWI","WC","1","202507"
"GWI_WC_2_202507","GWI","WC","2","202507"
"GWI_WC_3_202507","GWI","WC","3","202507"
"GWI_WC_4_202507","GWI","WC","4","202507"
"GWI_WC_5_202507","GWI","WC","5","202507"
