"","Analysis_No","Site","Date","Zone","Replicate","Depth","Sample_ID","SO4_ppm","Cl_ppm","SO4_mM","Cl_mM","salinity"
"1","1","GCW","202305","UP","lysA","20cm","1_GCW_202305_UP_lysA_20cm",6.9968,66.1749,0.218240798502807,1.86671086036671,0.1196040443
"2","10","GCW","202305","TR","LysB","45cm","10_GCW_202305_TR_LysB_45cm",10.4414,75.9797,0.325683094198378,2.14329196050776,0.1373213179
"3","11","GCW","202305","TR","LysC","10cm","11_GCW_202305_TR_LysC_10cm",8.6995,77.5035,0.271350592638802,2.18627644569817,0.1400748245
"4","12","GCW","202305","TR","LysC","20cm","12_GCW_202305_TR_LysC_20cm",10.0383,80.5907,0.313109794135995,2.27336248236953,0.1456533949
"5","13","GCW","202305","TR","LysC","45cm","13_GCW_202305_TR_LysC_45cm",22.4937,81.0706,0.701612601372427,2.28689985895628,0.1465205742
"6","14","GCW","202305","WC","LysA","10cm","14_GCW_202305_WC_LysA_10cm",437.5432,4637.3172,13.6476356830942,130.812897038082,8.3796581804
"7","15","GCW","202305","WC","LysA","20cm","15_GCW_202305_WC_LysA_20cm",434.2469,4843.3296,13.5448190892077,136.624248236953,8.7519225872
"8","16","GCW","202305","WC","LysA","45cm","16_GCW_202305_WC_LysA_45cm",288.6505,5431.1754,9.0034466625078,153.206640338505,9.8141599478
"9","17","GCW","202305","WC","LysB","10cm","17_GCW_202305_WC_LysB_10cm",382.6075,4456.9867,11.934107922645,125.726,8.0538009669
"10","18","GCW","202305","WC","LysB","20cm","18_GCW_202305_WC_LysB_20cm",407.1374,4423.8449,12.6992326887087,124.791111424542,7.9939137343
"11","19","GCW","202305","WC","LysB","45cm","19_GCW_202305_WC_LysB_45cm",307.5131,4929.7687,9.59179975046787,139.06258674189,8.9081180409
"12","2","GCW","202305","UP","LysB","10cm","2_GCW_202305_UP_LysB_10cm",7.3098,NA,0.228003742981909,NA,NA
"13","20","GCW","202305","WC","LysC","10cm","20_GCW_202305_WC_LysC_10cm",386.8014,4143.9913,12.0649220212102,116.896792665726,7.4882182791
"14","21","GCW","202305","WC","LysC","20cm","21_GCW_202305_WC_LysC_20cm",488.823,4727.0862,15.2471303805365,133.345167842031,8.5418707634
"15","22","GCW","202305","WC","LysC","45cm","22_GCW_202305_WC_LysC_45cm",499.9189,5384.3735,15.5932283218964,151.886417489422,9.7295889145
"16","23","GCW","202305","SW","A","23","23_GCW_202305_SW_A",331.4382,4566.6353,10.3380598877105,128.819049365303,8.2519359871
"17","24","GCW","202305","SW","B","24","24_GCW_202305_SW_B",321.2274,4436.7707,10.0195695570805,125.155732016925,8.0172706549
"18","25","GCW","202305","SW","C","25","25_GCW_202305_SW_C",319.6307,4434.4087,9.96976606363069,125.089102961918,8.0130025209
"19","26","MSM","202305","UP","LysA","20cm","26_MSM_202305_UP_LysA_20cm",134.053,1454.9461,4.1813162819713,41.0422031029619,2.6291136027
"20","27","MSM","202305","UP","LysA","45cm","27_MSM_202305_UP_LysA_45cm",204.6733,2635.77,6.38407049282595,74.3517630465444,4.76286239
"21","28","MSM","202305","UP","LysB","10cm","28_MSM_202305_UP_LysB_10cm",28.5873,471.0823,0.891681222707423,13.2886403385049,0.8512717161
"22","29","MSM","202305","UP","LysB","20cm","29_MSM_202305_UP_LysB_20cm",37.6811,584.2518,1.17533063006862,16.4810098730606,1.0557690026
"23","3","GCW","202305","UP","LysB","20cm","3_GCW_202305_UP_LysB_20cm",6.1771,NA,0.192673112913288,NA,NA
"24","30","MSM","202305","UP","LysB","45cm","30_MSM_202305_UP_LysB_45cm",125.9329,1724.7658,3.92803805364941,48.6534781382228,3.1166778006
"25","31","MSM","202305","UP","LysC","10cm","31_MSM_202305_UP_LysC_10cm",62.9016,707.2833,1.96199625701809,19.9515740479549,1.2780869231
"26","32","MSM","202305","UP","LysC","20cm","32_MSM_202305_UP_LysC_20cm",101.9214,1249.1489,3.17908296943231,35.236922425952,2.2572380623
"27","33","MSM","202305","UP","LysC","45cm","33_MSM_202305_UP_LysC_45cm",174.9094,2432.0468,5.45568933250156,68.6049873060649,4.3947345676
"28","34","MSM","202305","TR","LysA","10cm","34_MSM_202305_TR_LysA_10cm",320.6476,3182.8262,10.0014847161572,89.7835317348378,5.7513929434
"29","35","MSM","202305","TR","LysA","20cm","35_MSM_202305_TR_LysA_20cm",414.6564,3514.0923,12.9337616968185,99.1281325811001,6.3499907861
"30","36","MSM","202305","TR","LysA","45m","36_MSM_202305_TR_LysA_45m",467.758,3995.0796,14.5900810979414,112.696180535966,7.2191348372
"31","37","MSM","202305","TR","LysB","10cm","37_MSM_202305_TR_LysB_10cm",357.8262,3543.0829,11.1611416094822,99.9459210155148,6.4023768003
"32","38","MSM","202305","TR","LysB","20cm","38_MSM_202305_TR_LysB_20cm",321.4038,3502.7151,10.0250717404866,98.8071960507757,6.3294321857
"33","39","MSM","202305","TR","LysB","45cm","39_MSM_202305_TR_LysB_45cm",330.9267,3833.5677,10.3221054273238,108.1401325811,6.9272828339
"34","4","GCW","202305","UP","LysC","10cm","4_GCW_202305_UP_LysC_10cm",5.2401,59.9804,0.163446662507798,1.69197179125529,0.1084105828
"35","40","MSM","202305","TR","LysC","10cm","40_MSM_202305_TR_LysC_10cm",409.6475,3908.6209,12.7775265127885,110.257289139633,7.0629039663
"36","41","MSM","202305","TR","LysC","20cm","41_MSM_202305_TR_LysC_20cm",303.1789,3523.8549,9.45660948222084,99.4035232722144,6.3676318043
"37","42","MSM","202305","TR","LysC","45cm","42_MSM_202305_TR_LysC_45cm",455.0067,4155.3897,14.1923487211478,117.218327221439,7.5088151879
"38","43","MSM","202305","WC","LysA","10cm","43_MSM_202305_WC_LysA_10cm",890.6559,8285.3907,27.7809076731129,233.720471086037,14.9717269949
"39","44","MSM","202305","WC","LysA","20cm","44_MSM_202305_WC_LysA_20cm",840.9832,7975.3382,26.2315408608858,224.974279266573,14.4114621274
"40","45","MSM","202305","WC","LysA","45cm","45_MSM_202305_WC_LysA_45cm",183.2384,8095.8611,5.71548346849657,228.374078984485,14.6292470077
"41","46","MSM","202305","WC","LysB","10cm","46_MSM_202305_WC_LysB_10cm",824.8939,8138.7847,25.7296912039925,229.584899858956,14.7068099529
"42","47","MSM","202305","WC","LysB","20cm","47_MSM_202305_WC_LysB_20cm",770.5327,7983.9669,24.0340829694323,225.217684062059,14.4270541883
"43","48","MSM","202305","WC","LysB","45cm","48_MSM_202305_WC_LysB_45cm",218.065,8027.2946,6.80177791640674,226.439904090268,14.5053473422
"44","49","MSM","202305","WC","LysC","10cm","49_MSM_202305_WC_LysC_10cm",787.0017,7688.1072,24.5477760449158,216.871853314527,13.8924357104
"45","5","GCW","202305","UP","LysC","20cm","5_GCW_202305_UP_LysC_20cm",4.8894,72.3197,0.152507797878977,2.04004795486601,0.1307076979
"46","50","MSM","202305","WC","LysC","20cm","50_MSM_202305_WC_LysC_20cm",671.1855,7304.4209,20.9352932002495,206.048544428773,13.1991145663
"47","51","MSM","202305","WC","LysC","45cm","51_MSM_202305_WC_LysC_45cm",154.8114,8488.3719,4.82880224578915,239.446315937941,15.3385140233
"48","52","MSM","202305","SW","A","52","52_MSM_202305_SW_A",881.0879,7547.0727,27.4824672489083,212.893447108604,13.6375863689
"49","53","MSM","202305","SW","B","53","53_MSM_202305_SW_B",537.847,7748.4202,16.7762632563943,218.573207334274,14.0014213014
"50","54","MSM","202305","SW","C","54","54_MSM_202305_SW_C",877.2949,7503.5753,27.3641578290705,211.666440056417,13.5589865671
"51","55","MSM","202305","RHZ","UP","SF1","55_MSM_202305_RHZ_UP_SF1",60.3225,1169.451,1.88155021834061,32.9887447108604,2.113223957
"52","56","MSM","202305","RHZ","UP","SF2","56_MSM_202305_RHZ_UP_SF2",38.4939,513.0711,1.20068309419838,14.4730916784203,0.9271454777
"53","57","MSM","202305","RHZ","UP","SF3","57_MSM_202305_RHZ_UP_SF3",82.4575,857.97,2.57197442295696,24.2022566995769,1.55037779
"54","58","MSM","202305","RHZ","UP","SF4","58_MSM_202305_RHZ_UP_SF4",36.0109,926.3172,1.12323456019963,26.130245416079,1.6738811804
"55","59","MSM","202305","RHZ","UP","SF5","59_MSM_202305_RHZ_UP_SF5",47.3082,677.0959,1.47561447286338,19.1000253878702,1.2235382913
"56","6","GCW","202305","TR","LysB","20cm","6_GCW_202305_TR_LysB_20cm",16.0359,69.723,0.500184029943855,1.96679830747532,0.126015461
"57","60","MSM","202305","RHZ","UP","SF6","60_MSM_202305_RHZ_UP_SF6",45.7372,761.3144,1.42661260137243,21.4757235543018,1.3757211208
"58","61","MSM","202305","RHZ","UP","SF7","61_MSM_202305_RHZ_UP_SF7",62.2802,1262.2168,1.94261384903306,35.6055514809591,2.2808517576
"59","62","MSM","202305","RHZ","UP","SF8","62_MSM_202305_RHZ_UP_SF8",47.451,783.9835,1.480068621335,22.1151904090268,1.4166841845
