"","Analysis_No","Site","Date","Zone","Replicate","Depth","RHZ","RHZ_Rep","Sample_ID","SO4_ppm","Cl_ppm","SO4_mM","Cl_mM","salinity"
"84","55","SWH","202311","UP","LysA","20cm","55","SWH","55_SWH_202311_UP_LysA_20cm",53.0649,913.046,1.65517467248908,25.7558815232722,1.649900122
"85","56","SWH","202311","UP","LysA","45cm","56","SWH","56_SWH_202311_UP_LysA_45cm",0.6079,362.6534,0.0189613225202745,10.2299971791255,0.6553406938
"86","57","SWH","202311","UP","LysB","10cm","57","SWH","57_SWH_202311_UP_LysB_10cm",125.5034,1133.9587,3.91464129756706,31.9875514809591,2.0490893709
"87","58","SWH","202311","UP","LysB","20cm","58","SWH","58_SWH_202311_UP_LysB_20cm",9.0377,463.7646,0.281899563318777,13.0822172073343,0.8380486322
"88","59","SWH","202311","UP","LysB","45cm","59","SWH","59_SWH_202311_UP_LysB_45cm",7.5745,172.6506,0.23626013724267,4.87025669957687,0.3120056342
"89","6","MSM","202311","UP","LysC","20cm","6","MSM","6_MSM_202311_UP_LysC_20cm",118.3496,1055.1504,3.69150343106675,29.7644682651622,1.9066827728
"90","60","SWH","202311","UP","LysC","10cm","60","SWH","60_SWH_202311_UP_LysC_10cm",131.0489,1225.7829,4.08761384903306,34.5777968970381,2.2150157003
"91","61","SWH","202311","UP","LysC","20cm","61","SWH","61_SWH_202311_UP_LysC_20cm",46.2085,622.9781,1.44131316281971,17.5734301833568,1.1257474267
"92","62","SWH","202311","UP","LysC","45cm","62","SWH","62_SWH_202311_UP_LysC_45cm",53.4458,852.9346,1.66705552089832,24.0602143864598,1.5412788222
"93","63","SWH","202311","TR","LysA","10cm","63","SWH","63_SWH_202311_TR_LysA_10cm",196.6056,2225.4726,6.13242669993762,62.7777884344147,4.0214549882
"94","64","SWH","202311","TR","LysA","20cm","64","SWH","64_SWH_202311_TR_LysA_20cm",155.4911,2065.7696,4.85000311915159,58.2727672778561,3.7328716672
"95","65","SWH","202311","TR","LysA","45cm","65","SWH","65_SWH_202311_TR_LysA_45cm",71.2683,1797.8027,2.22296631316282,50.7137574047955,3.2486554789
"96","66","SWH","202311","TR","LysB","10cm","66","SWH","66_SWH_202311_TR_LysB_10cm",228.7498,2033.7587,7.13505302557704,57.3697799717913,3.6750279709
"97","67","SWH","202311","TR","LysB","20cm","67","SWH","67_SWH_202311_TR_LysB_20cm",173.6402,2029.1699,5.41610106051154,57.2403356840621,3.6667360093
"98","68","SWH","202311","TR","LysB","45cm","68","SWH","68_SWH_202311_TR_LysB_45cm",80.1092,2092.4791,2.49872738615097,59.0262087447109,3.7811357337
"99","69","SWH","202311","TR","LysC","10cm","69","SWH","69_SWH_202311_TR_LysC_10cm",190.5496,1953.9106,5.94353087960075,55.117365303244,3.5307424542
"100","7","MSM","202311","UP","LysC","45cm","7","MSM","7_MSM_202311_UP_LysC_45cm",0,0,0,0,2.6e-05
"101","70","SWH","202311","TR","LysC","20cm","70","SWH","70_SWH_202311_TR_LysC_20cm",174.5262,2100.9549,5.44373674360574,59.2653004231312,3.7964515043
"102","71","SWH","202311","TR","LysC","45cm","71","SWH","71_SWH_202311_TR_LysC_45cm",134.695,2269.8285,4.20134123518403,64.0290126939351,4.1016060995
"103","72","SWH","202311","WC","LysA","10cm","72","SWH","72_SWH_202311_WC_LysA_10cm",37.8213,2574.1908,1.17970368059888,72.6146911142454,4.6515887756
"104","73","SWH","202311","WC","LysA","20cm","73","SWH","73_SWH_202311_WC_LysA_20cm",13.8919,2372.4334,0.433309419837804,66.9233681241185,4.2870131538
"105","74","SWH","202311","WC","LysA","45cm","74","SWH","74_SWH_202311_WC_LysA_45cm",86.386,2345.8498,2.69451029320025,66.1734781382228,4.2389765886
"106","75","SWH","202311","WC","LysB","10cm","75","SWH","75_SWH_202311_WC_LysB_10cm",180.4021,2912.9081,5.62701497192764,82.1694809590973,5.2636509367
"107","76","SWH","202311","WC","LysB","20cm","76","SWH","76_SWH_202311_WC_LysB_20cm",0.7421,2329.2348,0.0231472239550842,65.7047898448519,4.2089532836
"108","77","SWH","202311","WC","LysB","45cm","77","SWH","77_SWH_202311_WC_LysB_45cm",1.3669,1547.7472,0.0426356830941984,43.6600056417489,2.7968051904
"109","78","SWH","202311","WC","LysC","10cm","78","SWH","78_SWH_202311_WC_LysC_10cm",253.6214,3011.8765,7.91083593262633,84.9612552891396,5.4424868355
"110","79","SWH","202311","WC","LysC","20cm","79","SWH","79_SWH_202311_WC_LysC_20cm",374.4658,3319.8437,11.6801559575795,93.6486234132581,5.9989835659
"111","8","MSM","202311","TR","LysA","10cm","8","MSM","8_MSM_202311_TR_LysA_10cm",707.1895,7014.5203,22.0583125389894,197.870812411848,12.6752641821
"112","80","SWH","202311","WC","LysC","45cm","80","SWH","80_SWH_202311_WC_LysC_45cm",10.4249,1804.6159,0.325168434185901,50.9059492242595,3.2609669313
"113","81","SWH","202311","SW","A","81","SWH","202311","81_SWH_202311_SW_A",528.5575,3921.8119,16.4865096693699,110.629390691114,7.0867401033
"114","82","SWH","202311","SW","B","82","SWH","202311","82_SWH_202311_SW_B",548.7604,4057.9593,17.1166687461011,114.469937940762,7.3327584551
"115","83","SWH","202311","SW","C","83","SWH","202311","83_SWH_202311_SW_C",551.2815,4102.1062,17.1953056768559,115.715266572638,7.4125319034
"116","84","GWI","202311","UP","LysA","20cm","84","GWI","84_GWI_202311_UP_LysA_20cm",705.6875,5372.4641,22.0114628820961,151.550468265162,9.7080686287
"117","85","GWI","202311","UP","LysA","45cm","85","GWI","85_GWI_202311_UP_LysA_45cm",608.8664,4850.3224,18.9914660012477,136.821506346968,8.7645585768
"118","86","GWI","202311","UP","LysB","10cm","86","GWI","86_GWI_202311_UP_LysB_10cm",485.6314,4175.7533,15.1475795383656,117.792758815233,7.5456122131
