"","Analysis_No","Site","Date","Zone","Replicate","Depth","NA","Sample_ID","SO4_ppm","Cl_ppm","SO4_mM","Cl_mM","salinity"
"1","1","GCW","202304","UP","LysA","20cm","1","1_GCW_202304_UP_LysA_20cm",8.2441,0.0017,0.257145976294448,4.79548660084626e-05,2.90719e-05
"2","10","GCW","202304","TR","LysB","20cm","10","10_GCW_202304_TR_LysB_20cm",24.9499,73.6636,0.778225202744853,2.07795768688293,0.1331361252
"3","100","MSM","202304","PPR","TR","4","100","100_MSM_202304_PPR_TR_4",741.9526,5993.3481,23.1426263256394,169.06482651622,10.8300060167
"4","100","MSM","202304","PPR","TR","4","100","100_MSM_202304_PPR_TR_4",741.9526,0,23.1426263256394,0,2.6e-05
"5","100","MSM","202304","PPR","TR","4","100","100_MSM_202304_PPR_TR_4",741.9526,0,23.1426263256394,0,2.6e-05
"6","100","MSM","202304","PPR","TR","4","100","100_MSM_202304_PPR_TR_4",9.2977,5993.3481,0.290009357454772,169.06482651622,10.8300060167
"7","100","MSM","202304","PPR","TR","4","100","100_MSM_202304_PPR_TR_4",9.2977,0,0.290009357454772,0,2.6e-05
"8","100","MSM","202304","PPR","TR","4","100","100_MSM_202304_PPR_TR_4",9.2977,0,0.290009357454772,0,2.6e-05
"9","100","MSM","202304","PPR","TR","4","100","100_MSM_202304_PPR_TR_4",8.3717,5993.3481,0.261126013724267,169.06482651622,10.8300060167
"10","100","MSM","202304","PPR","TR","4","100","100_MSM_202304_PPR_TR_4",8.3717,0,0.261126013724267,0,2.6e-05
"11","100","MSM","202304","PPR","TR","4","100","100_MSM_202304_PPR_TR_4",8.3717,0,0.261126013724267,0,2.6e-05
"12","101","MSM","202304","PPR","TR","5","101","101_MSM_202304_PPR_TR_5",0,0,0,0,2.6e-05
"13","101","MSM","202304","PPR","TR","5","101","101_MSM_202304_PPR_TR_5",0,6018.509,0,169.774583921016,10.875471763
