"","Analysis_No","Site","Date","Zone","Replicate","Depth","Sample_ID","SO4_ppm","Cl_ppm","SO4_mM","Cl_mM","salinity"
"1","1","GCW","202306","UP","LysA","20cm","1_GCW_202306_UP_LysA_20cm",5.2274,7.1807,0.16305053025577,0.202558533145275,0.0130015249
"2","10","GCW","202306","TR","LysB","20cm","10_GCW_202306_TR_LysB_20cm",4.9649,6.2568,0.154862757330006,0.176496473906911,0.0113320376
"3","100","GWI","202306","WC","LysA","10cm","100_GWI_202306_WC_LysA_10cm",1136.178,11561.988,35.4391141609482,326.149167842031,20.892538316
"4","101","GWI","202306","WC","LysA","20cm","101_GWI_202306_WC_LysA_20cm",1325.5768,10940.2142,41.3467498440424,308.609709449929,19.7689930594
"5","102","GWI","202036","WC","LysA","45cm","102_GWI_202036_WC_LysA_45cm",1374.3504,11492.149,42.8680723643169,324.179097320169,20.766339243
"6","103","GWI","202306","WC","LysB","10cm","103_GWI_202306_WC_LysB_10cm",1309.7705,12131.0664,40.853727386151,342.202155148096,21.9208629848
"7","104","GWI","202306","WC","LysB","20cm","104_GWI_202306_WC_LysB_20cm",1272.8472,11054.966,39.7020336868372,311.846713681241,19.976349562
"8","105","GWI","202306","WC","LysB","45cm","105_GWI_202306_WC_LysB_45cm",1666.5338,13351.2461,51.9817155333749,376.62189280677,24.1257277027
"9","106","GWI","202306","WC","LysC","10cm","106_GWI_202306_WC_LysC_10cm",1199.1082,11468.4257,37.4020024953213,323.50989280677,20.7234712399
"10","107","GWI","202306","WC","LysC","20cm","107_GWI_202306_WC_LysC_20cm",1599.5532,12648.3147,49.8924890829694,356.793080394922,22.8555306629
"11","108","GWI","202306","SW","A","108","108_GWI_202306_SW_A",1790.3015,13061.0534,55.842217716781,368.435921015515,23.6013494938
"12","109","GWI","202306","SW","B","109","109_GWI_202306_SW_B",1768.6562,12947.2548,55.1670679975047,365.225805359661,23.3957154236
"13","11","GCW","202306","TR","LysB","45cm","11_GCW_202306_TR_LysB_45cm",5.5728,4.2406,0.173824079850281,0.119622002820874,0.0076887642
"14","110","GWI","202036","SW","C","110","110_GWI_202036_SW_C",1788.3432,13100.2913,55.781135371179,369.542772919605,23.6722523791
"15","111","MSM","202306","UP","RHZ","SF6","111_MSM_202306_UP_RHZ_SF6",132.288,1071.7023,4.12626325639426,30.2313765867419,1.9365920561
"16","112","MSM","202306","TR","RHZ","SF1","112_MSM_202306_TR_RHZ_SF1",1086.1118,9408.0757,33.8774734872115,265.390005641749,17.0004187899
"17","113","MSM","202306","TR","RHZ","SF2","113_MSM_202306_TR_RHZ_SF2",891.5357,8029.1285,27.8083499688085,226.491636107193,14.5086611995
"18","114","MSM","202306","TR","RHZ","SF3","114_MSM_202306_TR_RHZ_SF3",974.5371,8446.5117,30.3972894572676,238.265492242595,15.2628726419
"19","115","MSM","202306","TR","RHZ","SF4","115_MSM_202306_TR_RHZ_SF4",1247.3714,10102.6968,38.9074048658765,284.984394922426,18.2555991176
"20","116","MSM","202306","TR","RHZ","SF5","116_MSM_202306_TR_RHZ_SF5",985.5724,8613.1654,30.7414971927636,242.966583921015,15.5640158778
"21","117","MSM","202306","TR","RHZ","SF6","117_MSM_202306_TR_RHZ_SF6",1114.8461,9222.3539,34.7737398627573,260.151026798307,16.6648194973
"22","118","MSM","202306","TR","RHZ","SF7","118_MSM_202306_TR_RHZ_SF7",1075.1471,9131.0061,33.5354678727386,257.574220028209,16.4997540227
"23","119","MSM","202306","TR","RHZ","SF8","119_MSM_202306_TR_RHZ_SF8",1038.0071,9419.7572,32.3770149719276,265.719526093089,17.0215272604
"24","12","GCW","202306","TR","LysC","10cm","12_GCW_202306_TR_LysC_10cm",18.1892,53.0561,0.567348721147848,1.49664598025388,0.0958983727
"25","120","MSM","202306","WC","RHZ","Col1","120_MSM_202306_WC_RHZ_Col1",1094.7124,9713.3353,34.145739238927,274.000995768688,17.5520228871
"26","121","MSM","202306","WC","RHZ","Col2","121_MSM_202306_WC_RHZ_Col2",875.2224,8937.4618,27.2995134123518,252.114578279267,16.1500194726
"27","122","MSM","202036","WC","RHZ","Col3","122_MSM_202036_WC_RHZ_Col3",1049.7841,9976.7031,32.7443574547723,281.430270803949,18.0279285017
"28","123","MSM","202306","WC","RHZ","Col4","123_MSM_202306_WC_RHZ_Col4",989.9609,9748.9528,30.8783811603244,275.005720733427,17.6163837096
"29","124","MSM","202306","WC","RHZ","Col5","124_MSM_202306_WC_RHZ_Col5",1054.7555,9611.7041,32.8994229569557,271.13410719323,17.3683753087
"30","125","MSM","202306","WC","RHZ","SipA","125_MSM_202306_WC_RHZ_SipA",1246.882,10019.1289,38.8921397379913,282.627049365303,18.1045919223
"31","126","MSM","202306","WC","RHZ","SipB","126_MSM_202306_WC_RHZ_SipB_",919.7063,9966.8549,28.6870336868372,281.152465444288,18.0101328043
"32","127","MSM","202306","WC","RHZ","SipC","127_MSM_202306_WC_RHZ_SipC",931.8486,9704.7392,29.0657704304429,273.758510578279,17.5364897344
"33","128","MSM","202306","UP","PPR","1","128_MSM_202306_UP_PPR_1",44.7657,815.6234,1.39631004366812,23.0077122708039,1.4738574838
"34","129","MSM","202306","UP","PPR","2","129_MSM_202306_UP_PPR_2",56.2271,931.0506,1.75380848409233,26.2637686882934,1.6824344342
"35","13","GCW","202306","TR","LysC","20cm","13_GCW_202306_TR_LysC_20cm",7.5668,59.5652,0.236019962570181,1.68025952045134,0.1076603164
"36","130","MSM","202306","UP","PPR","3","130_MSM_202306_UP_PPR_3",77.799,923.5793,2.42666874610106,26.0530126939351,1.6689337951
"37","131","MSM","202306","UP","PPR","4","131_MSM_202306_UP_PPR_4",99.0902,1030.9977,3.09077354959451,29.0831509167842,1.8630388439
"38","132","MSM","202306","UP","PPR","5","132_MSM_202306_UP_PPR_5",162.9493,1566.0638,5.0826356830942,44.1766939351199,2.8299032866
"39","133","MSM","202306","UP","PPR","6","133_MSM_202306_UP_PPR_6",160.0524,1779.0776,4.99227698066126,50.1855458392102,3.2148192232
"40","134","MSM","202306","UP","PPR","7","134_MSM_202306_UP_PPR_7",177.0942,3053.8581,5.52383655645664,86.1455035260931,5.5183475867
"41","135","MSM","202306","UP","PPR","8","135_MSM_202306_UP_PPR_8",183.6989,3110.9823,5.72984716157205,87.7569055007052,5.6215710161
"42","136","MSM","202306","UP","PPR","9","136_MSM_202306_UP_PPR_9",181.5773,3074.7094,5.66367124142233,86.7336925246827,5.5560258858
"43","137","MSM","202306","UP","PPR","10","137_MSM_202306_UP_PPR_10",191.5831,3078.3672,5.97576731129133,86.836874471086,5.5626355304
"44","138","MSM","202306","UP","PPR","11","138_MSM_202306_UP_PPR_11",173.294,2891.3391,5.4053025577043,81.5610465444288,5.2246757537
"45","139","MSM","202306","UP","PPR","12","139_MSM_202306_UP_PPR_12",181.4733,2907.0668,5.66042732376793,82.0047052186178,5.2530957076
"46","14","GCW","202306","TR","LysC","45cm","14_GCW_202306_TR_LysC_45cm",18.4423,54.1842,0.57524329382408,1.5284682651622,0.0979368494
"47","140","MSM","202306","TR","PPR","1","140_MSM_202306_TR_PPR_1",164.8393,1705.2825,5.1415876481597,48.1038787023977,3.0814714775
"48","141","MSM","202306","TR","PPR","2","141_MSM_202306_TR_PPR_2",237.8114,2340.9398,7.41769806612601,66.0349732016925,4.2301042186
"49","142","MSM","202306","TR","PPR","3","142_MSM_202306_TR_PPR_3",457.4169,4089.3654,14.2675265127885,115.355864598025,7.3895092778
"50","143","MSM","202306","TR","PPR","4","143_MSM_202306_TR_PPR_4",818.073,6957.8727,25.5169369931379,196.272854724965,12.5729019689
