"","Analysis_No","Site","Date","Zone","Replicate","Depth","RHZ","RHZ_Rep","Sample_ID","SO4_ppm","Cl_ppm","SO4_mM","Cl_mM","salinity"
"1","100","GWI","202309","TR","LysC","10cm","100","GWI","100_GWI_202309_TR_LysC_10cm",788.881,6095.3894,24.6063942607611,171.943283497884,11.0143946458
"2","101","GWI","202309","TR","LysC","20cm","101","GWI","101_GWI_202309_TR_LysC_20cm",1056.3073,8415.0182,32.9478259513412,237.377100141044,15.2059638874
"3","102","GWI","202309","TR","LysC","45cm","102","GWI","102_GWI_202309_TR_LysC_45cm",1187.112,9569.5749,37.0278228321896,269.945695345557,17.2922478443
"4","103","GWI","202309","WC","LysA","10cm","103","GWI","103_GWI_202309_WC_LysA_10cm",1855.2192,13352.3605,57.8670991890206,376.653328631876,24.1277414235
"5","104","GWI","202309","WC","LysA","20cm","104","GWI","104_GWI_202309_WC_LysA_20cm",1376.2186,13901.3223,42.9263443543356,392.13885190409,25.1197153961
"6","105","GWI","202309","WC","LysA","45cm","105","GWI","105_GWI_202309_WC_LysA_45cm",1402.7146,12239.4304,43.7527947598253,345.258967559944,22.1166767328
"7","106","GWI","202309","WC","LysB","10cm","106","GWI","106_GWI_202309_WC_LysB_10cm",1619.3436,12915.6765,50.5097816593886,364.335021156558,23.3386534355
"8","107","GWI","202309","WC","LysB","20cm","107","GWI","107_GWI_202309_WC_LysB_20cm",1716.9226,13841.5623,53.5534185901435,390.453097320169,25.0117290761
"9","108","GWI","202309","WC","LysB","45cm","108","GWI","108_GWI_202309_WC_LysB_45cm",1693.2363,13694.8782,52.8146069868996,386.315322990127,24.7466709074
"10","109","GWI","202309","WC","LysC","10cm","109","GWI","109_GWI_202309_WC_LysC_10cm",2352.6008,16941.3424,73.3811852776045,477.894002820874,30.6130317168
"11","110","GWI","202309","WC","LysC","20cm","110","GWI","110_GWI_202309_WC_LysC_20cm",1175.5635,13445.2265,36.6676076107299,379.272961918195,24.2955502855
"12","111","GWI","202309","SW","A","111","GWI","202309","111_GWI_202309_SW_A",1931.3778,13871.3668,60.2426013724267,391.293844851904,25.0655858076
"13","112","GWI","202309","SW","B","112","GWI","202309","112_GWI_202309_SW_B",1766.9321,12686.6442,55.1132907049283,357.874307475317,22.9247920694
"14","113","GWI","202309","SW","C","113","GWI","202309","113_GWI_202309_SW_C",1739.8131,12538.5268,54.2674079850281,353.696101551481,22.6571439276
