"","Analysis_No","Site","Date","Zone","Replicate","Depth","RHZ","RHZ_Rep","Sample_ID","SO4_ppm","Cl_ppm","SO4_mM","Cl_mM","salinity"
"1","1","MSM","202310","UP","LysA","20cm","1","MSM","1_MSM_202310_UP_LysA_20cm",156.4865,2514.5857,4.88105115408609,70.9333060648801,4.5438823599
"2","10","MSM","202310","TR","LysA","45cm","10","MSM","10_MSM_202310_TR_LysA_45cm",543.5656,4326.3707,16.9546350592639,122.041486600846,7.8177778549
"3","100","GWI","202310","TR","LysC","45cm","100","GWI","100_GWI_202310_TR_LysC_45cm",1169.1941,9434.979,36.4689363693075,266.148913963329,17.049033053
"4","101","GWI","202310","WC","LysA","10cm","101","GWI","101_GWI_202310_WC_LysA_10cm",1797.0279,14570.5587,56.0520243293824,411.017170662905,26.3290255709
"5","102","GWI","202310","WC","LysA","20cm","102","GWI","102_GWI_202310_WC_LysA_20cm",1448.6028,13511.7884,45.1841172800998,381.150589562764,24.4158276388
"6","103","GWI","202310","WC","LysA","45cm","103","GWI","103_GWI_202310_WC_LysA_45cm",1413.1583,12517.1196,44.0785495945103,353.092231311707,22.6184611172
"7","104","GWI","202310","WC","LysB","10cm","104","GWI","104_GWI_202310_WC_LysB_10cm",1707.3696,15025.4587,53.2554460386775,423.849328631876,27.1510298709
"8","105","GWI","202310","WC","LysB","20cm","105","GWI","105_GWI_202310_WC_LysB_20cm",1659.2605,14243.213,51.7548502807236,401.783159379408,25.737511891
"9","106","GWI","202310","WC","LysB","45cm","106","GWI","106_GWI_202310_WC_LysB_45cm",1619.9601,13232.1042,50.5290112289457,373.261049365303,23.9104382894
"10","107","GWI","202310","WC","LysC","10cm","107","GWI","107_GWI_202310_WC_LysC_10cm",1924.8722,15362.5526,60.0396818465377,433.358324400564,27.7601585482
"11","108","GWI","202310","WC","LysC","20cm","108","GWI","108_GWI_202310_WC_LysC_20cm",1350.3266,14363.297,42.1187336244542,405.170578279267,25.954503679
"12","109","GWI","202310","SW","A","109","GWI","202310","109_GWI_202310_SW_A",1981.343,14229.5146,61.8010917030568,401.39674471086,25.7127588822
"13","11","MSM","202310","TR","LysB","10cm","11","MSM","11_MSM_202310_TR_LysB_10cm",744.7543,7094.4554,23.230015595758,200.125681241185,12.8197069078
"14","110","GWI","202310","SW","B","110","GWI","202310","110_GWI_202310_SW_B",1925.0477,108.1539,60.0451559575795,3.05088575458392,0.1954600973
"15","111","GWI","202310","SW","C","111","GWI","202310","111_GWI_202310_SW_C",1946.6882,13991.2256,60.7201559575795,394.674911142454,25.2821706592
"16","112","MSM","202310","UP","RHZ","SF","Tree","1","112_MSM_202310_UP_RHZ_SF_Tree_1",311.0859,2830.7303,9.70324079850281,79.8513483779972,5.1151556521
"17","113","MSM","202310","UP","RHZ","SF","Tree","2","113_MSM_202310_UP_RHZ_SF_Tree_2",237.6557,2770.2964,7.41284154709919,78.1465839210155,5.0059515948
"18","114","MSM","202310","UP","RHZ","SF","Tree","3","114_MSM_202310_UP_RHZ_SF_Tree_3",218.8257,2034.8936,6.8255053025577,57.4017940761636,3.6770787352
"19","115","MSM","202310","UP","RHZ","SF","Tree","4","115_MSM_202310_UP_RHZ_SF_Tree_4",328.8528,13.7746,10.2574173424828,0.388564174894217,0.0249167022
"20","116","MSM","202310","UP","RHZ","SF","Tree","6","116_MSM_202310_UP_RHZ_SF_Tree_6",333.1379,3775.6669,10.3910761072988,106.506823695346,6.8226560883
"21","117","MSM","202310","UP","RHZ","SF","Tree","7","117_MSM_202310_UP_RHZ_SF_Tree_7",224.1151,84.4719,6.99048970679975,2.38284626234133,0.1526667233
"22","118","MSM","202310","TR","RHZ","SF","Tree","1","118_MSM_202310_TR_RHZ_SF_Tree_1",948.5724,9166.5349,29.5874111041797,258.576442877292,16.5639545643
"23","119","MSM","202310","TR","RHZ","SF","Tree","2","119_MSM_202310_TR_RHZ_SF_Tree_2",919.7457,8431.3908,28.6882626325639,237.838950634697,15.2355491756
"24","12","MSM","202310","TR","LysB","20cm","12","MSM","12_MSM_202310_TR_LysB_20cm",398.4344,6612.6314,12.4277729257642,186.534031029619,11.9490509398
"25","120","MSM","202310","TR","RHZ","SF","Tree","3","120_MSM_202310_TR_RHZ_SF_Tree_3",904.145,8163.1,28.2016531503431,230.270803949224,14.7507477
"26","121","MSM","202310","TR","RHZ","SF","Tree","4","121_MSM_202310_TR_RHZ_SF_Tree_4",894.6568,8047.9702,27.9057018091079,227.023136812412,14.5427081514
"27","122","MSM","202310","TR","RHZ","SF","Tree","5","122_MSM_202310_TR_RHZ_SF_Tree_5",903.023,8877.3745,28.1666562694947,250.419590973202,16.0414417215
"28","123","MSM","202310","TR","RHZ","SF","Tree","6","123_MSM_202310_TR_RHZ_SF_Tree_6",986.3575,9219.247,30.7659856519027,260.063385049365,16.659205329
"29","124","MSM","202310","TR","RHZ","SF","Tree","7","124_MSM_202310_TR_RHZ_SF_Tree_7",942.8301,9272.3368,29.408300062383,261.560981664316,16.7551385976
"30","125","MSM","202310","TR","RHZ","SF","Tree","8","125_MSM_202310_TR_RHZ_SF_Tree_8",948.0931,9373.2995,29.5724610106051,264.409012693935,16.9375781965
"31","126","MSM","202310","WC","RHZ","SF","Collar","1","126_MSM_202310_WC_RHZ_SF_Collar_1",1235.7893,9655.6414,38.5461416094822,272.373523272214,17.4477700098
"32","127","MSM","202310","WC","RHZ","SF","Collar","2","127_MSM_202310_WC_RHZ_SF_Collar_2",771.8448,9735.9988,24.0750093574548,274.640304654443,17.5929758316
"33","128","MSM","202310","WC","RHZ","SF","Collar","3","128_MSM_202310_WC_RHZ_SF_Collar_3",1051.9811,9383.5586,32.8128852152215,264.698409026798,16.9561163902
"34","129","MSM","202310","WC","RHZ","SF","Collar","4","129_MSM_202310_WC_RHZ_SF_Collar_4",984.6184,67.7356,30.7117404865876,1.91073624823695,0.1224242292
"35","13","MSM","202310","TR","LysB","45cm","13","MSM","13_MSM_202310_TR_LysB_45cm",271.4192,4909.4915,8.46597629444791,138.490592383639,8.8714771405
"36","130","MSM","202310","WC","RHZ","SF","Collar","5","130_MSM_202310_WC_RHZ_SF_Collar_5",1056.5185,9928.2328,32.9544135995009,280.06298448519,17.9403426696
"37","131","MSM","202310","WC","RHZ","LysA","131","MSM","131_MSM_202310_WC_RHZ_LysA",1235.0399,9903.3543,38.522766687461,279.361193229901,17.8953872201
"38","132","MSM","202310","WC","RHZ","LysC","132","MSM","132_MSM_202310_WC_RHZ_LysC",928.566,10022.559,28.9633811603244,282.723808180536,18.110790113
