"","Analysis_No","Site","Date","Zone","Replicate","Depth","RHZ","RHZ_Rep","Sample_ID","SO4_ppm","Cl_ppm","SO4_mM","Cl_mM","salinity"
"1","1","MSM","202308","UP","LysA","20cm","1","MSM","1_MSM_202308_UP_LysA_20cm",149.8293,1634.4984,4.67340299438553,46.1071480959097,2.9535646088
"2","10","MSM","202308","TR","LysA","45cm","10","MSM","10_MSM_202308_TR_LysA_45cm",507.2198,4042.2568,15.8209544603868,114.026990126939,7.3043840376
"3","100","GWI","202308","TR","LysB","45cm","100","GWI","100_GWI_202308_TR_LysB_45cm",1004.2827,8516.9094,31.3250998128509,240.251322990127,15.3900812858
"4","101","GWI","202308","TR","LysC","10cm","101","GWI","101_GWI_202308_TR_LysC_10cm",1119.1039,7253.3077,34.906547099189,204.606705218618,13.1067530139
"5","102","GWI","202308","TR","LysC","20cm","102","GWI","102_GWI_202308_TR_LysC_20cm",892.721,8024.7337,27.8453212726138,226.367664315938,14.5007197959
"6","103","GWI","202308","TR","LysC","45cm","103","GWI","103_GWI_202308_TR_LysC_45cm",1093.3388,8828.0445,34.1028945726762,249.028053596615,15.9523024115
"7","104","GWI","202308","WC","LysA","10cm","104","GWI","104_GWI_202308_WC_LysA_10cm",2718.7356,11504.4834,84.8014847161572,324.527035260931,20.7886275038
"8","105","GWI","202308","WC","LysA","20cm","105","GWI","105_GWI_202308_WC_LysA_20cm",945.2254,10942.6965,29.4830131004367,308.679732016925,19.7734785755
"9","106","GWI","202308","WC","LysA","45cm","106","GWI","106_GWI_202308_WC_LysA_45cm",1252.6509,10793.0786,39.072080474111,304.45919887165,19.5031190302
"10","107","GWI","202308","WC","LysB","10cm","107","GWI","107_GWI_202308_WC_LysB_10cm",2326.4733,11959.0176,72.5662289457268,337.348874471086,21.6099708032
"11","108","GWI","202308","WC","LysB","20cm","108","GWI","108_GWI_202308_WC_LysB_20cm",1279.3425,11689.5061,39.9046319401123,329.746293370945,21.1229635227
"12","109","GWI","202308","WC","LysB","45cm","109","GWI","109_GWI_202308_WC_LysB_45cm",1476.8948,11903.274,46.0665876481597,335.776417489422,21.509242118
"13","11","MSM","202308","TR","LysB","10cm","11","MSM","11_MSM_202308_TR_LysB_10cm",512.6074,5592.8421,15.989001871491,157.767055007052,10.1062916747
"14","110","GWI","202308","WC","LysC","10cm","110","GWI","110_GWI_202308_WC_LysC_10cm",1402.0502,12627.7278,43.7320711166563,356.212349788434,22.8183301346
"15","111","GWI","202308","WC","LysC","20cm","111","GWI","111_GWI_202308_WC_LysC_20cm",1017.4247,11857.2876,31.7350187149095,334.47919887165,21.4261446932
"16","112","GWI","202308","SW","A","112","GWI","202308","112_GWI_202308_SW_A",1864.6615,13529.2759,58.1616188396756,381.643889985896,24.4474275513
"17","113","GWI","202308","SW","B","113","GWI","202308","113_GWI_202308_SW_B",1867.3566,13480.9755,58.2456830941984,380.281396332863,24.3601487285
"18","114","GWI","202308","SW","C","114","GWI","202308","114_GWI_202308_SW_C",1891.0865,13626.7307,58.9858546475359,384.392967559944,24.6235283749
"19","115","MSM","202308","TR","RHZ","SF","Tree","1","115_MSM_202308_TR_RHZ_SF_Tree_1",731.6378,7254.3361,22.820892077355,204.635715091678,13.1086113327
"20","116","MSM","202308","TR","RHZ","SF","Tree","2","116_MSM_202308_TR_RHZ_SF_Tree_2",805.5504,7213.1166,25.1263381160324,203.472964739069,13.0341276962
"21","117","MSM","202308","TR","RHZ","SF","Tree","3","117_MSM_202308_TR_RHZ_SF_Tree_3",612.8179,5597.8593,19.1147192763568,157.908583921015,10.1153577551
"22","118","MSM","202308","TR","RHZ","SF","Tree","4","118_MSM_202308_TR_RHZ_SF_Tree_4",944.0727,7538.3508,29.4470586400499,212.64741325811,13.6218258956
"23","119","MSM","202308","TR","RHZ","SF","Tree","5","119_MSM_202308_TR_RHZ_SF_Tree_5",770.0282,6771.4897,24.0183468496569,191.01522425952,12.2361078879
"24","12","MSM","202308","TR","LysB","20cm","12","MSM","12_MSM_202308_TR_LysB_20cm",466.0289,5745.526,14.5361478477854,162.074076163611,10.382191482
"25","120","MSM","202308","TR","RHZ","SF","Tree","6","120_MSM_202308_TR_RHZ_SF_Tree_6",701.8313,7146.3605,21.8911821584529,201.589858956276,12.9134994235
"26","121","MSM","202308","TR","RHZ","SF","Tree","7","121_MSM_202308_TR_RHZ_SF_Tree_7",702.6218,7261.3462,21.9158390517779,204.833461212976,13.1212785834
"27","122","MSM","202308","TR","RHZ","SF","Tree","8","122_MSM_202308_TR_RHZ_SF_Tree_8",683.4949,7998.2162,21.3192420461634,225.619638928068,14.4528026734
"28","123","MSM","202308","WC","RHZ","Collar","1","123","123_MSM_202308_WC_RHZ_Collar_1",1281.6676,10042.8303,39.9771553337492,283.295636107193,18.1474203521
"29","124","MSM","202308","WC","RHZ","Collar","2","124","124_MSM_202308_WC_RHZ_Collar_2",830.8524,9312.3286,25.9155458515284,262.689100141044,16.8274037802
