,1,2,3,4,5,6,7,8,9,10,11,12
A,0.061,0.063,0.066,0.06,0.061,0.062,0.063,0.065,0.068,0.1,0.09,0.097
B,0.167,0.138,0.132,0.259,0.208,0.255,0.069,0.064,0.067,0.079,0.076,0.073
C,0.24,0.234,0.249,0.062,0.06,0.061,0.077,0.068,0.07,0.08,0.078,0.077
D,0.581,0.411,0.47,0.101,0.103,0.095,0.064,0.065,0.067,0.627,0.69,0.622
E,0.861,0.785,0.762,0.067,0.068,0.063,0.071,0.071,0.069,0.472,0.529,0.495
F,1.213,1.384,1.365,0.061,0.065,0.062,0.071,0.072,0.07,0.978,0.987,0.957
G,1.286,1.288,1.408,0.087,0.085,0.08,0.076,0.08,0.074,0.679,0.795,0.754
H,1.2,1.259,1.364,0.079,0.08,0.082,0.479,0.364,0.379,0.987,0.913,0.936
,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,Std 0,Std 0,Std 0,GWI_TR_B_10,GWI_TR_B_10,GWI_TR_B_10,GWI_WC_B_10,GWI_WC_B_10,GWI_WC_B_10,GWI_SW_A,GWI_SW_A,GWI_SW_A
B,Std 1,Std 1,Std 1,GWI_TR_B_45,GWI_TR_B_45,GWI_TR_B_45,GWI_WC_B_20,GWI_WC_B_20,GWI_WC_B_20,GWI_SW_B,GWI_SW_B,GWI_SW_B
C,Std 2,Std 2,Std 2,GWI_TR_C_10,GWI_TR_C_10,GWI_TR_C_10,GWI_WC_B_45,GWI_WC_B_45,GWI_WC_B_45,GWI_SW_C,GWI_SW_C,GWI_SW_C
D,Std 3,Std 3,Std 3,GWI_TR_C_20,GWI_TR_C_20,GWI_TR_C_20,GWI_WC_C_10,GWI_WC_C_10,GWI_WC_C_10,SWH_SWAMP_C_45,SWH_SWAMP_C_45,SWH_SWAMP_C_45
E,Std 4,Std 4,Std 4,GWI_TR_C_45,GWI_TR_C_45,GWI_TR_C_45,GWI_WC_C_20,GWI_WC_C_20,GWI_WC_C_20,SWH_TR_A_20,SWH_TR_A_20,SWH_TR_A_20
F,Std 5,Std 5,Std 5,GWI_WC_A_10,GWI_WC_A_10,GWI_WC_A_10,GWI_WC_C_20 dup,GWI_WC_C_20 dup,GWI_WC_C_20 dup,SWH_TR_A_45,SWH_TR_A_45,SWH_TR_A_45
G,MC: 10ppt S5,MC: 10ppt S5,MC: 10ppt S5,GWI_WC_A_20,GWI_WC_A_20,GWI_WC_A_20,GWI_WC_C_45,GWI_WC_C_45,GWI_WC_C_45,SWH_TR_B_45,SWH_TR_B_45,SWH_TR_B_45
H,MC: 20ppt S5,MC: 20ppt S5,MC: 20ppt S5,GWI_WC_A_45,GWI_WC_A_45,GWI_WC_A_45,GWI_WC_C_45 spk,GWI_WC_C_45 spk,GWI_WC_C_45 spk,SWH_TR_C_45,SWH_TR_C_45,SWH_TR_C_45
,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,1,1,1,1,1,1,1,1,1,1,1,1
B,1,1,1,1,1,1,1,1,1,1,1,1
C,1,1,1,1,1,1,1,1,1,1,1,1
D,1,1,1,1,1,1,1,1,1,5,5,5
E,1,1,1,1,1,1,1,1,1,5,5,5
F,1,1,1,1,1,1,1,1,1,10,10,10
G,1,1,1,1,1,1,1,1,1,5,5,5
H,1,1,1,1,1,1,1,1,1,10,10,10
