,1,2,3,4,5,6,7,8,9,10,11,12
A,0.063,0.062,0.059,0.062,0.06,0.066,0.084,0.102,0.085,2.584,2.772,2.844
B,0.195,0.155,0.135,0.061,0.064,0.063,0.062,0.06,0.062,2.632,2.81,2.776
C,0.249,0.305,0.267,0.057,0.069,0.063,0.08,0.081,0.077,2.427,2.621,2.522
D,0.413,0.46,0.426,0.062,1.094,1.317,1.287,0.478,0.468,0.486,0.309,0.343
E,0.786,0.781,0.691,0.094,0.089,0.093,0.062,0.063,0.066,0.347,0.333,0.333
F,1.339,1.316,1.139,0.091,0.09,0.087,0.066,0.066,0.06,0.06,0.062,0.059
G,1.255,1.24,1.278,0.074,0.071,0.079,0.07,0.066,0.069,2.67,2.719,2.757
H,1.215,1.207,1.205,0.19,0.155,0.169,2.464,2.643,2.664,0.885,0.682,0.781
,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,Std 0,Std 0,Std 0,1,1,1,9,9,9,14,14,14
B,Std 1,Std 1,Std 1,2,2,2,ChkStd 0,ChkStd 0,ChkStd 0,15,15,15
C,Std 2,Std 2,Std 2,3,3,3,9 Dup,9 Dup,9 Dup,16,16,16
D,Std 3,Std 3,Std 3,13,13,13,ChkStd 3,ChkStd 3,ChkStd 3,1 Spike,1 Spike,1 Spike
E,Std 4,Std 4,Std 4,5,5,5,10,10,10,10 Spike,10 Spike,10 Spike
F,Std 5,Std 5,Std 5,6,6,6,11,11,11,ChkStd 0,ChkStd 0,ChkStd 0
G,MC: 10ppt S5,MC: 10ppt S5,MC: 10ppt S5,7,7,7,12,12,12,16 Dup,16 Dup,16 Dup
H,MC: 20ppt S5,MC: 20ppt S5,MC: 20ppt S5,8,8,8,13,13,13,ChkStd 4,ChkStd 4,ChkStd 4
,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,1,1,1,1,1,1,1,1,1,5,5,5
B,1,1,1,1,1,1,1,1,1,5,5,5
C,1,1,1,1,1,1,1,1,1,5,5,5
D,1,1,1,25,25,25,1,1,1,1,1,1
E,1,1,1,1,1,1,1,1,1,1,1,1
F,1,1,1,1,1,1,1,1,1,1,1,1
G,1,1,1,1,1,1,1,1,1,5,5,5
H,1,1,1,1,1,1,5,5,5,1,1,1
