"","ID_full","H2S_mean","H2S_sd","H2S_cv","IDs","Site","Zone","Replicate","Depth_cm","Plate","H2S_QAQC_flag","Dilution","H2S_cv_flag","H2S_Conc_flag","Depth","Sample_ID"
"1","Plate2_50_MSM_WC_A_45",0,0,0,"MSM_WC_A_45","MSM","WC","A","45","Plate2","Std curve r2 low; Dup perc diff out of range; Spk recovery out of range",50,"Within Range","bdl","45cm","MSM_202605_WC_LYSA_45CM"
"2","Plate6_10_MSM_WC_A_45",0,0,0,"MSM_WC_A_45","MSM","WC","A","45","Plate6","Spk recovery out of range",10,"Within Range","bdl","45cm","MSM_202605_WC_LYSA_45CM"
