"","ID_full","H2S_mean","H2S_sd","H2S_cv","IDs","Site","Zone","Replicate","Depth_cm","Plate","H2S_QAQC_flag","Dilution","H2S_cv_flag","H2S_Conc_flag","Depth","Sample_ID"
"1","Plate3_1_SWH_SWAMP_A_10",10.1656331845143,1.12753243067095,11.0916104310016,"SWH_SWAMP_A_10","SWH","SWAMP","A","10","Plate3","Spk recovery out of range",1,"High CV","Within Range","10cm","SWH_202605_SWAMP_LYSA_10CM"
"2","Plate3_1_SWH_SWAMP_B_10",1.71440341052143,0.22550648613419,13.1536419462443,"SWH_SWAMP_B_10","SWH","SWAMP","B","10","Plate3","Spk recovery out of range",1,"High CV","Within Range","10cm","SWH_202605_SWAMP_LYSB_10CM"
"3","Plate4_1_SWH_TR_B_10",15.331949795882,14.2380050413961,92.8649338861015,"SWH_TR_B_10","SWH","TR","B","10","Plate4","Std curve r2 low",1,"High CV","Within Range","10cm","SWH_202605_TR_LYSB_10CM"
"4","Plate4_1_SWH_WC_A_45",0.139644460299054,0.197487089665193,141.42135623731,"SWH_WC_A_45","SWH","WC","A","45","Plate4","Std curve r2 low",1,"High CV","Within Range","45cm","SWH_202605_WC_LYSA_45CM"
"5","Plate6_10_SWH_TR_C_45",316.524862419774,33.262206704793,10.508560512596,"SWH_TR_C_45","SWH","TR","C","45","Plate6","Spk recovery out of range",10,"High CV","Within Range","45cm","SWH_202605_TR_LYSC_45CM"
