"","IDs","H2S_info"
"1","99","bdl"
"2","99","bdl"
"3","99","bdl"
"4","36","Within_Range"
"5","36","Within_Range"
"6","36","Within_Range"
"7","100","bdl"
"8","100","bdl"
"9","100","bdl"
"10","101","bdl"
"11","101","bdl"
"12","101","bdl"
"13","36 Dup","Within_Range"
"14","36 Dup","Within_Range"
"15","36 Dup","Within_Range"
"16","29","Within_Range"
"17","29","Within_Range"
"18","29","Within_Range"
"19","99 Spike","Within_Range"
"20","99 Spike","Within_Range"
"21","99 Spike","Within_Range"
"22","30","Within_Range"
"23","30","Within_Range"
"24","30","Within_Range"
"25","81","Within_Range"
"26","81","Within_Range"
"27","81","Within_Range"
"28","81 Spike","Within_Range"
"29","81 Spike","Within_Range"
"30","81 Spike","Within_Range"
"31","31","Within_Range"
"32","31","Within_Range"
"33","31","Within_Range"
"34","32","Within_Range"
"35","32","Within_Range"
"36","32","Within_Range"
"37","33","Within_Range"
"38","33","Within_Range"
"39","33","Within_Range"
