"","IDs","H2S_info"
"1","58","Within_Range"
"2","58","Within_Range"
"3","58","Within_Range"
"4","59","Within_Range"
"5","59","Within_Range"
"6","59","Within_Range"
"7","80","Within_Range"
"8","80","Within_Range"
"9","80","Within_Range"
"10","85","Within_Range"
"11","85","Within_Range"
"12","85","Within_Range"
"13","28","Within_Range"
"14","28","Within_Range"
"15","28","Within_Range"
"16","WC-2","Within_Range"
"17","WC-2","Within_Range"
"18","WC-2","Within_Range"
"19","WC-3","Within_Range"
"20","WC-3","Within_Range"
"21","WC-3","Within_Range"
