"","IDs","H2S_info"
"1","13","Within_Range"
"2","13","Within_Range"
"3","13","Within_Range"
"4","27","bdl"
"5","27","bdl"
"6","27","bdl"
"7","32","adl"
"8","32","adl"
"9","32","adl"
"10","17","Within_Range"
"11","17","Within_Range"
"12","17","Within_Range"
"13","33","adl"
"14","33","adl"
"15","33","adl"
"16","21","bdl"
"17","21","bdl"
"18","21","bdl"
"19","27 Dup","bdl"
"20","27 Dup","bdl"
"21","27 Dup","bdl"
"22","34","Within_Range"
"23","34","Within_Range"
"24","34","Within_Range"
"25","22","Within_Range"
"26","22","Within_Range"
"27","22","Within_Range"
"28","13 Dup","Within_Range"
"29","13 Dup","Within_Range"
"30","13 Dup","Within_Range"
"31","23","bdl"
"32","23","bdl"
"33","23","bdl"
"34","28","adl"
"35","28","Within_Range"
"36","28","Within_Range"
"37","28 Dup","adl"
"38","28 Dup","Within_Range"
"39","28 Dup","adl"
"40","24","bdl"
"41","24","bdl"
"42","24","bdl"
"43","29","adl"
"44","29","adl"
"45","29","adl"
"46","25","bdl"
"47","25","bdl"
"48","25","bdl"
"49","30","adl"
"50","30","adl"
"51","30","adl"
"52","34 Dup","Within_Range"
"53","34 Dup","Within_Range"
"54","34 Dup","Within_Range"
"55","26","bdl"
"56","26","bdl"
"57","26","bdl"
"58","31","adl"
"59","31","Within_Range"
"60","31","adl"
