"","Project","Region","Site","Zone","Replicate","Depth_cm","Sample_ID","Year","Month","Day","Time","Time_Zone","npoc_mgL","npoc_uM","npoc_flag","tdn_mgL","tdn_uM","tdn_flag","Analysis_rundate","Run_notes","Field_notes"
"1","COMPASS: Synoptic","CB","GCW","UP","B",10,"GCW_202304_UP_LysB_10cm",2023,4,19,NA,NA,14.56,1212.22212971443,"",0.4588,32.7557526041109,"","5/2/2023 12:39:24 AM","Standard Curve was assessed manually on the instrument.
    Check GCW SW samples, because the npoc values are 0.0000. 
  Some sample IDs are missing from metadata: 202304_MSM_UP_LysA_45cm, 202304_MSM_UP_LysB_45cm, 202304_GWI_UP_LysA_20cm, 
  202304_MSM_TR_LysA_45cm, 202304_MSM_TR_LysC_10cm, 202304_MSM_TR_LysC_20cm",NA
"2","COMPASS: Synoptic","CB","GCW","UP","B",20,"GCW_202304_UP_LysB_20cm",2023,4,19,NA,NA,11.9,990.758471401216,"",0.5904,42.1512561845403,"","5/2/2023 1:04:22 AM","Standard Curve was assessed manually on the instrument.
    Check GCW SW samples, because the npoc values are 0.0000. 
  Some sample IDs are missing from metadata: 202304_MSM_UP_LysA_45cm, 202304_MSM_UP_LysB_45cm, 202304_GWI_UP_LysA_20cm, 
  202304_MSM_TR_LysA_45cm, 202304_MSM_TR_LysC_10cm, 202304_MSM_TR_LysC_20cm",NA
"3","COMPASS: Synoptic","CB","MSM","UP","A",20,"MSM_202304_UP_LysA_20cm",2023,4,24,NA,NA,54.77,4559.9866788777,"",3.62,258.447742865914,"value above cal curve","5/3/2023 5:03:52 AM","Standard Curve was assessed manually on the instrument.
    Check GCW SW samples, because the npoc values are 0.0000. 
  Some sample IDs are missing from metadata: 202304_MSM_UP_LysA_45cm, 202304_MSM_UP_LysB_45cm, 202304_GWI_UP_LysA_20cm, 
  202304_MSM_TR_LysA_45cm, 202304_MSM_TR_LysC_10cm, 202304_MSM_TR_LysC_20cm",NA
"4","COMPASS: Synoptic","CB","MSM","UP",NA,NA,"MSM_NANA_UP_NA",NA,NA,NA,NA,NA,32.69,2721.67180084922,"",2.576,183.911984978617,"","5/3/2023 5:29:34 AM","Standard Curve was assessed manually on the instrument.
    Check GCW SW samples, because the npoc values are 0.0000. 
  Some sample IDs are missing from metadata: 202304_MSM_UP_LysA_45cm, 202304_MSM_UP_LysB_45cm, 202304_GWI_UP_LysA_20cm, 
  202304_MSM_TR_LysA_45cm, 202304_MSM_TR_LysC_10cm, 202304_MSM_TR_LysC_20cm",NA
"5","COMPASS: Synoptic","CB","MSM","UP","B",10,"MSM_202304_UP_LysB_10cm",2023,4,24,NA,NA,66.48,5534.92631754225,"",1.452,103.664674762792,"","5/3/2023 5:56:02 AM","Standard Curve was assessed manually on the instrument.
    Check GCW SW samples, because the npoc values are 0.0000. 
  Some sample IDs are missing from metadata: 202304_MSM_UP_LysA_45cm, 202304_MSM_UP_LysB_45cm, 202304_GWI_UP_LysA_20cm, 
  202304_MSM_TR_LysA_45cm, 202304_MSM_TR_LysC_10cm, 202304_MSM_TR_LysC_20cm",NA
"6","COMPASS: Synoptic","CB","MSM","UP","B",20,"MSM_202304_UP_LysB_20cm",2023,4,24,NA,NA,65.68,5468.32070601948,"",2.042,145.78737318569,"","5/3/2023 6:14:07 AM","Standard Curve was assessed manually on the instrument.
    Check GCW SW samples, because the npoc values are 0.0000. 
  Some sample IDs are missing from metadata: 202304_MSM_UP_LysA_45cm, 202304_MSM_UP_LysB_45cm, 202304_GWI_UP_LysA_20cm, 
  202304_MSM_TR_LysA_45cm, 202304_MSM_TR_LysC_10cm, 202304_MSM_TR_LysC_20cm",NA
"7","COMPASS: Synoptic","CB","MSM","UP",NA,NA,"MSM_NANA_UP_NA",NA,NA,NA,NA,NA,-0.02924,-2.43443510115727,"blank is ≥ 25% of sample value",-0.01149,-0.820321703184904,"blank is ≥ 25% of sample value","5/3/2023 6:32:33 AM","Standard Curve was assessed manually on the instrument.
    Check GCW SW samples, because the npoc values are 0.0000. 
  Some sample IDs are missing from metadata: 202304_MSM_UP_LysA_45cm, 202304_MSM_UP_LysB_45cm, 202304_GWI_UP_LysA_20cm, 
  202304_MSM_TR_LysA_45cm, 202304_MSM_TR_LysC_10cm, 202304_MSM_TR_LysC_20cm",NA
"8","COMPASS: Synoptic","CB","MSM","UP","C",10,"MSM_202304_UP_LysC_10cm",2023,4,24,NA,NA,74.79,6226.79210723504,"",2.289,163.421791000021,"","5/3/2023 6:59:40 AM","Standard Curve was assessed manually on the instrument.
    Check GCW SW samples, because the npoc values are 0.0000. 
  Some sample IDs are missing from metadata: 202304_MSM_UP_LysA_45cm, 202304_MSM_UP_LysB_45cm, 202304_GWI_UP_LysA_20cm, 
  202304_MSM_TR_LysA_45cm, 202304_MSM_TR_LysC_10cm, 202304_MSM_TR_LysC_20cm",NA
"9","COMPASS: Synoptic","CB","MSM","UP","C",20,"MSM_202304_UP_LysC_20cm",2023,4,24,NA,NA,80.17,6674.71484472567,"",4.216,300.998807713451,"value above cal curve","5/3/2023 7:36:28 AM","Standard Curve was assessed manually on the instrument.
    Check GCW SW samples, because the npoc values are 0.0000. 
  Some sample IDs are missing from metadata: 202304_MSM_UP_LysA_45cm, 202304_MSM_UP_LysB_45cm, 202304_GWI_UP_LysA_20cm, 
  202304_MSM_TR_LysA_45cm, 202304_MSM_TR_LysC_10cm, 202304_MSM_TR_LysC_20cm",NA
"10","COMPASS: Synoptic","CB","GWI","UP",NA,NA,"GWI_NANA_UP_NA",NA,NA,NA,NA,NA,28.04,2334.52668387312,"",0.8544,60.9993788686843,"","5/3/2023 5:53:26 PM","Standard Curve was assessed manually on the instrument.
    Check GCW SW samples, because the npoc values are 0.0000. 
  Some sample IDs are missing from metadata: 202304_MSM_UP_LysA_45cm, 202304_MSM_UP_LysB_45cm, 202304_GWI_UP_LysA_20cm, 
  202304_MSM_TR_LysA_45cm, 202304_MSM_TR_LysC_10cm, 202304_MSM_TR_LysC_20cm",NA
"11","COMPASS: Synoptic","CB","GWI","UP","A",45,"GWI_202304_UP_LysA_45cm",2023,4,25,NA,NA,21.64,1801.68179169095,"",0.662,47.2630955185733,"","5/3/2023 6:18:30 PM","Standard Curve was assessed manually on the instrument.
    Check GCW SW samples, because the npoc values are 0.0000. 
  Some sample IDs are missing from metadata: 202304_MSM_UP_LysA_45cm, 202304_MSM_UP_LysB_45cm, 202304_GWI_UP_LysA_20cm, 
  202304_MSM_TR_LysA_45cm, 202304_MSM_TR_LysC_10cm, 202304_MSM_TR_LysC_20cm",NA
"12","COMPASS: Synoptic","CB","GWI","UP","B",10,"GWI_202304_UP_LysB_10cm",2023,4,25,NA,NA,26.57,2212.13887270003,"",0.6807,48.5981708753668,"","5/3/2023 6:44:05 PM","Standard Curve was assessed manually on the instrument.
    Check GCW SW samples, because the npoc values are 0.0000. 
  Some sample IDs are missing from metadata: 202304_MSM_UP_LysA_45cm, 202304_MSM_UP_LysB_45cm, 202304_GWI_UP_LysA_20cm, 
  202304_MSM_TR_LysA_45cm, 202304_MSM_TR_LysC_10cm, 202304_MSM_TR_LysC_20cm",NA
"13","COMPASS: Synoptic","CB","GWI","UP","B",20,"GWI_202304_UP_LysB_20cm",2023,4,25,NA,NA,36.17,3011.40621097327,"",1.012,72.2511369558854,"","5/3/2023 7:11:33 PM","Standard Curve was assessed manually on the instrument.
    Check GCW SW samples, because the npoc values are 0.0000. 
  Some sample IDs are missing from metadata: 202304_MSM_UP_LysA_45cm, 202304_MSM_UP_LysB_45cm, 202304_GWI_UP_LysA_20cm, 
  202304_MSM_TR_LysA_45cm, 202304_MSM_TR_LysC_10cm, 202304_MSM_TR_LysC_20cm",NA
"14","COMPASS: Synoptic","CB","GWI","UP","B",45,"GWI_202304_UP_LysB_45cm",2023,4,25,NA,NA,44.55,3709.0999916743,"",1.265,90.3139211948567,"","5/3/2023 7:29:33 PM","Standard Curve was assessed manually on the instrument.
    Check GCW SW samples, because the npoc values are 0.0000. 
  Some sample IDs are missing from metadata: 202304_MSM_UP_LysA_45cm, 202304_MSM_UP_LysB_45cm, 202304_GWI_UP_LysA_20cm, 
  202304_MSM_TR_LysA_45cm, 202304_MSM_TR_LysC_10cm, 202304_MSM_TR_LysC_20cm",NA
"15","COMPASS: Synoptic","CB","GWI","UP","C",10,"GWI_202304_UP_LysC_10cm",2023,4,25,NA,NA,45.95,3825.65981183915,"",1.506,107.519972584549,"","5/3/2023 8:21:31 PM","Standard Curve was assessed manually on the instrument.
    Check GCW SW samples, because the npoc values are 0.0000. 
  Some sample IDs are missing from metadata: 202304_MSM_UP_LysA_45cm, 202304_MSM_UP_LysB_45cm, 202304_GWI_UP_LysA_20cm, 
  202304_MSM_TR_LysA_45cm, 202304_MSM_TR_LysC_10cm, 202304_MSM_TR_LysC_20cm",NA
"16","COMPASS: Synoptic","CB","GWI","UP","C",20,"GWI_202304_UP_LysC_20cm",2023,4,25,NA,NA,71.15,5923.73657480643,"",1.96,139.933032048948,"","5/3/2023 8:47:26 PM","Standard Curve was assessed manually on the instrument.
    Check GCW SW samples, because the npoc values are 0.0000. 
  Some sample IDs are missing from metadata: 202304_MSM_UP_LysA_45cm, 202304_MSM_UP_LysB_45cm, 202304_GWI_UP_LysA_20cm, 
  202304_MSM_TR_LysA_45cm, 202304_MSM_TR_LysC_10cm, 202304_MSM_TR_LysC_20cm",NA
"17","COMPASS: Synoptic","CB","GCW","TR","A",20,"GCW_202304_TR_LysA_20cm",2023,4,19,NA,NA,38.23,3182.91566064441,"",1.521,108.590888646148,"","5/2/2023 1:22:18 AM","Standard Curve was assessed manually on the instrument.
    Check GCW SW samples, because the npoc values are 0.0000. 
  Some sample IDs are missing from metadata: 202304_MSM_UP_LysA_45cm, 202304_MSM_UP_LysB_45cm, 202304_GWI_UP_LysA_20cm, 
  202304_MSM_TR_LysA_45cm, 202304_MSM_TR_LysC_10cm, 202304_MSM_TR_LysC_20cm",NA
"18","COMPASS: Synoptic","CB","GCW","TR","B",10,"GCW_202304_TR_LysB_10cm",2023,4,19,NA,NA,15.69,1306.30255599034,"",0.4819,34.4049633389735,"","5/2/2023 1:39:47 AM","Standard Curve was assessed manually on the instrument.
    Check GCW SW samples, because the npoc values are 0.0000. 
  Some sample IDs are missing from metadata: 202304_MSM_UP_LysA_45cm, 202304_MSM_UP_LysB_45cm, 202304_GWI_UP_LysA_20cm, 
  202304_MSM_TR_LysA_45cm, 202304_MSM_TR_LysC_10cm, 202304_MSM_TR_LysC_20cm",NA
"19","COMPASS: Synoptic","CB","GCW","TR","B",20,"GCW_202304_TR_LysB_20cm",2023,4,19,NA,NA,27.56,2294.56331695945,"",1.326,94.6689798453597,"","5/2/2023 2:01:21 AM","Standard Curve was assessed manually on the instrument.
    Check GCW SW samples, because the npoc values are 0.0000. 
  Some sample IDs are missing from metadata: 202304_MSM_UP_LysA_45cm, 202304_MSM_UP_LysB_45cm, 202304_GWI_UP_LysA_20cm, 
  202304_MSM_TR_LysA_45cm, 202304_MSM_TR_LysC_10cm, 202304_MSM_TR_LysC_20cm",NA
"20","COMPASS: Synoptic","CB","GCW","TR","B",45,"GCW_202304_TR_LysB_45cm",2023,4,19,NA,NA,50.43,4198.65123636666,"",1.059,75.6066739488959,"","5/2/2023 2:28:24 AM","Standard Curve was assessed manually on the instrument.
    Check GCW SW samples, because the npoc values are 0.0000. 
  Some sample IDs are missing from metadata: 202304_MSM_UP_LysA_45cm, 202304_MSM_UP_LysB_45cm, 202304_GWI_UP_LysA_20cm, 
  202304_MSM_TR_LysA_45cm, 202304_MSM_TR_LysC_10cm, 202304_MSM_TR_LysC_20cm",NA
"21","COMPASS: Synoptic","CB","GCW","TR","C",10,"GCW_202304_TR_LysC_10cm",2023,4,19,NA,NA,51.52,4289.40138206644,"",1.1,78.5338445172667,"","5/2/2023 2:46:30 AM","Standard Curve was assessed manually on the instrument.
    Check GCW SW samples, because the npoc values are 0.0000. 
  Some sample IDs are missing from metadata: 202304_MSM_UP_LysA_45cm, 202304_MSM_UP_LysB_45cm, 202304_GWI_UP_LysA_20cm, 
  202304_MSM_TR_LysA_45cm, 202304_MSM_TR_LysC_10cm, 202304_MSM_TR_LysC_20cm",NA
"22","COMPASS: Synoptic","CB","GCW","TR","C",20,"GCW_202304_TR_LysC_20cm",2023,4,19,NA,NA,118.8,9890.93331113146,"value above cal curve",3.072,219.323609415494,"value above cal curve","5/2/2023 3:05:30 AM","Standard Curve was assessed manually on the instrument.
    Check GCW SW samples, because the npoc values are 0.0000. 
  Some sample IDs are missing from metadata: 202304_MSM_UP_LysA_45cm, 202304_MSM_UP_LysB_45cm, 202304_GWI_UP_LysA_20cm, 
  202304_MSM_TR_LysA_45cm, 202304_MSM_TR_LysC_10cm, 202304_MSM_TR_LysC_20cm",NA
"23","COMPASS: Synoptic","CB","GCW","TR","C",45,"GCW_202304_TR_LysC_45cm",2023,4,19,NA,NA,22.1,1839.98001831654,"",0.6389,45.6138847837107,"","5/2/2023 5:05:22 AM","Standard Curve was assessed manually on the instrument.
    Check GCW SW samples, because the npoc values are 0.0000. 
  Some sample IDs are missing from metadata: 202304_MSM_UP_LysA_45cm, 202304_MSM_UP_LysB_45cm, 202304_GWI_UP_LysA_20cm, 
  202304_MSM_TR_LysA_45cm, 202304_MSM_TR_LysC_10cm, 202304_MSM_TR_LysC_20cm",NA
"24","COMPASS: Synoptic","CB","MSM","TR","A",10,"MSM_202304_TR_LysA_10cm",2023,4,24,NA,NA,19.78,1646.82374490051,"",0.7313,52.210727723161,"","5/3/2023 7:54:00 AM","Standard Curve was assessed manually on the instrument.
    Check GCW SW samples, because the npoc values are 0.0000. 
  Some sample IDs are missing from metadata: 202304_MSM_UP_LysA_45cm, 202304_MSM_UP_LysB_45cm, 202304_GWI_UP_LysA_20cm, 
  202304_MSM_TR_LysA_45cm, 202304_MSM_TR_LysC_10cm, 202304_MSM_TR_LysC_20cm",NA
"25","COMPASS: Synoptic","CB","MSM","TR","A",20,"MSM_202304_TR_LysA_20cm",2023,4,24,NA,NA,23.87,1987.34493381067,"",2.278,162.636452554849,"","5/3/2023 8:15:30 AM","Standard Curve was assessed manually on the instrument.
    Check GCW SW samples, because the npoc values are 0.0000. 
  Some sample IDs are missing from metadata: 202304_MSM_UP_LysA_45cm, 202304_MSM_UP_LysB_45cm, 202304_GWI_UP_LysA_20cm, 
  202304_MSM_TR_LysA_45cm, 202304_MSM_TR_LysC_10cm, 202304_MSM_TR_LysC_20cm",NA
