,1,2,3,4,5,6,7,8,9,10,11,12
A,0.062,0.057,0.059,0.056,0.053,0.055,0.071,0.069,0.067,0.069,0.067,0.068
B,0.149,0.153,0.15,0.059,0.059,0.061,0.067,0.067,0.063,0.254,0.239,0.204
C,0.304,0.294,0.335,0.062,0.063,0.062,0.059,0.063,0.062,0.832,0.754,0.767
D,0.601,0.737,0.667,0.062,0.064,0.063,0.076,0.076,0.078,0.714,0.571,0.532
E,1.079,1.098,1.031,0.061,0.059,0.062,0.063,0.066,0.064,1.255,0.886,0.914
F,1.658,1.586,1.646,0.083,0.083,0.083,0.061,0.066,0.063,0.753,0.702,0.634
G,1.705,1.482,1.66,0.061,0.061,0.06,0.072,0.074,0.072,0.266,0.244,0.221
H,1.761,1.539,1.654,0.076,0.076,0.072,0.488,0.49,0.592,1,0.797,0.871
,,,,,,,,,,,,
IDs,1,2,3,4,5,6,7,8,9,10,11,12
A,Std 0,Std 0,Std 0,GWI_SW_C,GWI_SW_C,GWI_SW_C,MSM_RHZ_TR_SF2,MSM_RHZ_TR_SF2,MSM_RHZ_TR_SF2,MSM_RHZ_TR_SF8,MSM_RHZ_TR_SF8,MSM_RHZ_TR_SF8
B,Std 1,Std 1,Std 1,MSM_RHZ_UP_SF1,MSM_RHZ_UP_SF1,MSM_RHZ_UP_SF1,MSM_RHZ_TR_SF3,MSM_RHZ_TR_SF3,MSM_RHZ_TR_SF3,MSM_RHZ_WC_Col1,MSM_RHZ_WC_Col1,MSM_RHZ_WC_Col1
C,Std 2,Std 2,Std 2,MSM_RHZ_UP_SF2,MSM_RHZ_UP_SF2,MSM_RHZ_UP_SF2,MSM_RHZ_TR_SF4,MSM_RHZ_TR_SF4,MSM_RHZ_TR_SF4,MSM_RHZ_WC_Col2,MSM_RHZ_WC_Col2,MSM_RHZ_WC_Col2
D,Std 3,Std 3,Std 3,MSM_RHZ_UP_SF3,MSM_RHZ_UP_SF3,MSM_RHZ_UP_SF3,MSM_RHZ_TR_SF5,MSM_RHZ_TR_SF5,MSM_RHZ_TR_SF5,MSM_RHZ_WC_Col3,MSM_RHZ_WC_Col3,MSM_RHZ_WC_Col3
E,Std 4,Std 4,Std 4,MSM_RHZ_UP_SF4,MSM_RHZ_UP_SF4,MSM_RHZ_UP_SF4,MSM_RHZ_TR_SF6,MSM_RHZ_TR_SF6,MSM_RHZ_TR_SF6,MSM_RHZ_WC_Col4,MSM_RHZ_WC_Col4,MSM_RHZ_WC_Col4
F,Std 5,Std 5,Std 5,MSM_RHZ_UP_SF6,MSM_RHZ_UP_SF6,MSM_RHZ_UP_SF6,MSM_RHZ_TR_SF6_dup,MSM_RHZ_TR_SF6_dup,MSM_RHZ_TR_SF6_dup,MSM_RHZ_WC_Col5,MSM_RHZ_WC_Col5,MSM_RHZ_WC_Col5
G,MC: 10ppt,MC: 10ppt,MC: 10ppt,MSM_RHZ_UP_SF7,MSM_RHZ_UP_SF7,MSM_RHZ_UP_SF7,MSM_RHZ_TR_SF7,MSM_RHZ_TR_SF7,MSM_RHZ_TR_SF7,MSM_RHZ_WC_SipA,MSM_RHZ_WC_SipA,MSM_RHZ_WC_SipA
H,MC: 20ppt,MC: 20ppt,MC: 20ppt,MSM_RHZ_TR_SF1,MSM_RHZ_TR_SF1,MSM_RHZ_TR_SF1,MSM_RHZ_TR_SF7_spk,MSM_RHZ_TR_SF7_spk,MSM_RHZ_TR_SF7_spk,MSM_RHZ_WC_SipB,MSM_RHZ_WC_SipB,MSM_RHZ_WC_SipB
,,,,,,,,,,,,
Dilutions,1,2,3,4,5,6,7,8,9,10,11,12
A,1,1,1,1,1,1,1,1,1,1,1,1
B,1,1,1,1,1,1,1,1,1,25,25,25
C,1,1,1,1,1,1,1,1,1,25,25,25
D,1,1,1,1,1,1,1,1,1,25,25,25
E,1,1,1,1,1,1,1,1,1,25,25,25
F,1,1,1,1,1,1,1,1,1,25,25,25
G,1,1,1,1,1,1,1,1,1,25,25,25
H,1,1,1,1,1,1,1,1,1,25,25,25
