Abs1,1,2,3,4,5,6,7,8,9,10,11,12,
A,0.048,0.049,0.056,0.305,0.29,0.279,1.107,0.97,0.977,0.069,0.066,0.064,670
B,0.122,0.138,0.131,0.176,0.305,0.258,0.506,0.444,0.439,0.045,0.045,0.045,670
C,0.272,0.3,0.271,0.41,0.376,0.431,0.648,0.579,0.572,0.045,0.045,0.045,670
D,0.563,0.511,0.495,0.619,0.522,0.424,1.036,0.911,0.937,0.045,0.045,0.045,670
E,0.879,0.866,0.792,0.693,0.673,0.647,1.163,1.13,1.097,0.045,0.045,0.045,670
F,1.239,1.269,1.116,1.328,1.227,1.226,1.219,1.124,1.056,0.045,0.045,0.045,670
G,1.458,1.39,1.361,0.982,0.948,0.936,0.986,1.025,0.945,0.044,0.045,0.045,670
H,1.416,1.21,1.494,1.507,1.42,1.308,1.314,1.221,1.282,0.045,0.045,0.046,670
,,,,,,,,,,,,,
IDs,1,2,3,4,5,6,7,8,9,10,11,12,
A,Std 0,Std 0,Std 0,SWH_TR_LysA_45cm,SWH_TR_LysA_45cm,SWH_TR_LysA_45cm,MSM_WC_LysC_20cm,MSM_WC_LysC_20cm,MSM_WC_LysC_20cm,MSM_RHZ_TR_SF_8,MSM_RHZ_TR_SF_8,MSM_RHZ_TR_SF_8,
B,Std 1,Std 1,Std 1,SWH_TR_LysB_45cm,SWH_TR_LysB_45cm,SWH_TR_LysB_45cm,MSM_RHZ_WC_Col_2,MSM_RHZ_WC_Col_2,MSM_RHZ_WC_Col_2,,,,
C,Std 2,Std 2,Std 2,SWH_TR_LysB_20cm,SWH_TR_LysB_20cm,SWH_TR_LysB_20cm,MSM_RHZ_WC_Col_3,MSM_RHZ_WC_Col_3,MSM_RHZ_WC_Col_3,,,,
D,Std 3,Std 3,Std 3,SWH_WC_LysA_10cm,SWH_WC_LysA_10cm,SWH_WC_LysA_10cm,MSM_RHZ_WC_Col_4,MSM_RHZ_WC_Col_4,MSM_RHZ_WC_Col_4,,,,
E,Std 4,Std 4,Std 4,SWH_WC_LysA_20cm,SWH_WC_LysA_20cm,SWH_WC_LysA_20cm,MSM_RHZ_WC_Sip_B,MSM_RHZ_WC_Sip_B,MSM_RHZ_WC_Sip_B,,,,
F,Std 5,Std 5,Std 5,MSM_WC_LysB_10cm,MSM_WC_LysB_10cm,MSM_WC_LysB_10cm,MSM_RHZ_WC_Sip_B_dup,MSM_RHZ_WC_Sip_B_dup,MSM_RHZ_WC_Sip_B_dup,,,,
G,MC: 10ppt,MC: 10ppt,MC: 10ppt,MSM_WC_LysB_20cm,MSM_WC_LysB_20cm,MSM_WC_LysB_20cm,MSM_RHZ_WC_Sip_C,MSM_RHZ_WC_Sip_C,MSM_RHZ_WC_Sip_C,,,,
H,MC: 20ppt,MC: 20ppt,MC: 20ppt,MSM_WC_LysC_10cm,MSM_WC_LysC_10cm,MSM_WC_LysC_10cm,MSM_RHZ_WC_Sip_C_spk,MSM_RHZ_WC_Sip_C_spk,MSM_RHZ_WC_Sip_C_spk,,,,
,,,,,,,,,,,,,
Dilutions,1,2,3,4,5,6,7,8,9,10,11,12,
A,1,1,1,25,25,25,25,25,25,1,1,1,
B,1,1,1,25,25,25,25,25,25,1,1,1,
C,1,1,1,25,25,25,25,25,25,1,1,1,
D,1,1,1,25,25,25,25,25,25,1,1,1,
E,1,1,1,25,25,25,25,25,25,1,1,1,
F,1,1,1,25,25,25,25,25,25,1,1,1,
G,1,1,1,25,25,25,25,25,25,1,1,1,
H,1,1,1,25,25,25,25,25,25,1,1,1,
