Abs1,1,2,3,4,5,6,7,8,9,10,11,12
A,0.051,0.053,0.05,0.101,0.102,0.1,0.052,0.055,0.055,0.579,0.609,0.529
B,0.149,0.131,0.133,0.059,0.05,0.05,0.058,0.057,0.054,1.452,1.209,1.128
C,0.264,0.273,0.317,0.057,0.05,0.049,0.053,0.052,0.053,1.153,0.992,0.999
D,0.485,0.467,0.453,0.048,0.05,0.05,0.056,0.056,0.056,1.155,0.835,1.232
E,0.889,0.872,0.833,0.059,0.053,0.052,0.262,0.237,0.246,0.511,0.408,0.456
F,1.521,1.362,1.295,0.055,0.057,0.056,0.257,0.251,0.239,1.24,1.17,1.13
G,0.91,1.19,1.197,0.053,0.052,0.052,0.972,0.827,0.77,0.275,0.231,0.239
H,0.887,1.333,1.279,0.056,0.052,0.051,1.152,1.038,1.055,0.204,0.203,0.178
,,,,,,,,,,,,
IDs,1,2,3,4,5,6,7,8,9,10,11,12
A,Std 0,Std 0,Std 0,GWI_WC_LysC_20cm,GWI_WC_LysC_20cm,GWI_WC_LysC_20cm,MSM_TR_RHZ_SF_5,MSM_TR_RHZ_SF_5,MSM_TR_RHZ_SF_5,MSM_WC_RHZ_Col_3,MSM_WC_RHZ_Col_3,MSM_WC_RHZ_Col_3
B,Std 1,Std 1,Std 1,GWI_SW_A,GWI_SW_A,GWI_SW_A,MSM_TR_RHZ_SF_6,MSM_TR_RHZ_SF_6,MSM_TR_RHZ_SF_6,MSM_WC_RHZ_Col_4,MSM_WC_RHZ_Col_4,MSM_WC_RHZ_Col_4
C,Std 2,Std 2,Std 2,GWI_SW_B,GWI_SW_B,GWI_SW_B,MSM_TR_RHZ_SF_7,MSM_TR_RHZ_SF_7,MSM_TR_RHZ_SF_7,MSM_WC_RHZ_Col_5,MSM_WC_RHZ_Col_5,MSM_WC_RHZ_Col_5
D,Std 3,Std 3,Std 3,GWI_SW_C,GWI_SW_C,GWI_SW_C,MSM_TR_RHZ_SF_8,MSM_TR_RHZ_SF_8,MSM_TR_RHZ_SF_8,MSM_WC_RHZ_Sip_B,MSM_WC_RHZ_Sip_B,MSM_WC_RHZ_Sip_B
E,Std 4,Std 4,Std 4,MSM_TR_RHZ_SF_1,MSM_TR_RHZ_SF_1,MSM_TR_RHZ_SF_1,MSM_WC_RHZ_Col_1,MSM_WC_RHZ_Col_1,MSM_WC_RHZ_Col_1,MSM_WC_RHZ_Sip_A,MSM_WC_RHZ_Sip_A,MSM_WC_RHZ_Sip_A
F,Std 5,Std 5,Std 5,MSM_TR_RHZ_SF_2,MSM_TR_RHZ_SF_2,MSM_TR_RHZ_SF_2,MSM_WC_RHZ_Col_1_dup,MSM_WC_RHZ_Col_1_dup,MSM_WC_RHZ_Col_1_dup,MSM_WC_RHZ_Sip_C,MSM_WC_RHZ_Sip_C,MSM_WC_RHZ_Sip_C
G,MC: 10ppt,MC: 10ppt,MC: 10ppt,MSM_TR_RHZ_SF_3,MSM_TR_RHZ_SF_3,MSM_TR_RHZ_SF_3,MSM_WC_RHZ_Col_2,MSM_WC_RHZ_Col_2,MSM_WC_RHZ_Col_2,SWH_TR_LysA_45cm,SWH_TR_LysA_45cm,SWH_TR_LysA_45cm
H,MC: 20ppt,MC: 20ppt,MC: 20ppt,MSM_TR_RHZ_SF_4,MSM_TR_RHZ_SF_4,MSM_TR_RHZ_SF_4,MSM_WC_RHZ_Col_2_spk,MSM_WC_RHZ_Col_2_spk,MSM_WC_RHZ_Col_2_spk,SWH_TR_LysB_45cm,SWH_TR_LysB_45cm,SWH_TR_LysB_45cm
,,,,,,,,,,,,
Dilutions,1,2,3,4,5,6,7,8,9,10,11,12
A,1,1,1,1,1,1,1,1,1,25,25,25
B,1,1,1,1,1,1,1,1,1,25,25,25
C,1,1,1,1,1,1,1,1,1,25,25,25
D,1,1,1,1,1,1,1,1,1,25,25,25
E,1,1,1,1,1,1,25,25,25,25,25,25
F,1,1,1,1,1,1,25,25,25,25,25,25
G,1,1,1,1,1,1,25,25,25,25,25,25
H,1,1,1,1,1,1,25,25,25,25,25,25
