Plot,Site,Zone,Collar,Date,HydraGO_Notes
GCW_WC_1_202206,GCW,WC,1,202206,"No data, I don't think we had started doing this yet "
GCW_WC_1_202207,GCW,WC,1,202207,might not have it - I don't think we did the collars this time 
GCW_WC_1_202208,GCW,WC,1,202208,might not have it - I don't think we did the collars this time 
GCW_WC_2_202206,GCW,WC,2,202206,"No data, I don't think we had started doing this yet "
GCW_WC_2_202207,GCW,WC,2,202207,might not have it - I don't think we did the collars this time 
GCW_WC_2_202208,GCW,WC,2,202208,might not have it - I don't think we did the collars this time 
GCW_WC_3_202206,GCW,WC,3,202206,"No data, I don't think we had started doing this yet "
GCW_WC_3_202207,GCW,WC,3,202207,might not have it - I don't think we did the collars this time 
GCW_WC_3_202208,GCW,WC,3,202208,might not have it - I don't think we did the collars this time 
GCW_WC_4_202206,GCW,WC,4,202206,"No data, I don't think we had started doing this yet "
GCW_WC_4_202207,GCW,WC,4,202207,might not have it - I don't think we did the collars this time 
GCW_WC_4_202208,GCW,WC,4,202208,might not have it - I don't think we did the collars this time 
GCW_WC_5_202206,GCW,WC,5,202206,"No data, I don't think we had started doing this yet "
GCW_WC_5_202207,GCW,WC,5,202207,might not have it - I don't think we did the collars this time 
GCW_WC_5_202208,GCW,WC,5,202208,might not have it - I don't think we did the collars this time 
GWI_TR_1_202207,GWI,TR,1,202207,"No data, I don't think we had started doing this yet "
GWI_TR_1_202209,GWI,TR,1,202209,"No data, I don't think measurements at the collars were taken"
GWI_TR_1_202211,GWI,TR,1,202211,"No data, I don't think measurements at the collars were taken"
GWI_TR_2_202206,GWI,TR,2,202206,"No data, I don't think we had started doing this yet "
GWI_TR_2_202207,GWI,TR,2,202207,"No data, I don't think we had started doing this yet "
GWI_TR_2_202209,GWI,TR,2,202209,"No data, I don't think measurements at the collars were taken"
GWI_TR_2_202211,GWI,TR,2,202211,"No data, I don't think measurements at the collars were taken"
GWI_TR_3_202206,GWI,TR,3,202206,"No data, I don't think we had started doing this yet "
GWI_TR_3_202207,GWI,TR,3,202207,"No data, I don't think we had started doing this yet "
GWI_TR_3_202209,GWI,TR,3,202209,"No data, I don't think measurements at the collars were taken"
GWI_TR_3_202211,GWI,TR,3,202211,"No data, I don't think measurements at the collars were taken"
GWI_TR_4_202206,GWI,TR,4,202206,"No data, I don't think we had started doing this yet "
GWI_TR_4_202207,GWI,TR,4,202207,"No data, I don't think we had started doing this yet "
GWI_TR_4_202209,GWI,TR,4,202209,"No data, I don't think measurements at the collars were taken"
GWI_TR_4_202211,GWI,TR,4,202211,"No data, I don't think measurements at the collars were taken"
GWI_TR_5_202206,GWI,TR,5,202206,"No data, I don't think we had started doing this yet "
GWI_TR_5_202207,GWI,TR,5,202207,"No data, I don't think we had started doing this yet "
GWI_TR_5_202209,GWI,TR,5,202209,"No data, I don't think measurements at the collars were taken"
GWI_TR_5_202211,GWI,TR,5,202211,"No data, I don't think measurements at the collars were taken"
GWI_WC_1_202206,GWI,WC,1,202206,"No data, I don't think we had started doing this yet "
GWI_WC_1_202207,GWI,WC,1,202207,"No data, I don't think we had started doing this yet "
GWI_WC_2_202206,GWI,WC,2,202206,"No data, I don't think we had started doing this yet "
GWI_WC_2_202207,GWI,WC,2,202207,"No data, I don't think we had started doing this yet "
GWI_WC_3_202206,GWI,WC,3,202206,"No data, I don't think we had started doing this yet "
GWI_WC_3_202207,GWI,WC,3,202207,"No data, I don't think we had started doing this yet "
GWI_WC_4_202206,GWI,WC,4,202206,"No data, I don't think we had started doing this yet "
GWI_WC_4_202207,GWI,WC,4,202207,"No data, I don't think we had started doing this yet "
GWI_WC_5_202206,GWI,WC,5,202206,"No data, I don't think we had started doing this yet "
GWI_WC_5_202207,GWI,WC,5,202207,"No data, I don't think we had started doing this yet "
MSM_WC_1_202211,MSM,WC,1,202211,"No data for these this day, forgotten"
MSM_WC_2_202206,MSM,WC,2,202206,"No data, I don't think we had started doing this yet; not sure why WC-1 for this month wasn't picked up….? "
MSM_WC_2_202211,MSM,WC,2,202211,"No data for these this day, forgotten"
MSM_WC_3_202206,MSM,WC,3,202206,"No data, I don't think we had started doing this yet "
MSM_WC_3_202211,MSM,WC,3,202211,"No data for these this day, forgotten"
MSM_WC_4_202206,MSM,WC,4,202206,"No data, I don't think we had started doing this yet "
MSM_WC_4_202211,MSM,WC,4,202211,"No data for these this day, forgotten"
MSM_WC_5_202206,MSM,WC,5,202206,"No data, I don't think we had started doing this yet "
MSM_WC_5_202211,MSM,WC,5,202211,"No data for these this day, forgotten"
