,1,2,3,4,5,6,7,8,9,10,11,12
A,0.061,0.062,0.064,0.101,0.097,0.099,0.046,0.045,0.044,0.045,0.046,0.044
B,0.137,0.114,0.107,0.094,0.087,0.09,0.046,0.045,0.044,0.046,0.044,0.044
C,0.225,0.22,0.205,0.25,0.247,0.292,0.044,0.045,0.044,0.045,0.045,0.046
D,0.412,0.338,0.365,0.276,0.279,0.264,0.044,0.045,0.047,0.045,0.045,0.045
E,0.528,0.571,0.609,0.396,0.421,0.444,0.044,0.044,0.045,0.044,0.045,0.044
F,1.008,0.882,1.058,0.154,0.209,0.155,0.044,0.044,0.044,0.044,0.044,0.044
G,1.121,1.177,1.11,0.095,0.092,0.092,0.044,0.044,0.044,0.045,0.045,0.045
H,1.074,1.108,0.958,0.045,0.044,0.044,0.045,0.046,0.046,0.045,0.045,0.045
,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,Std 0,Std 0,Std 0,58,58,58,,,,,,
B,Std 1,Std 1,Std 1,59,59,59,,,,,,
C,Std 2,Std 2,Std 2,80,80,80,,,,,,
D,Std 3,Std 3,Std 3,85,85,85,,,,,,
E,Std 4,Std 4,Std 4,28,28,28,,,,,,
F,Std 5,Std 5,Std 5,WC-2,WC-2,WC-2,,,,,,
G,MC: 10ppt S5,MC: 10ppt S5,MC: 10ppt S5,WC-3,WC-3,WC-3,,,,,,
H,MC: 20ppt S5,MC: 20ppt S5,MC: 20ppt S5,,,,,,,,,
,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,1,1,1,1,1,1,,,,,,
B,1,1,1,1,1,1,,,,,,
C,1,1,1,1,1,1,,,,,,
D,1,1,1,1,1,1,,,,,,
E,1,1,1,100,100,100,,,,,,
F,1,1,1,1,1,1,,,,,,
G,1,1,1,1,1,1,,,,,,
H,1,1,1,,,,,,,,,
