"","Site","Zone","Depth_cm","min_H2S_mM","max_H2S_mM","mean_H2S_mM","sd_H2S_mM"
"1","GCW","SW",0,0,0,0,0
"2","GCW","TR",10,0,6.6111,0.830981578947368,2.03194079250506
"3","GCW","TR",20,0,132.6417,2.52464736842105,17.5607108170596
"4","GCW","TR",45,0,169.7889,3.10932857142857,22.6841294667977
"5","GCW","UP",10,0,0.6401,0.0336894736842105,0.146849011250547
"6","GCW","UP",20,0,159.0468,9.45526666666667,37.8090829248217
"7","GCW","UP",45,0,0,0,0
"8","GCW","WC",10,75.7712,9172.9764,2055.58641489362,1579.89769637174
"9","GCW","WC",20,69.8399,8874.8441,2286.86782553192,1550.26686703378
"10","GCW","WC",45,69.2309,9084.0788,3265.31103913043,2055.96743918414
"11","GWI","SW",0,0,0,0,0
"12","GWI","TR",10,0,103.7387,5.687015625,18.2396256143806
"13","GWI","TR",20,0,562.7485,52.5918671875,98.5096026234346
"14","GWI","TR",45,0,32.6079,4.27520555555556,8.76687972200812
"15","GWI","UP",10,0,30.9131,1.03601041666667,4.68154821210138
"16","GWI","UP",20,0,19.1848,1.12584262295082,3.29733705235295
"17","GWI","UP",45,0,2.7285,0.067053488372093,0.416071460408081
"18","GWI","WC",10,0,22.8852,0.857242,3.47236875399348
"19","GWI","WC",20,0,10.3044,0.883760975609756,2.0485674913068
"20","GWI","WC",45,0,5.2632,0.646846341463415,1.39450152870077
"21","MSM","SW",0,0,0.7968,0.0156235294117647,0.111574317095352
"22","MSM","TR",10,0,7.1928,1.01637083333333,1.86721440152406
"23","MSM","TR",20,0,39.7576,10.045141509434,10.0749836477522
"24","MSM","TR",45,0,104.725,3.67826923076923,14.7620192963198
"25","MSM","UP",10,0,3.0091,0.107761538461538,0.496516543751186
"26","MSM","UP",20,0,22.5825,1.33861914893617,3.82132240800612
"27","MSM","UP",45,0,153.8687,5.62771764705882,27.0735590516999
"28","MSM","WC",10,0,3236.5684,1096.73026,943.463996351194
"29","MSM","WC",20,0,2477.5469,1164.12146470588,755.443144218173
"30","MSM","WC",45,0,100.7048,3.84467297297297,16.4556609776367
"31","SWH","SW",0,0,0.0791,0.00155098039215686,0.0110762154646616
"32","SWH","SWAMP",10,0,55.2427,7.77630555555556,12.0926025222255
"33","SWH","SWAMP",20,0,76.9936,15.3792641509434,17.8402264950707
"34","SWH","SWAMP",45,0,228.0973,22.1810796296296,36.0099611379563
"35","SWH","TR",10,0,29.4689,2.99285283018868,6.63955411644729
"36","SWH","TR",20,0,585.0088,43.7971277777778,99.1968948166229
"37","SWH","TR",45,0,759.7757,208.843109259259,195.640993209802
"38","SWH","UP",10,0,0,0,0
"39","SWH","UP",20,0,11.1472,0.232405660377358,1.53274073155236
"40","SWH","UP",45,0,48.5297,18.5865038461538,10.4873451889476
"41","SWH","WC",10,0,278.9486,30.099584,45.9873123262757
"42","SWH","WC",20,0,1009.9359,27.194626,141.920676283503
"43","SWH","WC",45,0,21.7305,7.263232,6.69924620619365
