"","Site","Zone","min_NOx_mgL","max_NOx_mgL","mean_NOx_mgL","sd_NOx_mgL","min_NH3_mgL","max_NH3_mgL","mean_NH3_mgL","sd_NH3_mgL","min_PO4_mgL","max_PO4_mgL","mean_PO4_mgL","sd_PO4_mgL"
"1","SWH","UP",0,0.3103,0.0133423728813559,0.0356849806965446,0.0112,0.364,0.0901473214285714,0.0845118691592882,0.0025,0.08,0.00995,0.0125862615808875
"2","SWH","SWAMP",0,0.5067,0.015888,0.0496028950117671,0.0221,1.9169,0.628373043478261,0.442694722013433,0.0027,0.4616,0.0449424528301887,0.0862936514225183
"3","SWH","TR",0,0.2018,0.0141309523809524,0.0272108697818668,0.0141,11.7845,1.22306982758621,1.29891874855303,0.0048,7.3861,0.557023364485981,1.32676800396141
"4","SWH","WC",0,0.0231,0.00474245283018868,0.00598426425621647,0.012,0.4729,0.0594183673469388,0.0717974130811272,0.0072,0.5327,0.107575,0.116419698896745
"5","SWH","SW",0,0.1369,0.0412609756097561,0.0383365548663986,0.0064,0.1816,0.0354944444444444,0.0295264718461678,0.0057,0.0246,0.0144694444444444,0.00523432732446897
"6","GCW","UP",0,0.0686,0.0128766666666667,0.0123699770951014,0,2.036,0.131590322580645,0.383732612943647,7e-04,1.1614,0.0848322580645161,0.26051584006492
"7","GCW","TR",0,0.0266,0.00805689655172414,0.00713699759231315,0,2.7866,0.362895967741935,0.454599431716475,0,0.0678,0.0121798387096774,0.0115545576116003
"8","GCW","WC",0,0.0683,0.0131271929824561,0.0125062907008902,0.028,2.9479,0.725607692307692,0.649831202373547,0,0.8173,0.186118803418803,0.128064043738107
"9","GCW","SW",0,0.0424,0.0129288888888889,0.00923219717328788,0.0139,2.5773,0.216722222222222,0.392254735697057,0,0.6966,0.0740533333333333,0.105651067197639
"10","MSM","UP",0,1.8177,0.0341654205607477,0.187144914641036,0,2.7503,0.666866,0.637754027695964,0,0.1752,0.0180858585858586,0.0320905511241111
"11","MSM","TR",0,0.1545,0.00817919463087248,0.0184099094760014,0.032,3.4657,1.51936357142857,0.855821455461033,0,0.7508,0.0223735714285714,0.0653782658215205
"12","MSM","WC",0,0.0532,0.00942222222222222,0.0115716893756375,0,2.9515,0.789889130434783,0.644040659329491,0.0035,0.092,0.0369739130434783,0.0240118600254638
"13","MSM","SW",0,0.0532,0.00931111111111111,0.0113484925354993,0.0485,0.6284,0.225059523809524,0.119379765126754,7e-04,1.2569,0.0336523809523809,0.193359361178011
"14","GWI","UP",0,0.2968,0.0162099173553719,0.038857889385466,0,0.8919,0.286950925925926,0.205742868056572,0,0.1907,0.0322407407407407,0.0356288632259476
"15","GWI","TR",0,0.2149,0.0127566433566434,0.021421318719814,0.0187,1.7007,0.482575373134328,0.317172393160159,0,0.1039,0.0132992537313433,0.0161453990106572
"16","GWI","WC",0,0.0518,0.01345,0.0127942079958768,0.0136,1.3526,0.571729032258064,0.267000984194834,0.0024,0.0534,0.00936344086021505,0.00949639273557661
"17","GWI","SW",0,0.0557,0.0111958333333333,0.011052908702244,0.1093,0.7375,0.36904,0.129904731525558,0,0.0261,0.0106177777777778,0.00657748531973376
