"","Site","Zone","Depth_cm","min_NOx_mgL","max_NOx_mgL","mean_NOx_mgL","sd_NOx_mgL","min_NH3_mgL","max_NH3_mgL","mean_NH3_mgL","sd_NH3_mgL","min_PO4_mgL","max_PO4_mgL","mean_PO4_mgL","sd_PO4_mgL"
"1","GCW","SW",0,0,0.0424,0.013825641025641,0.00907285476888173,0.0139,2.5773,0.216569047619048,0.406154627221832,0,0.6966,0.0712261904761905,0.10594610240307
"2","GCW","TR",10,0,0.0234,0.00846153846153846,0.0058247799562268,0,1.3936,0.247286206896552,0.327078455774035,0.0019,0.0678,0.0137965517241379,0.0129898169666699
"3","GCW","TR",20,0,0.0266,0.00845897435897436,0.00775142492668684,0.0022,2.7866,0.535422727272727,0.521118784326986,0.0027,0.0542,0.0147363636363636,0.012717961861525
"4","GCW","TR",45,0,0.0251,0.00922162162162162,0.00763217367956699,0.013,1.5601,0.249337209302326,0.376425510890494,0,0.0346,0.00908837209302326,0.00829452513932062
"5","GCW","UP",10,0.0053,0.0686,0.016475,0.017018659545548,0.0066,2.036,0.180546666666667,0.514184373361855,0.0019,1.1614,0.0874066666666667,0.297319547833319
"6","GCW","UP",20,0,0.0277,0.0111533333333333,0.00823753314900477,0,0.8581,0.08569375,0.207600383650095,7e-04,0.9378,0.08241875,0.230691378884575
"7","GCW","WC",10,0,0.0561,0.01365,0.012837294459202,0.028,1.6866,0.389041666666667,0.35725323661435,0,0.3685,0.147869444444444,0.083877740345081
"8","GCW","WC",20,0,0.0683,0.014915625,0.0154396454366568,0.0322,1.5184,0.494713888888889,0.423263617384707,0.0075,0.2923,0.136194444444444,0.0783251353359624
"9","GCW","WC",45,0,0.0414,0.015953125,0.00982616600238626,0.1144,2.9479,1.24600555555556,0.741476769675392,0.0064,0.8173,0.276625,0.166872987414295
"10","GWI","SW",0,0,0.0557,0.0120595238095238,0.0114025255979373,0.1093,0.7375,0.367007692307692,0.136624318526957,0,0.0261,0.0111615384615385,0.00672135698174955
"11","GWI","TR",10,0,0.2149,0.0176425531914894,0.0326707870087986,0.0187,0.8656,0.342504444444444,0.224152909412258,0,0.0551,0.0105355555555556,0.0120666926167476
"12","GWI","TR",20,0,0.0553,0.0107085106382979,0.0125465018472539,0.036,1.7007,0.49615,0.324557352583914,3e-04,0.1004,0.0148545454545455,0.0184821152336391
"13","GWI","TR",45,0,0.055,0.0120588235294118,0.0137850405885699,0.2938,1.3943,0.7274375,0.27550384079051,0,0.1039,0.018309375,0.019167788156764
"14","GWI","UP",10,0,0.0596,0.0100888888888889,0.0130423656438279,0,0.7263,0.231019444444444,0.230914088934075,0.0012,0.1907,0.0501444444444444,0.0466618133530709
"15","GWI","UP",20,0,0.0584,0.0117181818181818,0.0157261783338937,0.0509,0.8919,0.329507317073171,0.192658729870001,0,0.0967,0.0237682926829268,0.0230499505316648
"16","GWI","UP",45,0,0.2968,0.0341642857142857,0.0745609182420692,0.0635,0.8674,0.285528,0.172872909772854,0,0.1215,0.024128,0.0288324256119159
"17","GWI","WC",10,0,0.0511,0.0148241379310345,0.0142290360875323,0.1468,0.9813,0.533589655172414,0.252633758552952,0.0026,0.0394,0.0102620689655172,0.00904162650479529
"18","GWI","WC",20,0,0.0518,0.0160153846153846,0.0132946212374085,0.1313,1.3526,0.550407692307692,0.260067211194456,0.0025,0.052,0.00948461538461538,0.010392639407107
"19","GWI","WC",45,0,0.0457,0.0129809523809524,0.0122457592270802,0.4446,1.0997,0.735527272727273,0.188402098314617,0.0024,0.0534,0.0115727272727273,0.0114273765609144
"20","MSM","SW",0,0,0.0532,0.00962820512820513,0.0115423920880687,0.0485,0.6284,0.221174358974359,0.11146091766777,7e-04,1.2569,0.035974358974359,0.200654023682489
"21","MSM","TR",10,0,0.1545,0.0185409090909091,0.0305741441012897,0.0615,2.3939,0.945706818181818,0.651934238158009,0,0.0832,0.0140522727272727,0.0159308022343781
"22","MSM","TR",20,0,0.035,0.00425333333333333,0.0058863323972495,0.0324,3.2701,1.90372444444444,0.801881193919409,2e-04,0.0813,0.0150444444444444,0.013666208418038
"23","MSM","TR",45,0,0.027,0.00480714285714286,0.00585671983685294,0.032,3.4657,1.6991880952381,0.794180693699528,0,0.7508,0.041447619047619,0.116126342546458
"24","MSM","UP",10,0,0.0476,0.0106,0.0135778216728351,0,1.076,0.239193333333333,0.297800989939918,0,0.1222,0.01155,0.0217930509329354
"25","MSM","UP",20,0,1.8177,0.0651242424242424,0.315011494860012,0.0188,2.7503,0.884472727272727,0.829146410575632,0,0.1555,0.0178393939393939,0.030925474323302
"26","MSM","UP",45,0,0.6876,0.03629375,0.123245158087186,0.0683,1.9389,0.89421875,0.44064346456393,0,0.1752,0.026003125,0.0412083806413288
"27","MSM","WC",10,0,0.0532,0.0132884615384615,0.0150038748841245,0,1.989,0.59118,0.499319953674927,0.005,0.0865,0.04329,0.0217956868558263
"28","MSM","WC",20,0,0.0353,0.00926666666666667,0.00908573468205206,0.1996,2.9515,0.990918181818182,0.661669011598013,0.0184,0.092,0.0491,0.0186251006708689
"29","MSM","WC",45,0,0.0332,0.0121944444444444,0.0108915764657141,0.0147,1.9738,0.776680952380952,0.713812130479055,0.0035,0.03,0.00892380952380952,0.00666024810062694
"30","SWH","SW",0,0,0.0838,0.039375,0.031959674368089,0.0064,0.1816,0.0347393939393939,0.0305476158991371,0.0078,0.0246,0.0150272727272727,0.00507587878643151
"31","SWH","SWAMP",10,0,0.2017,0.0200514285714286,0.0377255442515496,0.0221,1.4817,0.405997058823529,0.386960941952993,0.0034,0.4616,0.0486290322580645,0.111598148710895
"32","SWH","SWAMP",20,0,0.5067,0.0223388888888889,0.0837135294673031,0.0274,1.7492,0.702069444444444,0.44066233189821,0.0027,0.3432,0.0500454545454545,0.0834596163232146
"33","SWH","SWAMP",45,0,0.0516,0.0076,0.00948119944190306,0.1344,1.9169,0.722219444444444,0.419698605341258,0.0029,0.2904,0.0466363636363636,0.0731089590020514
"34","SWH","TR",10,0,0.2018,0.0323194444444444,0.0443224665342819,0.0225,0.7692,0.258468571428571,0.21997970731468,0.0048,0.2105,0.0399125,0.044912788249975
"35","SWH","TR",20,0,0.0305,0.00515555555555556,0.00607705024518801,0.1656,2.7205,1.25911666666667,0.616975501018592,0.0074,6.9734,0.815857575757576,1.59541229566026
"36","SWH","TR",45,0,0.0265,0.00529444444444444,0.00656440376770022,0.0141,11.7845,2.06020833333333,1.78935448526237,0.0072,7.3861,0.870893939393939,1.67330938486047
"37","SWH","UP",10,0,0.0277,0.00872121212121212,0.00804474819275585,0.0112,0.1677,0.0552885714285714,0.0417298085829512,0.0034,0.0546,0.014725,0.0126554336156451
"38","SWH","UP",20,0,0.3103,0.0228885714285714,0.0624365172721512,0.0119,0.364,0.0939885714285714,0.097107938039339,0.0029,0.0704,0.00966875,0.0120083959203819
"39","SWH","UP",45,0,0.0973,0.0101911764705882,0.0166065041592792,0.0175,0.3567,0.121379411764706,0.09623858225678,0.0025,0.08,0.00686875,0.0134250953621891
"40","SWH","WC",10,0,0.0194,0.00357575757575758,0.00541468087142668,0.0215,0.4729,0.077175,0.0987838631199612,0.0111,0.4575,0.145633333333333,0.132294864845042
"41","SWH","WC",20,0,0.0231,0.00478,0.00630344186221661,0.0137,0.3034,0.05002,0.051690700824463,0.0072,0.5327,0.0782964285714286,0.110006846528154
"42","SWH","WC",45,0,0.0207,0.00581379310344828,0.00671850983360421,0.012,0.3402,0.0487666666666667,0.0578497657929473,0.0085,0.4678,0.109142857142857,0.102367664992315
