[Header]	
System	TOCL TNML ASIL 9ML	
S/W Version	1.00	
User	sjw	
Date/Time	5/26/2026 9:15:29 AM	

[System]	
Instrument Options	TOC/ASI/IC Unit/TN/	

[Data]	
Type	Anal.	Sample Name	Sample ID	Origin	Cal. Curve	Manual Dilution	Notes	Date / Time	Spl. No.	Inj. No.	Analysis(Inj.)	Area	Conc.	Result	Excluded	Inj. Vol.	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_TN3_20260512.2026_05_13_14_13_03.cal	1.00		5/21/2026 2:20:50 PM	1	4	TN	0.3544	0.02047	NPOC:-0.04912mg/L TN:0.01043mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_TN3_20260512.2026_05_13_14_13_03.cal	1.00		5/21/2026 2:27:27 PM	1	5	TN	0.1327	0.00188	NPOC:-0.04912mg/L TN:0.01043mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_NPOC100_20260512.2026_05_13_10_58_09.cal	1.00		5/21/2026 2:35:50 PM	1	1	NPOC	0.9587	-0.09445	NPOC:-0.03156mg/L TN:0.01798mg/L	1	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_NPOC100_20260512.2026_05_13_10_58_09.cal	1.00		5/21/2026 2:40:42 PM	1	2	NPOC	1.298	-0.01130	NPOC:-0.03156mg/L TN:0.01798mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_NPOC100_20260512.2026_05_13_10_58_09.cal	1.00		5/21/2026 2:44:31 PM	1	3	NPOC	1.191	-0.03752	NPOC:-0.03156mg/L TN:0.01798mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_NPOC100_20260512.2026_05_13_10_58_09.cal	1.00		5/21/2026 2:49:02 PM	1	4	NPOC	1.157	-0.04585	NPOC:-0.03156mg/L TN:0.01798mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_TN3_20260512.2026_05_13_14_13_03.cal	1.00		5/21/2026 2:35:50 PM	1	1	TN	0.1788	0.00575	NPOC:-0.03156mg/L TN:0.01798mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_TN3_20260512.2026_05_13_14_13_03.cal	1.00		5/21/2026 2:40:42 PM	1	2	TN	1.659	0.1299	NPOC:-0.03156mg/L TN:0.01798mg/L	1	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_TN3_20260512.2026_05_13_14_13_03.cal	1.00		5/21/2026 2:44:31 PM	1	3	TN	0.6640	0.04643	NPOC:-0.03156mg/L TN:0.01798mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_TN3_20260512.2026_05_13_14_13_03.cal	1.00		5/21/2026 2:49:02 PM	1	4	TN	0.1312	0.00176	NPOC:-0.03156mg/L TN:0.01798mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_TN3_20260512.2026_05_13_14_13_03.cal	1.00		5/21/2026 2:55:24 PM	1	5	TN	1.169	0.08877	NPOC:-0.03156mg/L TN:0.01798mg/L	1	50	
Unknown	NPOC/TN	Chk_Std_50C_2N	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_NPOC100_20260512.2026_05_13_10_58_09.cal	1.00		5/21/2026 3:06:08 PM	1	1	NPOC	206.2	50.21	NPOC:50.49mg/L TN:1.609mg/L	0	50	
Unknown	NPOC/TN	Chk_Std_50C_2N	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_NPOC100_20260512.2026_05_13_10_58_09.cal	1.00		5/21/2026 3:10:37 PM	1	2	NPOC	209.7	51.06	NPOC:50.49mg/L TN:1.609mg/L	0	50	
