"missing_ids","Site","Zone","Collar","Date"
"GCW_WC_1_202206","GCW","WC","1","202206"
"GCW_WC_1_202207","GCW","WC","1","202207"
"GCW_WC_1_202208","GCW","WC","1","202208"
"GCW_WC_1_202209","GCW","WC","1","202209"
"GCW_WC_2_202206","GCW","WC","2","202206"
"GCW_WC_2_202207","GCW","WC","2","202207"
"GCW_WC_2_202208","GCW","WC","2","202208"
"GCW_WC_2_202209","GCW","WC","2","202209"
"GCW_WC_3_202206","GCW","WC","3","202206"
"GCW_WC_3_202207","GCW","WC","3","202207"
"GCW_WC_3_202208","GCW","WC","3","202208"
"GCW_WC_4_202206","GCW","WC","4","202206"
"GCW_WC_4_202207","GCW","WC","4","202207"
"GCW_WC_4_202208","GCW","WC","4","202208"
"GCW_WC_5_202206","GCW","WC","5","202206"
"GCW_WC_5_202207","GCW","WC","5","202207"
"GCW_WC_5_202208","GCW","WC","5","202208"
"GWI_TR_1_202207","GWI","TR","1","202207"
"GWI_TR_1_202209","GWI","TR","1","202209"
"GWI_TR_1_202211","GWI","TR","1","202211"
"GWI_TR_2_202206","GWI","TR","2","202206"
"GWI_TR_2_202207","GWI","TR","2","202207"
"GWI_TR_2_202209","GWI","TR","2","202209"
"GWI_TR_2_202211","GWI","TR","2","202211"
"GWI_TR_3_202206","GWI","TR","3","202206"
"GWI_TR_3_202207","GWI","TR","3","202207"
"GWI_TR_3_202209","GWI","TR","3","202209"
"GWI_TR_3_202211","GWI","TR","3","202211"
"GWI_TR_4_202206","GWI","TR","4","202206"
"GWI_TR_4_202207","GWI","TR","4","202207"
"GWI_TR_4_202209","GWI","TR","4","202209"
"GWI_TR_4_202211","GWI","TR","4","202211"
"GWI_TR_5_202206","GWI","TR","5","202206"
"GWI_TR_5_202207","GWI","TR","5","202207"
"GWI_TR_5_202209","GWI","TR","5","202209"
"GWI_TR_5_202211","GWI","TR","5","202211"
"GWI_WC_1_202206","GWI","WC","1","202206"
"GWI_WC_1_202207","GWI","WC","1","202207"
"GWI_WC_2_202206","GWI","WC","2","202206"
"GWI_WC_2_202207","GWI","WC","2","202207"
"GWI_WC_2_202209","GWI","WC","2","202209"
"GWI_WC_3_202206","GWI","WC","3","202206"
"GWI_WC_3_202207","GWI","WC","3","202207"
"GWI_WC_3_202209","GWI","WC","3","202209"
"GWI_WC_4_202206","GWI","WC","4","202206"
"GWI_WC_4_202207","GWI","WC","4","202207"
"GWI_WC_4_202209","GWI","WC","4","202209"
"GWI_WC_5_202206","GWI","WC","5","202206"
"GWI_WC_5_202207","GWI","WC","5","202207"
"GWI_WC_5_202209","GWI","WC","5","202209"
"MSM_WC_1_202209","MSM","WC","1","202209"
"MSM_WC_1_202210","MSM","WC","1","202210"
"MSM_WC_1_202211","MSM","WC","1","202211"
"MSM_WC_2_202206","MSM","WC","2","202206"
"MSM_WC_2_202209","MSM","WC","2","202209"
"MSM_WC_2_202210","MSM","WC","2","202210"
"MSM_WC_2_202211","MSM","WC","2","202211"
"MSM_WC_3_202206","MSM","WC","3","202206"
"MSM_WC_3_202209","MSM","WC","3","202209"
"MSM_WC_3_202210","MSM","WC","3","202210"
"MSM_WC_3_202211","MSM","WC","3","202211"
"MSM_WC_4_202206","MSM","WC","4","202206"
"MSM_WC_4_202209","MSM","WC","4","202209"
"MSM_WC_4_202210","MSM","WC","4","202210"
"MSM_WC_4_202211","MSM","WC","4","202211"
"MSM_WC_5_202206","MSM","WC","5","202206"
"MSM_WC_5_202209","MSM","WC","5","202209"
"MSM_WC_5_202210","MSM","WC","5","202210"
"MSM_WC_5_202211","MSM","WC","5","202211"
