"","Sample_ID","SO4_ppm_rerun","SO4_Conc_mM_rerun","Cl_ppm_rerun","salinity_rerun","SO4_ppm","SO4_Conc_mM","Cl_ppm","salinity","Cl_dups_cv","Cl_dups_cv_flag","SO4_dups_cv","SO4_dups_cv_flag","row_num","Cl_dups_diff","Cl_dups_diff_flag","SO4_dups_diff","SO4_dups_diff_flag"
"1","GCW_202605_UP_LYSA_10CM",5.3821,0.167875857766687,1.5304,0.0027914328,4.2919,0.133870867124142,1.372,0.002505204,11.1470443690994,"No, rerun",22.1415823701201,"No, rerun",1,10.9151047409041,"No, rerun",22.5387636965061,"No, rerun"
"2","GCW_202605_TR_LYSA_10CM",31.6794,0.98812850904554,122.6281,0.2216149767,27.0171,0.842704304429195,119.6476,0.2162292132,2.58716411858994,"YES",15.9537252904606,"No, rerun",2,2.46042009165592,"YES",15.8861260892898,"No, rerun"
"3","GCW_202605_TR_LYSA_20CM",25.8219,0.805424204616344,55.9845,0.1011899915,21.4564,0.669257641921397,53.2976,0.0963347632,5.1265261811212,"YES",18.3869588928516,"No, rerun",3,4.91736524096809,"YES",18.4672460727226,"No, rerun"
"4","GCW_202605_TR_LYSA_45CM",13.6229,0.42491890205864,216.6617,0.3915336919,10.834,0.33792888334373,215.7913,0.3899608791,0.426352268311498,"YES",22.3851128527967,"No, rerun",4,0.40254085415062,"YES",22.8066517015648,"No, rerun"
"5","GCW_202605_TR_LYSB_10CM",79.379,2.47595134123518,718.5592,1.2984624744,74.9418,2.33754834684966,714.4721,1.2910770847,0.6037968988132,"YES",5.97791173425954,"YES",5,0.570413221260426,"YES",5.75061819275173,"YES"
"6","SWH_202605_UP_LYSB_10CM",18.6377,0.581338116032439,9.1742,0.0166037794,16.1016,0.502233312538989,9.2933,0.0168189931,1.36186456945692,"YES",14.7262485543431,"No, rerun",6,1.28983349126844,"YES",14.6007547647765,"No, rerun"
"7","SWH_202605_SWAMP_LYSC_10CM",18.9375,0.59068933250156,7.0134,0.0126992138,16.1158,0.502676232064878,7.0021,0.0126787947,0.170934049641652,"YES",16.1564506879164,"No, rerun",7,0.161250044593478,"YES",16.0994827876405,"No, rerun"
"8","SWH_202605_TR_LYSA_45CM",17.1064,0.533574547723019,709.9774,1.2829551618,14.0971,0.439709918902059,700.6316,1.2660673012,1.39889861413825,"YES",19.152180803501,"No, rerun",8,1.3250730712763,"YES",19.2882208726585,"No, rerun"
"9","SWH_202605_WC_LYSC_45CM",14.1804,0.442308172177168,973.5727,1.7592718689,11.9359,0.372298814722396,978.051,1.767364157,0.485980962672101,"YES",17.1867110534121,"No, rerun",9,0.458930684229751,"YES",17.1884991365546,"No, rerun"
"10","MSM_202605_TR_LYSC_10CM",710.7316,22.168796007486,5581.7719,10.0862878233,690.6266,21.5416905801622,5462.1659,9.8701597813,2.27993320850185,"YES",3.01285047460783,"YES",10,2.16600278208738,"YES",2.86935916884062,"YES"
"11","MSM_202605_UP_LYSC_20CM",175.2183,5.46532439176544,2259.187,4.082376909,170.2837,5.31140673736744,2253.9755,4.0729597285,0.244756121554848,"YES",2.9994637956871,"YES",11,0.230946703115604,"YES",2.85648129388541,"YES"
"12","GWI_202605_TR_LYSC_20CM",1004.2757,31.3248814722396,6805.4958,12.2975569106,1996.0548,62.2599750467873,9676.0962,17.4847318334,32.8957223514877,"No, rerun",56.8367033523679,"No, rerun",12,34.8340184613234,"No, rerun",66.1113234025385,"No, rerun"
