"","ID_full","IDs","FE_2_mean","FE_2_sd","FE_2_cv","FE_3_mean","FE_3_sd","FE_3_cv","FE_tot_mean","FE_tot_sd","FE_2_flag","FE_3_flag","Dilution","Plate","QAQC_flag","Abs1_mean","Abs2_mean","FE_2_cv_flag","FE_3_cv_flag"
"1","Plate10_8_202511_GWI_TR_A_10","202511_GWI_TR_A_10",940.385015075523,26.3460841866255,2.80162739348943,0,0,0,940.385015075523,5.13284367447768,"Within range","High",8,"Plate10","FE_2_diff Std curve r2 low; Fe2 Chk Std 0.6 out of range; Fe3 Chk Std 60 out of range",0.301,0.4995,"ok","ok"
"2","Plate10_8_202511_GWI_WC_A_10","202511_GWI_WC_A_10",1368.86339515524,184.422589306379,13.4726803243551,0,0,0,1368.86339515524,13.5802278812389,"Within range","High",8,"Plate10","FE_2_diff Std curve r2 low; Fe2 Chk Std 0.6 out of range; Fe3 Chk Std 60 out of range",0.416,0.5385,"High cv rerun","ok"
"3","Plate11_1_202511_SWH_SWAMP_A_20","202511_SWH_SWAMP_A_20",175.454806511156,10.2603256794604,5.84784531326479,276.907493403249,12.8055976504757,4.62450383450887,452.362299914405,13.2001385168993,"Within range","High",1,"Plate11","FE_2_diff Std curve r2 low; Fe2 Chk Std 9 out of range; Fe3 Chk Std 9 out of range; Fe3 Chk Std 60 out of range",0.425333333333333,1.0825,"ok","ok"
"4","Plate11_1_202511_SWH_SWAMP_A_45","202511_SWH_SWAMP_A_45",81.6863494212468,0.658652104665645,0.806318447736052,79.4736833778116,10.1484394834648,12.7695597487535,161.160032799058,10.180838671456,"Within range","High",1,"Plate11","FE_2_diff Std curve r2 low; Fe2 Chk Std 9 out of range; Fe3 Chk Std 9 out of range; Fe3 Chk Std 60 out of range",0.224,0.506,"ok","High cv rerun"
"5","Plate11_1_202511_SWH_SWAMP_B_10","202511_SWH_SWAMP_B_10",282.884893110852,5.92786894199075,2.09550565843325,91.7529026874987,23.2005503203826,25.2859033783393,374.637795798351,23.3279532773579,"Within range","High",1,"Plate11","FE_2_diff Std curve r2 low; Fe2 Chk Std 9 out of range; Fe3 Chk Std 9 out of range; Fe3 Chk Std 60 out of range",0.656,1.204,"ok","High cv rerun"
"6","Plate11_1_202511_SWH_SWAMP_B_20","202511_SWH_SWAMP_B_20",83.2388073200864,6.25430550213794,7.51368947189216,162.564813152664,16.6680783077709,10.2531894722617,245.80362047275,16.8546474296,"Within range","High",1,"Plate11","FE_2_diff Std curve r2 low; Fe2 Chk Std 9 out of range; Fe3 Chk Std 9 out of range; Fe3 Chk Std 60 out of range",0.227333333333333,0.5885,"ok","High cv rerun"
"7","Plate11_1_202511_SWH_SWAMP_B_45","202511_SWH_SWAMP_B_45",110.562066339662,11.8557378839815,10.7231515080036,29.477816052949,6.99288972629365,23.7225502517988,140.039882392611,7.79462921556149,"Within range","High",1,"Plate11","FE_2_diff Std curve r2 low; Fe2 Chk Std 9 out of range; Fe3 Chk Std 9 out of range; Fe3 Chk Std 60 out of range",0.286,0.4915,"High cv rerun","High cv rerun"
"8","Plate11_1_202511_SWH_SWAMP_C_10","202511_SWH_SWAMP_C_10",164.354732534453,4.93989078499228,3.00562734569067,125.35823035885,5.54747064371998,4.42529431680698,289.712962893303,5.97614602632226,"Within range","High",1,"Plate11","FE_2_diff Std curve r2 low; Fe2 Chk Std 9 out of range; Fe3 Chk Std 9 out of range; Fe3 Chk Std 60 out of range",0.4015,0.8305,"ok","ok"
"9","Plate11_1_202511_SWH_SWAMP_C_20","202511_SWH_SWAMP_C_20",99.8501068376696,4.58698112668377,4.59386701923215,120.543193022427,1.25665524350627,1.04249374186768,220.393299860096,2.48317609679934,"Within range","High",1,"Plate11","FE_2_diff Std curve r2 low; Fe2 Chk Std 9 out of range; Fe3 Chk Std 9 out of range; Fe3 Chk Std 60 out of range",0.263,0.5895,"ok","ok"
"10","Plate11_1_202511_SWH_SWAMP_C_45","202511_SWH_SWAMP_C_45",77.0289757247282,5.37114536818745,6.97288951028227,89.4716443647566,10.9478853103654,12.2361507806129,166.500620089485,11.1905021396317,"Within range","High",1,"Plate11","FE_2_diff Std curve r2 low; Fe2 Chk Std 9 out of range; Fe3 Chk Std 9 out of range; Fe3 Chk Std 60 out of range",0.214,0.462,"ok","High cv rerun"
"11","Plate11_1_202511_SWH_TR_A_20","202511_SWH_TR_A_20",226.064934013325,64.5479062572325,28.5528167112498,201.583013983675,90.2541252151156,44.7726836857519,427.647947996999,90.6110094006407,"Within range","High",1,"Plate11","FE_2_diff Std curve r2 low; Fe2 Chk Std 9 out of range; Fe3 Chk Std 9 out of range; Fe3 Chk Std 60 out of range",0.534,0.8825,"High cv rerun","High cv rerun"
"12","Plate11_1_202511_SWH_TR_B_10","202511_SWH_TR_B_10",106.603298697622,0.329326052332817,0.308926699601431,243.01929478881,32.6072933243214,13.417573840241,349.622593486431,32.6123428166495,"Within range","High",1,"Plate11","FE_2_diff Std curve r2 low; Fe2 Chk Std 9 out of range; Fe3 Chk Std 9 out of range; Fe3 Chk Std 60 out of range",0.2775,0.803,"ok","High cv rerun"
"13","Plate11_8_202511_SWH_UP_B_20","202511_SWH_UP_B_20",1063.33968066362,42.1537346986009,3.96427740496747,1168.91042242902,30.7715133753072,2.63249542350418,2232.25010309263,31.4490026885641,"Within range","High",8,"Plate11","FE_2_diff Std curve r2 low; Fe2 Chk Std 9 out of range; Fe3 Chk Std 9 out of range; Fe3 Chk Std 60 out of range",0.334,0.7495,"ok","ok"
"14","Plate11_8_202511_SWH_UP_B_45","202511_SWH_UP_B_45",3591.36212313393,155.441896701091,4.32821562882239,0,0,0,3591.36212313393,12.4676339656364,"Within range","High",8,"Plate11","FE_2_diff Std curve r2 low; Fe2 Chk Std 9 out of range; Fe3 Chk Std 9 out of range; Fe3 Chk Std 60 out of range",1.0125,1.406,"ok","ok"
"15","Plate11_8_202511_SWH_UP_C_20","202511_SWH_UP_C_20",1663.20941277522,10.5384336746502,0.633620372377873,1732.48999214682,949.407610034441,54.8001786063987,3395.69940492204,949.413160023066,"Within range","High",8,"Plate11","FE_2_diff Std curve r2 low; Fe2 Chk Std 9 out of range; Fe3 Chk Std 9 out of range; Fe3 Chk Std 60 out of range",0.495,1.018,"ok","High cv rerun"
