,1,2,3,4,5,6,7,8,9,10,11,12
A,0.05,0.048,0.047,0.049,0.049,0.052,0.384,0.378,0.381,1.239,1.254,1.182
B,0.187,0.186,0.19,0.046,0.046,0.045,0.049,0.048,0.047,2.736,2.706,2.75
C,0.334,0.316,0.345,0.05,0.051,0.053,0.233,0.262,0.27,2.701,2.648,2.748
D,0.563,0.556,0.58,0.125,0.12,0.13,0.046,0.046,0.046,0.05,0.055,0.053
E,1.01,1.094,1.027,0.048,0.049,0.049,0.508,0.491,0.506,0.656,0.657,0.6
F,1.633,1.633,1.698,0.049,0.049,0.048,1.656,1.875,1.888,2.022,1.708,1.909
G,1.545,1.516,1.658,0.048,0.048,0.048,1.88,1.725,1.974,2.363,2.576,2.624
H,1.794,1.677,1.602,0.469,0.492,0.456,1.557,1.598,1.492,2.92,2.855,2.859
,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,Std 0,Std 0,Std 0,68_202207_ MSM_UP_ LysB_45cm,68_202207_ MSM_UP_ LysB_45cm,68_202207_ MSM_UP_ LysB_45cm,75_202207_ MSM_TR_ LysC_20cm,75_202207_ MSM_TR_ LysC_20cm,75_202207_ MSM_TR_ LysC_20cm,82_202207_ MSM_WC_ SipA_20cm DILx50,82_202207_ MSM_WC_ SipA_20cm DILx50,82_202207_ MSM_WC_ SipA_20cm DILx50
B,Std 1,Std 1,Std 1,69_202207_ MSM_UP_ LysC_45cm,69_202207_ MSM_UP_ LysC_45cm,69_202207_ MSM_UP_ LysC_45cm,76_202207_ MSM_TR_ LysA_45cm,76_202207_ MSM_TR_ LysA_45cm,76_202207_ MSM_TR_ LysA_45cm,83_202207_ MSM_WC_ SipB_20cm DILx50,83_202207_ MSM_WC_ SipB_20cm DILx50,83_202207_ MSM_WC_ SipB_20cm DILx50
C,Std 2 ,Std 2,Std 2,70_202207_ MSM_TR_ LysA_10cm,70_202207_ MSM_TR_ LysA_10cm,70_202207_ MSM_TR_ LysA_10cm,77_202207_ MSM_TR_ LysB_45cm,77_202207_ MSM_TR_ LysB_45cm,77_202207_ MSM_TR_ LysB_45cm,84_202207_ MSM_WC_ SipC_20cm DILx50,84_202207_ MSM_WC_ SipC_20cm DILx50,84_202207_ MSM_WC_ SipC_20cm DILx50
D,Std 3,Std 3,Std 3,70_202207_ MSM_TR_ LysA_10cm SPK,70_202207_ MSM_TR_ LysA_10cm SPK,70_202207_ MSM_TR_ LysA_10cm SPK,78_202207_ MSM_TR_ LysC_45cm,78_202207_ MSM_TR_ LysC_45cm,78_202207_ MSM_TR_ LysC_45cm,85_202207_ MSM_WC_ SipB_45cm DILx50,85_202207_ MSM_WC_ SipB_45cm DILx50,85_202207_ MSM_WC_ SipB_45cm DILx50
E,Std 4,Std 4,Std 4,71_202207_ MSM_TR_ LysB_10cm,71_202207_ MSM_TR_ LysB_10cm,71_202207_ MSM_TR_ LysB_10cm,79_202207_ MSM_WC_ SipA_10cm DILx50,79_202207_ MSM_WC_ SipA_10cm DILx50,79_202207_ MSM_WC_ SipA_10cm DILx50,86_202207_ MSM_WC_ SipB_45cm DILx50,86_202207_ MSM_WC_ SipB_45cm DILx50,86_202207_ MSM_WC_ SipB_45cm DILx50
F,Std 5,Std 5,Std 5,72_202207_ MSM_TR_ LysC_10cm,72_202207_ MSM_TR_ LysC_10cm,72_202207_ MSM_TR_ LysC_10cm,80_202207_ MSM_WC_ SipB_10cm DILx50,80_202207_ MSM_WC_ SipB_10cm DILx50,80_202207_ MSM_WC_ SipB_10cm DILx50,,,
G,MC: Spike 10ppt,MC: Spike 10ppt,MC: Spike 10ppt,73_202207_ MSM_TR_ LysA_20cm,73_202207_ MSM_TR_ LysA_20cm,73_202207_ MSM_TR_ LysA_20cm,80_202207_ MSM_WC_ SipB_10cm DILx50 spk,80_202207_ MSM_WC_ SipB_10cm DILx50 spk,80_202207_ MSM_WC_ SipB_10cm DILx50 spk,,,
H,MC: Spike 20ppt,MC: Spike 20ppt,MC: Spike 20ppt,74_202207_ MSM_TR_ LysB_20cm,74_202207_ MSM_TR_ LysB_20cm,74_202207_ MSM_TR_ LysB_20cm,81_202207_ MSM_WC_ SipC_10cm DILx50,81_202207_ MSM_WC_ SipC_10cm DILx50,81_202207_ MSM_WC_ SipC_10cm DILx50,,,
,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,1,1,1,1,1,1,1,1,1,50,50,50
B,1,1,1,1,1,1,1,1,1,50,50,50
C,1,1,1,1,1,1,1,1,1,50,50,50
D,1,1,1,1,1,1,1,1,1,50,50,50
E,1,1,1,1,1,1,50,50,50,50,50,50
F,1,1,1,1,1,1,50,50,50,1,1,1
G,1,1,1,1,1,1,50,50,50,1,1,1
H,1,1,1,1,1,1,50,50,50,1,1,1
