"","Project","Region","Site","Zone","Replicate","Depth_cm","Tree_ID","Sample_ID","Year","Month","Day","Time","Time_Zone","SO4_Conc_mM","SO4_Conc_flag","SO4_QAQC_flag","Cl_Conc_mM","Cl_Conc_flag","Cl_QAQC_flag","salinity","Analysis_rundate","Run_notes","Field_notes"
"1","COMPASS: Synoptic","CB","MSM","MSM","SipA","10cm",NA,"COMPASS_20220502_MSM_SipA_10cm",2022,5,2,NA,NA,28.84445102932,NA,NA,156.015258110014,NA,NA,9.9940748063,NA,NA,NA
"2","COMPASS: Synoptic","CB","MSM","MSM","SipA","20cm",NA,"COMPASS_20220502_MSM_SipA_20cm",2022,5,2,NA,NA,21.4032844666251,NA,NA,153.214363892807,NA,NA,9.8146547044,NA,NA,NA
"3","COMPASS: Synoptic","CB","MSM","MSM","SipA","45cm",NA,"COMPASS_20220502_MSM_SipA_45cm",2022,5,2,NA,NA,12.4691484716157,NA,NA,186.475286318759,NA,NA,11.9452878623,NA,NA,NA
"4","COMPASS: Synoptic","CB","MSM","MSM","SipB","10cm",NA,"COMPASS_20220502_MSM_SipB_10cm",2022,5,2,NA,NA,23.3163942607611,NA,NA,145.83408180536,NA,NA,9.3418874874,NA,NA,NA
"5","COMPASS: Synoptic","CB","MSM","MSM","SipB","20cm",NA,"COMPASS_20220502_MSM_SipB_20cm",2022,5,2,NA,NA,22.0295633187773,NA,NA,144.729390691114,NA,NA,9.2711230183,NA,NA,NA
"6","COMPASS: Synoptic","CB","MSM","MSM","SipC","10cm",NA,"COMPASS_20220502_MSM_SipC_10cm",2022,5,2,NA,NA,27.1337523393637,NA,NA,152.726741889986,NA,NA,9.783418541,NA,NA,NA
"7","COMPASS: Synoptic","CB","MSM","MSM","SipC","20cm",NA,"COMPASS_20220502_MSM_SipC_20cm",2022,5,2,NA,NA,22.0706113537118,NA,NA,165.635300423131,NA,NA,10.6103169198,NA,NA,NA
"8","COMPASS: Synoptic","CB","GWI","GWI","SipA","10cm",NA,"COMPASS_20220505_GWI_SipA_10cm",2022,5,5,NA,NA,35.0035277604492,NA,NA,243.167060648801,NA,NA,15.5768580461,NA,NA,NA
"9","COMPASS: Synoptic","CB","GWI","GWI","SipA","20cm",NA,"COMPASS_20220505_GWI_SipA_20cm",2022,5,5,NA,NA,33.3139893948846,NA,NA,250.917455571227,NA,NA,16.0733340066,NA,NA,NA
"10","COMPASS: Synoptic","CB","GWI","GWI","SipB","10cm",NA,"COMPASS_20220505_GWI_SipB_10cm",2022,5,5,NA,NA,26.6145945102932,NA,NA,183.112110014104,NA,NA,11.7298490101,NA,NA,NA
