Site,Zone,Tree_Code,Replicate,Species,DBH_2022_cm,DBH_2023_cm
GWI,UP,SF,1,PITA,36.4,36.6
GWI,UP,SF,2,PITA,31.9,31.7
GWI,UP,SF,3,PITA,38.8,38.6
GWI,UP,SF,4,PITA,38.7,38
GWI,UP,SF,5,PITA,40.2,40.2
GWI,UP,SF,6,PITA,37.6,37.8
GWI,UP,SF,7,PITA,40.6,40.9
GWI,UP,SF,8,PITA,39.8,39.8
GWI,TR,SF,1,PITA,16,16.2
GWI,TR,SF,2,PITA,17.5,17.8
GWI,TR,SF,3,PITA,17.4,17.7
GWI,TR,SF,4,PITA,23.1,23.2
GWI,TR,SF,5,PITA,18,18
GWI,TR,SF,6,PITA,19.9,20.1
GWI,TR,SF,7,PITA,20.5,20.4
GWI,TR,SF,8,PITA,21.9,21.7
GWI,TR,DS,1,PITA,13.3,NA
GWI,TR,DS,2,PITA,18.6,NA
GWI,TR,DS,3,PITA,NA,NA
MSM,UP,SF,1,PITA,37.8,37.6
MSM,UP,SF,2,PITA,45,45.1
MSM,UP,SF,3,PITA,35,35.3
MSM,UP,SF,4,PITA,36.4,35.9
MSM,UP,SF,5,PITA,42.2,41.2
MSM,UP,SF,6,PITA,49.3,49.3
MSM,UP,SF,7,PITA,36.5,36
MSM,UP,SF,8,PITA,44,43.2
MSM,TR,SF,1,PITA,34,33.6
MSM,TR,SF,2,PITA,25.6,25.3
MSM,TR,SF,3,PITA,28.1,28
MSM,TR,SF,4,PITA,31.6,31.2
MSM,TR,SF,5,PITA,28,27.9
MSM,TR,SF,6,PITA,25.2,25
MSM,TR,SF,7,PITA,29.3,29
MSM,TR,SF,8,PITA,26.9,26.8
MSM,TR,DS,1,PITA,29.2,28.8
MSM,TR,DS,2,PITA,NA,NA
MSM,TR,DS,3,PITA,NA,NA
GCW,TR,SF,1,ACRU,28.3,28.9
GCW,TR,SF,2,ACRU,23.4,23.8
GCW,TR,SF,3,ACRU,35.8,35.8
GCW,TR,SF,4,ACRU,14,14.1
GCW,TR,SF,5,ACRU,21.4,21.3
GCW,TR,SF,6,ACRU,16.8,17.8
GCW,UP,SF,7,ACRU,32.1,32.2
GCW,UP,SF,11,ACRU,34.8,34.8
GCW,UP,SF,19,ACRU,19.2,19.1
