Year,Month,Day,Site,Transect Location,Lysimeter,Depth_cm,Time (24hr),Time Zone_EDT/EST,    DIC     (if >50mL),SO4,FE,DOC,NUTR,GHG Shake,GHG Fill,Temp_c,pH,Conductivity_uScm,DO_mgL,Notes
2023,4,19,GCW,Upland,A,10,,,,,,,,,,,,,,
2023,4,19,GCW,Upland,A,20,,,,x,x,,x,,,,,,,
2023,4,19,GCW,Upland,A,45,,,,,,,,,,,,,,
2023,4,19,GCW,Upland,B,10,,,x,x,x,x,x,,,,,,,
2023,4,19,GCW,Upland,B,20,,,x,x,x,x,x,,,,,,,
2023,4,19,GCW,Upland,B,45,,,,,,,,,,,,,,
2023,4,19,GCW,Upland,C,10,,,,x,,,,,,,,,,
2023,4,19,GCW,Upland,C,20,,,,x,x,,x,,,,,,,
2023,4,19,GCW,Upland,C,45,,,,x,,,,,,,,,,
2023,4,19,GCW,Transition,A,10,,,,,,,,,,,,,,
2023,4,19,GCW,Transition,A,20,,,x,x,x,x,x,,,,,,,
2023,4,19,GCW,Transition,A,45,,,x,x,x,x,x,,,,,,,
2023,4,19,GCW,Transition,B,10,,,x,x,x,x,x,,,,,,,
2023,4,19,GCW,Transition,B,20,,,x,x,x,x,x,,,,,,,
2023,4,19,GCW,Transition,B,45,,,x,x,x,x,x,,,,,,,
2023,4,19,GCW,Transition,C,10,,,x,x,x,x,x,,,,,,,
2023,4,19,GCW,Transition,C,20,,,x,x,x,x,x,,,,,,,
2023,4,19,GCW,Transition,C,45,,,x,x,x,x,x,,,,,,,
2023,4,19,GCW,Wetland,A,10,,,x,x,x,x,x,,,,,,,
2023,4,19,GCW,Wetland,A,20,,,x,x,x,x,x,,,,,,,
2023,4,19,GCW,Wetland,A,45,,,x,x,x,x,x,,,,,,,
2023,4,19,GCW,Wetland,B,10,,,x,x,x,x,x,,,,,,,
2023,4,19,GCW,Wetland,B,20,,,x,x,x,x,x,,,,,,,
2023,4,19,GCW,Wetland,B,45,,,x,x,x,x,x,,,,,,,
2023,4,19,GCW,Wetland,C,10,,,x,x,x,x,x,,,,,,,
2023,4,19,GCW,Wetland,C,20,,,x,x,x,x,x,,,,,,,
2023,4,19,GCW,Wetland,C,45,,,x,x,x,x,x,,,,,,,
2023,4,19,GCW,Surface Water,A,0,,,x,x,x,x,x,x,,,,,,
2023,4,19,GCW,Surface Water,B,0,,,x,x,x,x,x,x,,,,,,
2023,4,19,GCW,Surface Water,C,0,,,x,x,x,x,x,x,,,,,,
2023,4,25,GWI,Upland,A,10,,,x,x,x,x,x,,,,,,3.869,
2023,4,25,GWI,Upland,A,20,,,,,,,,,,,,,,No water 
2023,4,25,GWI,Upland,A,45,,,x,x,x,x,x,,,,,,,
2023,4,25,GWI,Upland,B,10,,,x,x,x,x,x,,,,,,3.363,
2023,4,25,GWI,Upland,B,20,,,x,x,x,x,x,,,,,,0.773,
2023,4,25,GWI,Upland,B,45,,,x,x,x,x,x,,,,,,0.32,
2023,4,25,GWI,Upland,C,10,,,x,x,x,x,x,,,,,,1.195,
2023,4,25,GWI,Upland,C,20,,,x,x,x,x,x,,,,,,1.335,
2023,4,25,GWI,Upland,C,45,,,,x,,,,,,,,,,
2023,4,25,GWI,Transition,A,10,,,x,x,x,x,x,,,,,,0.466,
2023,4,25,GWI,Transition,A,20,,,x,x,x,x,x,,,,,,0.693,
2023,4,25,GWI,Transition,A,45,,,,x,,,,,,,,,,
2023,4,25,GWI,Transition,B,10,,,x,x,x,x,x,,,,,,1.112,
2023,4,25,GWI,Transition,B,20,,,,x,x,x,x,,,,,,,
2023,4,25,GWI,Transition,B,45,,,,x,x,x,x,,,,,,,
2023,4,25,GWI,Transition,C,10,,,x,x,x,x,x,,,,,,2.594,
2023,4,25,GWI,Transition,C,20,,,x,x,x,x,x,,,,,,0.434,
