"","Site","Date","Zone","Replicate","Depth","Month","Sample_Name","NH3_uM","PO4_uM","NOx_uM","NH3_range","PO4_range","NOx_range"
"1","GCrew","202211","SW","A","GCrew","November","GCrew_202211_SW_A",2.37386393654465,1.99418849550572,1.36477542890188,"Within_Range","Within_Range","bdl"
"2","GCrew","202211","SW","B","GCrew","November","GCrew_202211_SW_B",2.70227819543504,2.76324901654208,1.16687014071837,"Within_Range","Within_Range","bdl"
"3","GCrew","202211","SW","C","GCrew","November","GCrew_202211_SW_C",2.23899990718727,2.33166984371765,1.5205580186625,"Within_Range","Within_Range","bdl"
"4","GCrew","202211","TR","LysA","20cm","November","GCrew_202211_TR_LysA_20cm",23.5883541448021,0.194264173574075,1.12967365617883,"Within_Range","bdl","bdl"
"5","GCrew","202211","TR","LysA","45cm","November","GCrew_202211_TR_LysA_45cm",5.26398080918418,0.241170297072115,1.67448435391634,"Within_Range","Within_Range","bdl"
"6","GCrew","202211","TR","LysB","10cm","November","GCrew_202211_TR_LysB_10cm",6.83951251900876,0.832458751883027,0.818751026294559,"Within_Range","Within_Range","bdl"
"7","GCrew","202211","TR","LysB","20cm","November","GCrew_202211_TR_LysB_20cm",56.3633118436177,0.602069009831009,1.11475222572055,"Within_Range","Within_Range","bdl"
"8","GCrew","202211","TR","LysB","45cm","November","GCrew_202211_TR_LysB_45cm",6.07459287341058,0.0775343228597742,1.71824912363369,"Within_Range","bdl","bdl"
"9","GCrew","202211","TR","LysB","45cm","November","GCrew_202211_TR_LysB_45cm",6.07459287341058,0.523392376505529,1.71824912363369,"Within_Range","Within_Range","bdl"
"10","GCrew","202211","TR","LysC","10cm","November","GCrew_202211_TR_LysC_10cm",0.54673834664839,0.952044378761593,1.09304832687214,"bdl","Within_Range","bdl"
"11","GCrew","202211","TR","LysC","20cm","November","GCrew_202211_TR_LysC_20cm",34.3511319582771,0.714086829874274,0.351403257012715,"Within_Range","Within_Range","bdl"
"12","GCrew","202211","TR","LysC","45cm","November","GCrew_202211_TR_LysC_45cm",10.3185618311237,0.226463049826155,0.162208086130209,"Within_Range","Within_Range","bdl"
"13","GCrew","202211","UP","LysB","10cm","November","GCrew_202211_UP_LysB_10cm",0.711588025730543,0.136648889460044,1.30373321339073,"bdl","bdl","bdl"
"14","GCrew","202211","UP","LysB","20cm","November","GCrew_202211_UP_LysB_20cm",2.01867677611429,0.104806985228498,1.16422854776643,"Within_Range","bdl","bdl"
"15","GCrew","202211","UP","LysC","10cm","November","GCrew_202211_UP_LysC_10cm",0.468632868555763,0.19647740010138,1.17843603418364,"bdl","bdl","bdl"
"16","GCrew","202211","UP","LysC","20cm","November","GCrew_202211_UP_LysC_20cm",7.46128638437319,5.77102386714929,1.12817437369259,"Within_Range","Within_Range","bdl"
"17","GCrew","202211","WC","SipA","10cm","November","GCrew_202211_WC_SipA_10cm",5.56862073150706,5.04851249759044,0.315349082938879,"Within_Range","Within_Range","bdl"
"18","GCrew","202211","WC","SipA","20cm","November","GCrew_202211_WC_SipA_20cm",84.4327357621709,21.6558504144445,1.18536129138198,"Within_Range","Within_Range","bdl"
"19","GCrew","202211","WC","SipA","20cm","November","GCrew_202211_WC_SipA_20cm",84.4327357621709,22.4268385843918,1.18536129138198,"Within_Range","Within_Range","bdl"
"20","GCrew","202211","WC","SipA","45cm","November","GCrew_202211_WC_SipA_45cm",16.666238300242,7.09331962560774,0.645905173952466,"Within_Range","Within_Range","bdl"
