"","Site","Zone_1","min_ch4","max_ch4","mean_ch4","sd_ch4","min_co2","max_co2","mean_co2","sd_co2"
"1","SWH","Upland",-6.841,52.26,2.27,6.196,1.611,42.796,10.841,7.432
"2","SWH","Swamp",-30.879,2494.889,98.32,304.491,0.83,38.63,6.266,5.276
"3","SWH","Transition",-48.271,14394.778,553.854,1625.316,0.072,62.385,6.818,8.738
"4","GCW","Upland",-5.882,0.317,-1.973,1.207,0.08,39.584,9.84,7.321
"5","GCW","Transition",-46.25,96.303,7.172,16.546,0.952,21.575,6.014,3.861
"6","MSM","Upland",-2.544,10.603,0.118,1.466,0.27,19.05,4.714,3.147
"7","MSM","Transition",-3.534,3.304,0.189,0.719,0.328,8.759,2.618,1.668
"8","GWI","Upland",-1.663,1.709,-0.038,0.439,0.524,14.573,5.545,2.409
"9","GWI","Transition",-0.715,10.509,0.548,0.895,0.533,22.014,3.814,3.295
