[Header]	
System	TOCL TNML ASIL 24ML	
S/W Version	1.00	
User	cp	
Date/Time	12/16/2025 1:14:12 PM	

[System]	
Instrument Options	TOC/ASI/IC Unit/TN/	

[Data]	
Type	Anal.	Sample Name	Sample ID	Result(TOC)	Result(TC)	Result(IC)	Result(POC)	Result(NPOC)	Result(TN)	Unit	Vial	Date / Time	
Unknown	IC	202511_SWH_TR_LysA_20cm	Untitled			51.11				mg/L	50	11/21/2025 12:27:11 PM	
Unknown	IC	202511_SWH_TR_LysA_45cm	Untitled			62.61				mg/L	51	11/21/2025 12:54:37 PM	
Unknown	IC	202511_SWH_TR_LysB_10cm	Untitled			45.94				mg/L	52	11/21/2025 1:17:47 PM	
Unknown	IC	DI	Untitled			4.196				mg/L	0	11/21/2025 1:36:42 PM	
Unknown	IC	Chk_Std_40mgL	Untitled			53.27				mg/L	53	11/21/2025 2:02:38 PM	
Unknown	IC	DI	Untitled			4.176				mg/L	0	11/21/2025 2:21:06 PM	
Unknown	IC	202511_SWH_TR_LysB_20cm	Untitled			86.40				mg/L	54	11/21/2025 2:47:02 PM	
Unknown	IC	202511_SWH_TR_LysB_45cm	Untitled			102.0				mg/L	55	11/21/2025 3:16:20 PM	
Unknown	IC	DI	Untitled			4.250				mg/L	0	11/21/2025 3:47:22 PM	
Unknown	IC	202511_SWH_TR_LysC_10cm	Untitled			25.00				mg/L	56	11/21/2025 4:02:25 PM	
Unknown	IC	202511_SWH_TR_LysC_20cm	Untitled			33.70				mg/L	57	11/21/2025 4:18:06 PM	
Unknown	IC	202511_SWH_TR_LysC_45cm	Untitled			72.83				mg/L	58	11/21/2025 4:39:32 PM	
Unknown	IC	202511_SWH_WC_LysA_10cm	Untitled			35.81				mg/L	59	11/21/2025 4:54:44 PM	
Unknown	IC	202511_SWH_WC_LysB_10cm	Untitled			61.72				mg/L	60	11/21/2025 5:15:41 PM	
Unknown	IC	202511_SWH_WC_LysC_45cm	Untitled			96.22				mg/L	61	11/21/2025 5:37:39 PM	
Unknown	IC	202511_SWH_SW_A	Untitled			19.60				mg/L	62	11/21/2025 6:00:35 PM	
Unknown	IC	202511_SWH_SW_B	Untitled			21.61				mg/L	63	11/21/2025 6:18:32 PM	
Unknown	IC	DI	Untitled			4.142				mg/L	0	11/21/2025 6:33:42 PM	
Unknown	IC	Chk_Std_10mgL	Untitled			18.84				mg/L	64	11/21/2025 6:48:14 PM	
Unknown	IC	DI	Untitled			4.105				mg/L	0	11/21/2025 7:01:25 PM	
Unknown	IC	202511_SWH_SW_C	Untitled			21.61				mg/L	65	11/21/2025 7:16:04 PM	
Unknown	IC	202511_GWI_UP_LysA_20cm	Untitled			50.50				mg/L	66	11/21/2025 7:31:45 PM	
Unknown	IC	202511_GWI_UP_LysA_45cm	Untitled			26.95				mg/L	67	11/21/2025 7:54:26 PM	
Unknown	IC	202511_GWI_UP_LysB_10cm	Untitled			12.64				mg/L	68	11/21/2025 8:15:26 PM	
Unknown	IC	202511_GWI_UP_LysB_20cm	Untitled			26.49				mg/L	69	11/21/2025 8:38:11 PM	
Unknown	IC	202511_GWI_UP_LysB_45cm	Untitled			40.08				mg/L	70	11/21/2025 8:58:11 PM	
Unknown	IC	202511_GWI_UP_LysC_20cm	Untitled			33.99				mg/L	71	11/21/2025 9:21:02 PM	
Unknown	IC	202511_GWI_TR_LysA_10cm	Untitled			85.88				mg/L	72	11/21/2025 9:46:31 PM	
Unknown	IC	202511_GWI_TR_LysA_20cm	Untitled			90.36				mg/L	73	11/21/2025 10:08:16 PM	
Unknown	IC	202511_GWI_TR_LysB_10cm	Untitled			42.92				mg/L	74	11/21/2025 10:31:45 PM	
Unknown	IC	DI	Untitled			4.364				mg/L	0	11/21/2025 10:47:44 PM	
Unknown	IC	Chk_Std_200mgL	Untitled			246.0				mg/L	75	11/21/2025 11:18:04 PM	
Unknown	IC	DI	Untitled			4.205				mg/L	0	11/21/2025 11:35:40 PM	
Unknown	IC	202511_GWI_TR_LysB_10cm_dup	Untitled			33.24				mg/L	76	11/21/2025 11:59:04 PM	
Unknown	IC	202511_GWI_TR_LysB_20cm	Untitled			49.31				mg/L	77	11/22/2025 12:25:27 AM	
Unknown	IC	202511_GWI_TR_LysC_10cm	Untitled			20.68				mg/L	78	11/22/2025 12:45:19 AM	
