"Project","Region","Sample_ID","Year","Month","Day","Site","Zone","Lysimeter","Depth_cm","Sampling_Time","Sampling_Time_Zone","Field_Notes","ic_mgL","ic_uM","ic_flag","npoc_mgL","npoc_uM","npoc_flag","tdn_mgL","tdn_uM","tdn_flag","NOx_mgL","NOx_uM","NOx_Conc_Flag","NH3_mgL","NH3_uM","NH3_Conc_Flag","PO4_mgL","PO4_uM","PO4_Conc_Flag","SO4_ppm","SO4_mM","SO4_Conc_flag","Cl_ppm","Cl_mM","Cl_Conc_flag","salinity","H2S_mean_uM","H2S_sd_uM","H2S_cv","H2S_Conc_flag","H2S_cv_flag"
"COMPASS:Synoptic","CB","MSM_202206_TR_LYSA_10CM",2022,6,6,"MSM","TR","A",10,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"bdl",0.245,17.4896,"Within_Range",0.0114,0.8136,"Within_Range",331.4201,10.3375,NA,2755.8535,77.7392,NA,4.9799,0,0,0,"bdl","Within Range"
"COMPASS:Synoptic","CB","MSM_202206_TR_LYSA_20CM",2022,6,6,"MSM","TR","A",20,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"bdl",1.454,103.8042,"Within_Range",0.012,0.8592,"Within_Range",419.4743,13.084,NA,2817.4242,79.476,NA,5.0911,0,0,0,"bdl","Within Range"
"COMPASS:Synoptic","CB","MSM_202206_TR_LYSA_45CM",2022,6,6,"MSM","TR","A",45,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"bdl",0.9846,70.2984,"Within_Range",0.0212,1.5119,"Within_Range",489.302,15.2621,NA,3366.3801,94.9614,NA,6.0831,104.725,0.9552,0.9121,"adl","Within Range"
"COMPASS:Synoptic","CB","MSM_202206_TR_LYSB_10CM",2022,6,6,"MSM","TR","B",10,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"bdl",0.4871,34.7761,"Within_Range",0.0089,0.6352,"Within_Range",367.1323,11.4514,NA,3027.1985,85.3935,NA,5.4702,0,0,0,"bdl","Within Range"
"COMPASS:Synoptic","CB","MSM_202206_TR_LYSB_20CM",2022,6,6,"MSM","TR","B",20,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"bdl",0.6271,44.7691,"Within_Range",0.0082,0.5835,"Within_Range",348.7404,10.8777,NA,2952.4617,83.2852,NA,5.3351,0,0,0,"bdl","Within Range"
"COMPASS:Synoptic","CB","MSM_202206_TR_LYSB_45CM",2022,6,6,"MSM","TR","B",45,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"bdl",1.4234,101.6205,"Within_Range",0.0124,0.8886,"Within_Range",461.7393,14.4023,NA,3741.1335,105.5327,NA,6.7603,0,0,0,"bdl","Within Range"
"COMPASS:Synoptic","CB","MSM_202206_TR_LYSC_10CM",2022,6,6,"MSM","TR","C",10,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"bdl",0.6567,46.8832,"Within_Range",0.0082,0.5864,"Within_Range",314.1841,9.7999,NA,2868.5932,80.9194,NA,5.1836,0,0,0,"bdl","Within Range"
"COMPASS:Synoptic","CB","MSM_202206_TR_LYSC_20CM",2022,6,6,"MSM","TR","C",20,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"bdl",1.387,99.0245,"Within_Range",0.0094,0.6745,"Within_Range",308.5873,9.6253,NA,2918.0163,82.3136,NA,5.2729,39.7576,0.3184,0.8008,"Within Range","Within Range"
"COMPASS:Synoptic","CB","MSM_202206_TR_LYSC_45CM",2022,6,6,"MSM","TR","C",45,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"bdl",1.736,123.9393,"Within_Range",0.0231,1.65,"Within_Range",451.001,14.0674,NA,3028.6085,85.4332,NA,5.4727,0,0,0,"bdl","Within Range"
"COMPASS:Synoptic","CB","MSM_202206_UP_LYSA_10CM",2022,6,6,"MSM","UP","A",10,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"bdl",0.8827,63.0233,"Within_Range",0.0111,0.7922,"Within_Range",126.0804,3.9326,NA,1568.6751,44.2504,NA,2.8346,0,0,0,"bdl","Within Range"
"COMPASS:Synoptic","CB","MSM_202206_UP_LYSA_20CM",2022,6,6,"MSM","UP","A",20,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"bdl",1.8807,134.2681,"Within_Range",0.0133,0.9462,"Within_Range",180.9152,5.643,NA,2031.261,57.2993,NA,3.6705,0,0,0,"bdl","Within Range"
"COMPASS:Synoptic","CB","MSM_202206_UP_LYSA_45CM",2022,6,6,"MSM","UP","A",45,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"bdl",1.004,71.6771,"Within_Range",0.0138,0.9858,"Within_Range",190.4671,5.941,NA,2334.0716,65.8412,NA,4.2177,120.4523,1.8194,1.5104,"adl","Within Range"
"COMPASS:Synoptic","CB","MSM_202206_UP_LYSB_10CM",2022,6,6,"MSM","UP","B",10,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"bdl",0.1155,8.2489,"Within_Range",0.009,0.6435,"Within_Range",103.5657,3.2304,NA,1069.0949,30.1578,NA,1.9319,0,0,0,"bdl","Within Range"
"COMPASS:Synoptic","CB","MSM_202206_UP_LYSB_20CM",2022,6,6,"MSM","UP","B",20,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"bdl",0.4783,34.1478,"Within_Range",0.0097,0.6913,"Within_Range",120.921,3.7717,NA,1237.6007,34.9112,NA,2.2364,0,0,0,"bdl","Within Range"
"COMPASS:Synoptic","CB","MSM_202206_UP_LYSB_45CM",2022,6,6,"MSM","UP","B",45,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"bdl",0.8145,58.1517,"Within_Range",0.0193,1.3757,"Within_Range",215.2179,6.713,NA,2229.8247,62.9006,NA,4.0293,153.8687,9.87,6.4146,"adl","Within Range"
"COMPASS:Synoptic","CB","MSM_202206_UP_LYSC_10CM",2022,6,6,"MSM","UP","C",10,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"bdl",0.8626,61.5878,"Within_Range",0.0114,0.8171,"Within_Range",139.2101,4.3422,NA,1527.3732,43.0853,NA,2.76,0,0,0,"bdl","Within Range"
"COMPASS:Synoptic","CB","MSM_202206_UP_LYSC_20CM",2022,6,6,"MSM","UP","C",20,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"bdl",2.2202,158.5108,"adl",0.0175,1.2494,"Within_Range",170.5623,5.3201,NA,1915.3132,54.0286,NA,3.461,0,0,0,"bdl","Within Range"
"COMPASS:Synoptic","CB","MSM_202206_UP_LYSC_45CM",2022,6,6,"MSM","UP","C",45,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"bdl",1.0508,75.0231,"Within_Range",0.0165,1.1749,"Within_Range",241.6542,7.5376,NA,2196.0487,61.9478,NA,3.9683,0,0,0,"bdl","Within Range"
"COMPASS:Synoptic","CB","MSM_202206_WC_LYSA_10CM",2022,6,6,"MSM","WC","A",10,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,"bdl","Within Range"
"COMPASS:Synoptic","CB","MSM_202206_WC_LYSA_20CM",2022,6,6,"MSM","WC","A",20,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,"bdl","Within Range"
"COMPASS:Synoptic","CB","MSM_202206_WC_LYSA_45CM",2022,6,6,"MSM","WC","A",45,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.7048,2.5826,2.5645,"adl","Within Range"
"COMPASS:Synoptic","CB","MSM_202206_WC_LYSB_10CM",2022,6,6,"MSM","WC","B",10,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,"bdl","Within Range"
"COMPASS:Synoptic","CB","MSM_202206_WC_LYSB_20CM",2022,6,6,"MSM","WC","B",20,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.5791,2.6836,2.6949,"adl","Within Range"
"COMPASS:Synoptic","CB","MSM_202206_WC_LYSB_45CM",2022,6,6,"MSM","WC","B",45,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,"bdl","Within Range"
"COMPASS:Synoptic","CB","MSM_202206_WC_LYSC_10CM",2022,6,6,"MSM","WC","C",10,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,"bdl","Within Range"
"COMPASS:Synoptic","CB","MSM_202206_WC_LYSC_20CM",2022,6,6,"MSM","WC","C",20,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,145.4422,10.8707,7.4742,"adl","Within Range"
"COMPASS:Synoptic","CB","MSM_202206_WC_LYSC_45CM",2022,6,6,"MSM","WC","C",45,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,"bdl","Within Range"
"COMPASS:Synoptic","CB","GWI_202206_TR_LYSA_10CM",2022,6,9,"GWI","TR","A",10,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"bdl",0.4161,29.7045,"Within_Range",0.0067,0.4759,"Within_Range",1166.3401,36.3799,NA,8618.8088,243.1258,NA,15.5742,0,0,0,"bdl","Within Range"
