"","ID_full","IDs","FE_2_mean","FE_2_sd","FE_2_cv","FE_3_mean","FE_3_sd","FE_3_cv","FE_tot_mean","FE_tot_sd","FE_2_flag","FE_3_flag","Dilution","Plate","QAQC_flag","FE_2_cv_flag","FE_3_cv_flag","Run_notes"
"1","Plate1_1_202505_MSM_SW_C","202505_MSM_SW_C",20.0502438999189,1.22229535517487,6.09616202813283,7.15161290094378,1.41381315521389,19.7691510264393,27.2018568008627,1.79475987057621,"Within range","Within range",1,"Plate1","Fe3 Chk Std 60 out of range; Fe3 Dup perc diff out of range","ok","High cv rerun","The check stds for FE3 60 uM were all bad. Spikes were bad. "
"2","Plate1_50_202505_MSM_TR_B_45","202505_MSM_TR_B_45",16154.6718991748,629.6135941301,3.8974087376065,1125.3923027117,95.3789919166994,8.47517720592884,17280.0642018865,98.6243666300367,"Within range","High",50,"Plate1","Fe3 Chk Std 60 out of range; Fe3 Dup perc diff out of range","ok","ok","The check stds for FE3 60 uM were all bad. Spikes were bad. "
"3","Plate1_50_202505_MSM_TR_B_45 dup","202505_MSM_TR_B_45 dup",15950.4928204314,311.853048096744,1.95513111480345,867.621972449656,1208.96348605992,139.342193311047,16818.114792881,1209.09245456014,"Within range","High",50,"Plate1","Fe3 Chk Std 60 out of range; Fe3 Dup perc diff out of range","ok","High cv rerun","The check stds for FE3 60 uM were all bad. Spikes were bad. "
"4","Plate1_50_202505_MSM_TR_C_45 dup","202505_MSM_TR_C_45 dup",21863.5189408411,1481.74939333451,6.77726855106843,0,0,0,21863.5189408411,38.493498065706,"Within range","High",50,"Plate1","Fe3 Chk Std 60 out of range; Fe3 Dup perc diff out of range","ok","ok","The check stds for FE3 60 uM were all bad. Spikes were bad. "
"5","Plate2_1_202505_SWH_SW_C","202505_SWH_SW_C",13.7129376998703,0.580823707276711,4.23558919313258,3.89986895259101,0.574450498017122,14.729994904969,17.6128066524613,0.954367372634266,"Within range","Within range",1,"Plate2","Fe3 Chk Std 60 out of range; Fe3 Dup perc diff out of range; Spk recovery out of range","ok","High cv rerun","The check stds for FE3 60 uM were all bad. Spikes were bad. "
"6","Plate2_1_202505_SWH_SW_C spk","202505_SWH_SW_C spk",34.5626750980301,2.95756044441653,8.55709355837765,9.99620023424745,2.21941434563919,22.2025799166705,44.5588753322776,2.8077322668028,"Within range","Within range",1,"Plate2","Fe3 Chk Std 60 out of range; Fe3 Dup perc diff out of range; Spk recovery out of range","ok","High cv rerun","The check stds for FE3 60 uM were all bad. Spikes were bad. "
"7","Plate2_8_202507_GCW_TR_A_45","202507_GCW_TR_A_45",1775.871665518,16.6321625651598,0.936563316376152,902.215114129201,3.23601669332202,0.35867462677627,2678.0867796472,5.20614700182568,"Within range","High",8,"Plate2","Fe3 Chk Std 60 out of range; Fe3 Dup perc diff out of range; Spk recovery out of range","ok","ok","The check stds for FE3 60 uM were all bad. Spikes were bad. "
"8","Plate2_8_202507_GCW_TR_B_20","202507_GCW_TR_B_20",1713.14785252802,156.613397898538,9.14184947127771,119.374601128344,104.051616703163,87.1639492150373,1832.52245365637,104.801490144179,"Within range","High",8,"Plate2","Fe3 Chk Std 60 out of range; Fe3 Dup perc diff out of range; Spk recovery out of range","ok","High cv rerun","The check stds for FE3 60 uM were all bad. Spikes were bad. "
"9","Plate3_1_202507_GCW_SW_B","202507_GCW_SW_B",4.20697839979749,0.219530726432108,5.21825180853496,0,0,0,4.20697839979749,0.468541061628655,"Within range","Below MDL",1,"Plate3","Fe3 Chk Std 60 out of range; Fe3 Dup perc diff out of range; Spk recovery out of range","ok","ok","The check stds for FE3 60 uM were all bad. Spikes were bad. "
"10","Plate3_1_202507_GCW_WC_C_20","202507_GCW_WC_C_20",4.52384370979991,0.268869131310592,5.94337798912341,0,0,0,4.52384370979991,0.518525921541625,"Within range","Below MDL",1,"Plate3","Fe3 Chk Std 60 out of range; Fe3 Dup perc diff out of range; Spk recovery out of range","ok","ok","The check stds for FE3 60 uM were all bad. Spikes were bad. "
"11","Plate3_50_202507_MSM_TR_C_45","202507_MSM_TR_C_45",20728.2832630276,574.088250089802,2.76958898527687,1545.9275502967,76.9356468539864,4.97666574602547,22274.2108133243,80.5802829911332,"Within range","High",50,"Plate3","Fe3 Chk Std 60 out of range; Fe3 Dup perc diff out of range; Spk recovery out of range","ok","ok","The check stds for FE3 60 uM were all bad. Spikes were bad. "
