"","Site","Zone","min_H2S_mM","max_H2S_mM","mean_H2S_mM","sd_H2S_mM"
"1","GCW","SW",0,0,0,0
"2","GCW","TR",0,6.6111,0.406502654867257,1.37769976477747
"3","GCW","UP",0,0.6401,0.0185428571428571,0.10816285457237
"4","GCW","WC",69.2309,7194.6234,2438.73584029851,1521.80233625407
"5","GWI","SW",0,0,0,0
"6","GWI","TR",0,562.7485,22.5896194029851,69.0256326975008
"7","GWI","UP",0,19.1848,0.697526315789474,2.60314958902503
"8","GWI","WC",0,22.8852,0.822934959349593,2.61742933644995
"9","MSM","SW",0,0.7968,0.0177066666666667,0.118779930964789
"10","MSM","TR",0,37.1865,4.19933076923077,7.12469465734787
"11","MSM","UP",0,10.5215,0.385134951456311,1.51627678953808
"12","MSM","WC",0,3236.5684,941.562371666667,892.633498072017
"13","SWH","SW",0,0.0791,0.00155098039215686,0.0110762154646616
"14","SWH","SWAMP",0,228.0973,15.1105577639752,24.828742283364
"15","SWH","TR",0,759.7757,85.721701863354,154.689988033053
"16","SWH","UP",0,48.5297,6.2344949044586,10.620381902809
"17","SWH","WC",0,1009.9359,21.5191473333333,86.2418820261722
