"","Year","Site","Zone","Depth_cm","min_ic_mgL","max_ic_mgL","mean_ic_mgL","sd_ic_mgL"
"1",2022,"GCW","SW",0,12.71,26.26,20.2266666666667,5.29349915777204
"2",2022,"GCW","TR",10,8.935,35.07,19.00125,11.3239174427404
"3",2022,"GCW","TR",20,38.16,92.35,59.04,18.3588022485128
"4",2022,"GCW","TR",45,20.98,78.38,48.125,20.3348860336123
"5",2022,"GCW","UP",10,2.523,2.83,2.6765,0.21708178182427
"6",2022,"GCW","UP",20,4.962,4.962,4.962,NA
"7",2022,"GCW","WC",10,90.1,90.1,90.1,NA
"8",2022,"GCW","WC",20,140.3,140.3,140.3,NA
"9",2022,"GCW","WC",45,192.8,192.8,192.8,NA
"10",2022,"GWI","SW",0,18.89,21.22,20.245,0.743462415752379
"11",2022,"GWI","TR",10,5.946,42.45,24.0123636363636,12.0178572738465
"12",2022,"GWI","TR",20,32.15,94.85,57.3045454545455,21.0087949981127
"13",2022,"GWI","TR",45,42.99,62.54,51.6033333333333,9.97993152949124
"14",2022,"GWI","UP",10,2.676,17.91,9.451625,5.7229821131869
"15",2022,"GWI","UP",20,12.06,22.78,15.8916666666667,3.40392509620968
"16",2022,"GWI","UP",45,16.52,26.69,22.3433333333333,5.2433418096986
"17",2022,"MSM","SW",0,17.58,23.32,20.06,1.99305612747678
"18",2022,"MSM","TR",10,15.97,62.6,28.4391666666667,14.9404000544791
"19",2022,"MSM","TR",20,21.43,57.36,41.0575,9.30069022365349
"20",2022,"MSM","TR",45,26.4,74.84,51.95,23.8817964148428
"21",2022,"MSM","UP",10,12.18,32.42,20.89625,6.55726628035103
"22",2022,"MSM","UP",20,18.61,38.29,29.24,7.15464417936583
"23",2023,"GCW","SW",0,2.399,29.74,18.561619047619,7.69382056897736
"24",2023,"GCW","TR",10,5.921,39.49,22.6575,12.5167713317544
"25",2023,"GCW","TR",20,14.89,54.8,37.9375,14.7874500361431
"26",2023,"GCW","TR",45,13.74,46.14,26.39,17.3276513122812
"27",2023,"GCW","WC",10,21.9,197.8,93.1833333333333,47.0549319767156
"28",2023,"GCW","WC",20,14.19,175.6,95.5871428571429,52.279666998065
"29",2023,"GCW","WC",45,15.35,169.7,114.074285714286,50.2227461984536
"30",2023,"GWI","SW",0,2.951,25.52,18.3324761904762,6.65372233128981
"31",2023,"GWI","TR",10,4.647,60.73,30.15505,18.0849900469248
"32",2023,"GWI","TR",20,22.72,54.11,41.9427272727273,9.07848785967034
"33",2023,"GWI","UP",10,4.044,19.42,9.65764285714286,5.40492265093936
"34",2023,"GWI","UP",20,6.923,30.33,17.5680526315789,5.86534945888596
"35",2023,"GWI","UP",45,5.57,28.77,19.1783333333333,8.10199090758973
"36",2023,"GWI","WC",10,5.01,90.47,60.2868947368421,23.1620786317606
"37",2023,"GWI","WC",20,41.34,102.2,64.2277777777778,21.5164708873097
"38",2023,"GWI","WC",45,18.68,57.52,46.1316666666667,10.5321773915018
"39",2023,"MSM","SW",0,1.891,23.02,17.5225,6.92542858639544
"40",2023,"MSM","TR",10,9.274,41,24.5349411764706,9.80336332892052
"41",2023,"MSM","TR",20,24.9,63.92,42.2033333333333,9.91852324357479
"42",2023,"MSM","TR",45,26.41,53.2,44.1433333333333,15.3586924356644
"43",2023,"MSM","UP",10,3.18,28.92,11.8829230769231,8.61278184310523
"44",2023,"MSM","UP",20,5.363,35.96,17.461,11.1305001864247
"45",2023,"MSM","WC",10,25.52,162,84.8757142857143,47.5032147934673
"46",2023,"MSM","WC",20,8.132,142.4,80.0512941176471,41.0481662924252
"47",2023,"MSM","WC",45,102.3,102.3,102.3,NA
"48",2023,"SWH","SW",0,2.007,14.74,10.1555238095238,3.88730668482753
"49",2023,"SWH","SWAMP",10,2.677,43.1,16.1157368421053,10.1286483623987
"50",2023,"SWH","SWAMP",20,4.422,36.77,24.0792857142857,8.67117259165597
"51",2023,"SWH","SWAMP",45,13.29,33.51,26.2014285714286,5.92619547915379
"52",2023,"SWH","TR",10,12.29,42.67,23.2863157894737,9.42638507979144
"53",2023,"SWH","TR",20,17.17,62.61,36.4528571428571,10.9973993029521
"54",2023,"SWH","TR",45,25.86,60.38,45.9352380952381,8.40558660597083
"55",2023,"SWH","UP",10,3.556,11.27,6.22907692307692,2.66457083666202
"56",2023,"SWH","UP",20,6.349,31.48,13.0312777777778,7.27837185094672
"57",2023,"SWH","UP",45,19.75,57.48,43.4794444444444,7.84831527236126
"58",2023,"SWH","WC",10,23.77,75.8,52.7057142857143,17.6674775195771
"59",2023,"SWH","WC",20,23.93,48.76,36.345,17.557461376862
"60",2023,"SWH","WC",45,29.68,68.39,53.5685714285714,14.5438044410343
"61",2024,"GCW","SW",0,16.83,23.01,20.1308333333333,2.3417959632157
"62",2024,"GCW","TR",10,2.683,45.2,17.1076666666667,24.3316184487044
"63",2024,"GCW","TR",20,4.742,39.16,12.5158571428571,12.1206953792342
"64",2024,"GCW","TR",45,23.04,28.43,25.735,3.81130555059549
"65",2024,"GCW","WC",10,46.39,119,93.3227272727273,24.5284602414865
"66",2024,"GCW","WC",20,47.85,148.5,104.870833333333,34.2061851021482
"67",2024,"GCW","WC",45,93.48,188.3,153.515,35.0398704076059
"68",2024,"GWI","SW",0,18.74,19.89,19.2558333333333,0.315780658436239
"69",2024,"GWI","TR",10,9.632,47.53,25.2185,12.7755840179618
"70",2024,"GWI","TR",20,14.7,54.25,34.59,14.8311456064594
"71",2024,"GWI","UP",10,4.115,11.82,8.5285,3.29465208077171
"72",2024,"GWI","UP",20,11.58,39.64,22.21,8.16488007668617
"73",2024,"GWI","UP",45,8.909,28.49,20.5527142857143,6.79970133447751
"74",2024,"GWI","WC",10,29.67,91.33,53.7981818181818,20.7504635216574
"75",2024,"GWI","WC",20,42.48,80.58,63.628,13.8749547747011
"76",2024,"GWI","WC",45,37.61,53.42,43.395,7.14646999107485
"77",2024,"MSM","SW",0,16.77,20.1,18.5041666666667,1.13130221292531
"78",2024,"MSM","TR",10,12.9,41.47,23.5022222222222,8.12812367305299
"79",2024,"MSM","TR",20,27.31,42,33.8433333333333,4.69479079470647
"80",2024,"MSM","UP",10,5.382,20.76,11.7361666666667,6.90036339381244
"81",2024,"MSM","UP",20,11.17,30.91,20.376,8.97823646380513
"82",2024,"MSM","WC",10,35.93,102.4,76.4944444444444,21.2560733151205
"83",2024,"MSM","WC",20,60.8,108.1,90.362,16.5197173771897
"84",2024,"SWH","SW",0,7.798,14.94,11.0834285714286,2.24126637353592
"85",2024,"SWH","SWAMP",10,5.504,27.94,17.2346666666667,7.42984250486232
"86",2024,"SWH","SWAMP",20,5.649,34.09,19.9382777777778,8.16151235844952
"87",2024,"SWH","SWAMP",45,8.619,28.86,20.3243888888889,5.56006905520901
"88",2024,"SWH","TR",10,6.221,46.47,24.97585,12.1756926800685
"89",2024,"SWH","TR",20,0,67.75,39.7785714285714,13.3925039801055
"90",2024,"SWH","TR",45,28.83,66.33,49.5547619047619,9.19086319071697
"91",2024,"SWH","UP",10,3.023,11.89,7.66733333333333,2.96084912063271
"92",2024,"SWH","UP",20,5.006,34.05,19.2597,9.58541327170997
"93",2024,"SWH","UP",45,15.5,49.95,34.288,9.94279293903737
"94",2024,"SWH","WC",10,33.79,52.91,45.1077777777778,5.61599451962379
"95",2024,"SWH","WC",20,48.09,84.1,67.1116666666667,12.3946204728772
"96",2024,"SWH","WC",45,63.75,93.05,81.09,10.4115176607448
"97",2025,"GCW","SW",0,15.85,46.7,21.011,9.27883667277316
"98",2025,"GCW","TR",10,4.59,15.48,10.1985,4.058850268241
"99",2025,"GCW","TR",20,11.02,35.27,20.045,8.78598827679619
"100",2025,"GCW","WC",10,31.25,241.3,104.76,59.0414610868729
"101",2025,"GCW","WC",20,34.48,177,104.5175,45.5866430048819
"102",2025,"GCW","WC",45,99.28,291.7,179.953333333333,52.9432346952847
"103",2025,"GWI","SW",0,3.947,33.41,17.045,7.52101708547454
"104",2025,"GWI","TR",10,6.555,85.88,35.2572222222222,25.1204790846919
"105",2025,"GWI","TR",20,31.9,90.36,54.8233333333333,22.544913099559
"106",2025,"GWI","UP",10,6.363,12.64,10.2943333333333,3.42577528938098
"107",2025,"GWI","UP",20,13.01,50.5,24.075,11.0959474584192
"108",2025,"GWI","UP",45,10.21,40.08,21.98625,10.1665009256592
"109",2025,"GWI","WC",10,3.947,115.4,59.8579090909091,38.8957460667733
"110",2025,"GWI","WC",20,25.54,100.5,65.7675,34.964428948099
"111",2025,"GWI","WC",45,23.88,61.94,45.0025,18.5425499415084
"112",2025,"MSM","SW",0,14.38,27.36,18.6018181818182,3.35068595419451
"113",2025,"MSM","TR",10,17.85,52.84,30.74875,11.3092824548181
"114",2025,"MSM","TR",20,20.47,89.34,46.5583333333333,18.7889667011512
"115",2025,"MSM","TR",45,37.73,37.73,37.73,NA
"116",2025,"MSM","UP",10,5.715,32.23,18.79325,9.82410098758587
"117",2025,"MSM","UP",20,3.95,34.37,18.33125,8.95246723774274
"118",2025,"MSM","WC",10,20.67,126.6,73.8275,36.5429593081896
"119",2025,"MSM","WC",20,46.84,162.6,91.5158333333333,33.3389421379681
"120",2025,"SWH","SW",0,6.782,21.61,12.0985,5.8065924524708
