"","Site","Zone","min_ic_mgL","max_ic_mgL","mean_ic_mgL","sd_ic_mgL"
"1","SWH","UP",3.023,57.48,22.4954871794872,14.8398145410938
"2","SWH","SWAMP",2.677,43.1,20.2600344827586,8.35426092001178
"3","SWH","TR",0,102,38.6518993710692,16.0397409478256
"4","SWH","WC",23.77,96.22,56.6174137931034,17.1514369057241
"5","SWH","SW",2.007,21.61,10.9481481481481,3.89248814255126
"6","GCW","UP",2.523,4.962,3.43833333333333,1.32843228406017
"7","GCW","TR",2.683,92.35,30.46859375,21.7900971862885
"8","GCW","WC",14.19,291.7,112.246492537313,51.6194048471904
"9","GCW","SW",2.399,46.7,19.7126181818182,6.63502752929316
"10","MSM","UP",3.18,38.29,18.039131147541,9.68156239539089
"11","MSM","TR",9.274,89.34,35.474,14.4250078430733
"12","MSM","WC",8.132,162.6,83.1920975609756,36.5942919894973
"13","MSM","SW",1.891,27.36,18.5061818181818,4.57395886591372
"14","GWI","UP",2.676,50.5,16.9713365384615,8.43631012795065
"15","GWI","TR",4.647,94.85,36.7436404494382,20.0693593373123
"16","GWI","WC",3.947,115.4,56.482253164557,23.6846327840347
"17","GWI","SW",2.951,33.41,18.6584561403509,5.31641371492292
