"","SampleID","Date","Month","Year","Campaign","Site","Zone","Depth","Rep","Sample_Name","FE_2_mean","FE_2_sd","FE_3_mean","FE_3_sd","FE_2_flag","FE_3_flag"
"1",266,202210,"October",2022,"MonMon","MSM","WC",1,"1","MSM_202210_WC_PEEPER_1",197.920542981449,6.23838665181922,110.492811920129,10.8243442424472,"within range","within range"
"2",267,202210,"October",2022,"MonMon","MSM","WC",2,"2","MSM_202210_WC_PEEPER_2",449.551048319558,12.7480075058915,43.1480899157212,31.7371757591879,"within range","within range"
"3",268,202210,"October",2022,"MonMon","MSM","WC",3,"3","MSM_202210_WC_PEEPER_3",516.294505528141,7.8657918653373,50.5470650726496,2.04160026681744,"within range","within range"
"4",269,202210,"October",2022,"MonMon","MSM","WC",4,"4","MSM_202210_WC_PEEPER_4",501.526556663024,55.65128342706,108.386383220969,51.0818137617684,"within range","within range"
"5",278,202209,"September",2022,"MonMon","Gcrew","UP",20,"A","GCrew_UP_LysA_20cm",1.05068843043156,1.48589782814481,14.8377587897534,1.11790821370166,"bdl","within range"
"6",279,202209,"September",2022,"MonMon","Gcrew","TR",20,"A","GCrew_TR_LysA_20cm",351.687380311905,20.8850335734805,91.9953625380142,24.566912488609,"within range","within range"
"7",280,202209,"September",2022,"MonMon","Gcrew","TR",45,"A","GCrew_TR_LysA_45cm",237.571411808725,12.5941491085843,49.9024381374912,7.9906833368891,"within range","within range"
"8",281,202209,"September",2022,"MonMon","Gcrew","TR",10,"B","GCrew_TR_LysB_10cm",374.510574012541,56.0918625795312,159.28798005093,83.3595419666726,"within range","within range"
"9",282,202209,"September",2022,"MonMon","Gcrew","TR",20,"B","GCrew_TR_LysB_20cm",1115.59309888026,49.3646248100477,582.877826436552,31.5457442692155,"within range","within range"
"10",283,202209,"September",2022,"MonMon","Gcrew","TR",45,"B","GCrew_TR_LysB_45cm",558.438664423551,62.6551007204453,471.193573123539,72.2872875155956,"within range","within range"
"11",284,202209,"September",2022,"MonMon","Gcrew","TR",10,"C","GCrew_TR_LysC_10cm",0,0,87.1458663576876,2.65125583687581,"bdl","within range"
"12",285,202209,"September",2022,"MonMon","Gcrew","TR",20,"C","GCrew_TR_LysC_20cm",903.471651544937,15.1891153261684,382.253606981193,6.0016956231624,"within range","within range"
"13",286,202209,"September",2022,"MonMon","Gcrew","TR",45,"C","GCrew_TR_LysC_45cm",122.112902499624,3.79727883154211,74.239093252765,3.79727883154211,"within range","within range"
"14",287,202209,"September",2022,"MonMon","Gcrew","WC",10,"A","GCrew_WC_SipA_10cm",0,0,11.8645043762899,0.37807667768289,"bdl","within range"
"15",288,202209,"September",2022,"MonMon","Gcrew","WC",20,"A","GCrew_WC_SipA_20cm",0,0,11.4434819022484,0.260022242983054,"bdl","within range"
"16",289,202209,"September",2022,"MonMon","Gcrew","WC",45,"A","GCrew_WC_SipA_45cm",0,0,11.1114632842732,0.22146179877024,"bdl","within range"
"17",290,202209,"September",2022,"MonMon","Gcrew","WC",10,"B","GCrew_WC_SipB_10cm",0,0,12.534895260421,0.299769238226566,"bdl","within range"
"18",291,202209,"September",2022,"MonMon","Gcrew","WC",20,"B","GCrew_WC_SipB_20cm",0,0,11.8878186801312,0.143154359313915,"bdl","within range"
"19",292,202209,"September",2022,"MonMon","Gcrew","WC",45,"B","GCrew_WC_SipB_45cm",0,0,11.8567329416761,0.194512922423337,"bdl","within range"
"20",293,202209,"September",2022,"MonMon","Gcrew","WC",10,"C","GCrew_WC_SipC_10cm",0,0,10.4848654349588,1.06271679012446,"bdl","within range"
"21",294,202209,"September",2022,"MonMon","Gcrew","WC",20,"C","GCrew_WC_SipC_20cm",0,0,11.4653784196567,0.0783074394563257,"bdl","within range"
"22",295,202209,"September",2022,"MonMon","Gcrew","WC",45,"C","GCrew_WC_SipC_45cm",0,0,12.0905584825382,0.760279747174616,"bdl","within range"
"23",296,202209,"September",2022,"MonMon","Gcrew","SW",NA,"A","GCrew_SW_A",0,0,9.70851003910086,0.669238490018841,"bdl","within range"
"24",297,202209,"September",2022,"MonMon","Gcrew","SW",NA,"B","Gcrew_SW_B",0,0,12.3060055813069,0.720199638163008,"bdl","within range"
"25",298,202209,"September",2022,"MonMon","Gcrew","SW",NA,"C","Gcrew_SW_C",0,0,9.25781961303717,0.269294429552201,"bdl","within range"
"26",299,202209,"September",2022,"MonMon","GWI","UP",20,"A","GWI_UP_LysA_20cm",0,0,102.291857289566,2.45458594341893,"bdl","within range"
"27",300,202209,"September",2022,"MonMon","GWI","UP",45,"A","GWI_UP_LysA_45cm",75.571487894405,6.20093036556672,117.887750581989,7.40917416620917,"within range","within range"
"28",301,202209,"September",2022,"MonMon","GWI","UP",10,"B","GWI_UP_LysB_10cm",57.6709438154746,14.9499017096904,102.232310259384,7.18728958036898,"within range","within range"
"29",302,202209,"September",2022,"MonMon","GWI","UP",20,"B","GWI_UP_LysB_20cm",1308.02394772877,94.7165472307386,522.126013197839,55.7825474725503,"within range","within range"
"30",303,202209,"September",2022,"MonMon","GWI","UP",45,"B","GWI_UP_LysB_45cm",0,0,103.839685001068,1.03210311343997,"bdl","within range"
"31",304,202209,"September",2022,"MonMon","GWI","UP",10,"C","GWI_UP_LysC_10cm",1695.57072703761,45.5673459785058,609.07782772427,317.195013601747,"within range","within range"
"32",305,202209,"September",2022,"MonMon","GWI","UP",20,"C","GWI_UP_LysC_20cm",1798.94636909344,176.57346566671,365.395902898015,99.5159713055063,"within range","within range"
"33",306,202209,"September",2022,"MonMon","GWI","TR",10,"A","GWI_TR_LysA_10cm",1030.74451994613,71.5613290483651,319.548872592798,67.4827305336878,"within range","within range"
"34",307,202209,"September",2022,"MonMon","GWI","TR",20,"A","GWI_TR_LysA_20cm",809.046281528579,65.317979121252,509.825768720016,87.0348174399845,"within range","within range"
"35",309,202209,"September",2022,"MonMon","GWI","TR",10,"B","GWI_TR_LysB_10cm",0,0,112.868983610035,3.7972788315421,"bdl","within range"
