"","SampleID","Date","Month","Year","Campaign","Site","Zone","Depth","Rep","Sample_Name","FE_2_mean","FE_2_sd","FE_3_mean","FE_3_sd","FE_2_flag","FE_3_flag"
"1",1,202211,"November",2022,"MonMon","Gcrew","UP",10,"B","GCrew_UP_LysB_10cm",6.1976697883704,1.85135748783197,0,0,"within range","bdl"
"2",2,202211,"November",2022,"MonMon","Gcrew","UP",20,"B","GCrew_UP_LysB_20cm",4.5179984764238,0.528959282237706,0,0,"within range","bdl"
"3",3,202211,"November",2022,"MonMon","Gcrew","UP",10,"C","GCrew_UP_LysC_10cm",9.09892023627816,0.953594907370337,0,0,"within range","bdl"
"4",4,202211,"November",2022,"MonMon","Gcrew","UP",20,"C","GCrew_UP_LysC_20cm",7.11385414034127,0.528959282237706,0,0,"within range","bdl"
"5",6,202211,"November",2022,"MonMon","Gcrew","TR",45,"A","GCrew_TR_LysA_45cm",455.29707924727,24.9200578985271,99.5653336128798,19.1787125284215,"within range","within range"
"6",7,202211,"November",2022,"MonMon","Gcrew","TR",10,"B","GCrew_TR_LysB_10cm",354.819078468558,33.6571058929551,76.1917165028022,44.5007898555461,"within range","within range"
"7",13,202211,"November",2022,"MonMon","Gcrew","WC",10,"A","GCrew_WC_SipA_10cm",2.38023498849176,0,0,0,"within range","bdl"
"8",14,202211,"November",2022,"MonMon","Gcrew","WC",20,"A","GCrew_WC_SipA_20cm",2.53293238048691,0.699747357240098,0,0,"within range","bdl"
"9",15,202211,"November",2022,"MonMon","Gcrew","WC",45,"A","GCrew_WC_SipA_45cm",9.70970980425874,0.458092175985437,0,0,"within range","bdl"
"10",16,202211,"November",2022,"MonMon","Gcrew","WC",10,"B","GCrew_WC_SipB_10cm",2.68562977248205,0.264479641118853,0,0,"within range","bdl"
"11",17,202211,"November",2022,"MonMon","Gcrew","WC",20,"B","GCrew_WC_SipB_20cm",1.00595846053546,0,0,0,"within range","bdl"
"12",18,202211,"November",2022,"MonMon","Gcrew","WC",45,"B","GCrew_WC_SipB_45cm",3.14372194846749,0.528959282237706,0,0,"within range","bdl"
"13",19,202211,"November",2022,"MonMon","Gcrew","WC",10,"C","GCrew_WC_SipC_10cm",2.38023498849176,0.793438923356558,0,0,"within range","bdl"
