"","Site","Zone","Depth_cm","min_CH4_ppm","max_CH4_ppm","mean_CH4_ppm","sd_CH4_ppm","min_CO2_ppm","max_CO2_ppm","mean_CO2_ppm","sd_CO2_ppm"
"1","GCW","TR",0,2,6,3,1,340,1374,641,305
"2","GCW","TR",10,1,3534,208,662,3950,83516,26302,20083
"3","GCW","TR",20,2,5444,244,990,1188,61275,34128,17097
"4","GCW","TR",45,2,4224,259,835,528,67149,38358,17463
"5","GCW","WC",0,4,16,8,4,445,785,583,106
"6","GCW","WC",10,2670,61016,21770,17235,34137,109240,69784,19809
"7","GCW","WC",20,3470,37408,14713,8692,28660,104593,69050,17338
"8","GCW","WC",45,467,68788,21263,20643,36811,113555,70223,18372
"9","GWI","TR",0,2,38,5,9,299,17944,1787,4477
"10","GWI","TR",10,1,891,62,166,5929,102740,36890,27123
"11","GWI","TR",20,2,1486,111,317,9894,118215,60737,26638
"12","GWI","TR",45,2,318,81,97,374,87327,49853,26383
"13","GWI","UP",0,2,3,3,1,297,946,504,144
"14","GWI","UP",10,1,12,3,2,1464,62649,7602,11594
"15","GWI","UP",20,1,5,3,1,1267,69127,10534,12211
"16","GWI","UP",45,0,13,3,3,1477,72019,26797,21968
"17","GWI","WC",0,2,14,5,4,359,8141,1235,1953
"18","GWI","WC",10,2,1368,70,228,8880,148202,82367,42413
"19","GWI","WC",20,2,127,20,26,9879,153585,80098,34888
"20","GWI","WC",45,1,1062,97,245,530,129422,62739,32308
"21","MSM","TR",0,2,4,3,1,381,736,558,108
"22","MSM","TR",10,2,408,50,97,11436,92039,44566,20161
"23","MSM","TR",20,3,8643,439,1468,24223,113972,47791,20263
"24","MSM","TR",45,6,1030,157,234,6247,115625,52109,21642
"25","MSM","UP",0,2,3,3,1,130,640,483,119
"26","MSM","UP",10,2,429,16,64,2628,28429,8046,4910
"27","MSM","UP",20,2,187,10,28,4279,81971,15237,14100
"28","MSM","UP",45,1,144,16,31,15755,72123,34498,14615
"29","MSM","WC",0,2,142,13,35,430,947,634,165
"30","MSM","WC",10,25,3157,894,732,23433,115257,59170,23084
"31","MSM","WC",20,3,1450,402,360,471,86875,57356,16074
"32","MSM","WC",45,4,3495,245,607,33759,114622,65211,17276
"33","SWH","SWAMP",0,2,42,17,15,415,768,562,132
"34","SWH","SWAMP",10,19,168002,58379,58250,5270,80848,47138,20721
"35","SWH","SWAMP",20,8,154927,31229,47835,244,75384,43093,18730
"36","SWH","SWAMP",45,9,74001,9934,22330,20235,64073,44230,14631
"37","SWH","TR",0,12,1666,199,414,447,995,642,156
"38","SWH","TR",10,28,185821,60008,65796,1322,133945,57601,39584
"39","SWH","TR",20,64,190172,101336,47894,9067,119670,69000,30029
"40","SWH","TR",45,1125,167724,81512,55314,5258,123948,60994,33086
"41","SWH","UP",0,2,62,12,16,357,788,578,139
"42","SWH","UP",10,2,23,5,4,502,66295,24598,15532
"43","SWH","UP",20,2,220,19,41,12800,83836,39823,17277
"44","SWH","UP",45,2,74349,8543,16936,13855,118006,78041,26210
"45","SWH","WC",0,3,89152,6388,23821,352,115848,8879,30790
"46","SWH","WC",10,32,94040,38781,28274,16221,119394,74254,23762
"47","SWH","WC",20,12,188373,24739,37849,596,119116,83130,26841
"48","SWH","WC",45,13,101058,15416,24752,53041,126383,89407,16935
