"","Site","Zone","min_CH4_ppm","max_CH4_ppm","mean_CH4_ppm","sd_CH4_ppm","min_CO2_ppm","max_CO2_ppm","mean_CO2_ppm","sd_CO2_ppm"
"1","SWH","UP",2,74349,2400,9666,357,118006,41692,31535
"2","SWH","SWAMP",2,168002,30896,48397,244,80848,40031,22178
"3","SWH","TR",12,190172,72325,61195,447,133945,56046,37940
"4","SWH","WC",3,188373,24039,31962,352,126383,74509,33358
"5","GCW","UP",0,3,1,1,204,53218,11099,7097
"6","GCW","TR",1,5444,212,789,340,83516,29402,20269
"7","GCW","WC",4,28594,9010,7910,445,109766,55884,28514
"8","MSM","UP",1,429,13,42,130,81971,17151,16451
"9","MSM","TR",2,8643,186,802,381,115625,42893,24539
"10","MSM","WC",2,3495,458,629,430,115257,54202,25949
"11","GWI","UP",0,13,3,2,297,72019,13224,17378
"12","GWI","TR",1,1486,76,207,299,118215,43643,30632
"13","GWI","WC",1,1368,54,180,359,153585,66728,42216
