"","Year","Site","Zone","Depth_cm","min_CH4_ppm","max_CH4_ppm","mean_CH4_ppm","sd_CH4_ppm","min_CO2_ppm","max_CO2_ppm","mean_CO2_ppm","sd_CO2_ppm"
"1",2023,"GCW","TR","0",3,4,4,1,648,672,660,17
"2",2023,"GCW","TR","10",3,72,32,28,5205,47513,19396,16591
"3",2023,"GCW","TR","20",2,613,130,239,13716,57817,37038,16204
"4",2023,"GCW","TR","45",3,274,55,108,528,67149,37895,28477
"5",2023,"GCW","UP","0",2,3,2,0,409,986,646,176
"6",2023,"GCW","UP","10",1,3,2,1,1379,9538,4453,1775
"7",2023,"GCW","UP","20",0,2,1,0,3106,53218,11618,6825
"8",2023,"GCW","UP","35",0,2,1,0,3544,25741,13266,4926
"9",2023,"GCW","UP","50",0,3,1,1,873,29857,15676,4886
"10",2023,"GCW","WC","0",7,8,8,1,656,673,664,12
"11",2023,"GCW","WC","10",2670,3088,2863,211,34137,72273,49362,20196
"12",2023,"GCW","WC","20",5864,6060,5962,139,60215,72598,66406,8756
"13",2023,"GCW","WC","45",1867,3657,2762,1266,40329,75193,57761,24653
"14",2023,"GWI","TR","0",2,3,3,0,489,1273,674,265
"15",2023,"GWI","TR","10",2,891,111,225,5929,102740,38517,30698
"16",2023,"GWI","TR","20",5,1486,214,440,11413,112334,67786,27636
"17",2023,"GWI","TR","45",10,318,110,112,2255,87327,50912,26652
"18",2023,"GWI","UP","0",2,3,3,0,503,946,586,149
"19",2023,"GWI","UP","10",2,3,3,0,1464,6277,3419,1349
"20",2023,"GWI","UP","20",2,4,3,1,1267,15524,6733,3424
"21",2023,"GWI","UP","45",1,10,4,2,1477,72019,33258,23656
"22",2023,"GWI","WC","0",2,14,7,5,440,8141,1874,2573
"23",2023,"GWI","WC","10",4,1368,125,311,11374,139775,83364,44677
"24",2023,"GWI","WC","20",4,127,32,31,9879,126230,77361,33544
"25",2023,"GWI","WC","45",3,1062,189,329,46203,129422,79798,21653
"26",2023,"MSM","TR","0",2,4,3,1,455,710,575,97
"27",2023,"MSM","TR","10",4,408,80,122,11436,92039,45723,23658
"28",2023,"MSM","TR","20",8,8643,616,1921,32079,72431,46562,12985
"29",2023,"MSM","TR","45",10,1030,220,294,6247,115625,53278,26969
"30",2023,"MSM","UP","0",2,3,3,0,492,640,548,55
"31",2023,"MSM","UP","10",2,27,5,5,2628,28429,8838,5338
"32",2023,"MSM","UP","20",2,187,15,39,6246,81971,19399,17899
"33",2023,"MSM","UP","45",2,144,20,38,18396,72123,37996,15736
"34",2023,"MSM","WC","0",2,14,6,5,532,947,741,147
"35",2023,"MSM","WC","10",98,2371,966,684,23433,86308,53036,20906
"36",2023,"MSM","WC","20",46,1096,298,312,23424,77112,54595,13509
"37",2023,"MSM","WC","45",11,1250,292,460,36153,97991,62604,16281
"38",2023,"SWH","SWAMP","0",5,5,5,0,682,768,725,61
"39",2023,"SWH","SWAMP","10",53,36455,9040,13916,5270,74081,48949,26061
"40",2023,"SWH","SWAMP","20",77,759,270,253,47760,63097,55559,5454
"41",2023,"SWH","SWAMP","45",62,479,187,166,47584,61307,56210,4617
"42",2023,"SWH","TR","0",12,1666,291,607,469,995,699,177
"43",2023,"SWH","TR","10",28,142848,43688,51252,19043,119182,57733,34024
"44",2023,"SWH","TR","20",64,144071,92480,39159,25110,112669,65622,28927
"45",2023,"SWH","TR","45",1125,122019,42132,47130,5258,123948,38177,33935
"46",2023,"SWH","UP","0",6,62,20,24,544,729,610,70
"47",2023,"SWH","UP","10",2,15,4,4,6769,46638,20428,11843
"48",2023,"SWH","UP","20",2,105,15,29,12800,60717,31508,15761
