HydraGO Serial,HydraProbe Serial,Timestamp,Location,Latitude,Longitude,Soil Moisture (wfv),Soil Moisture (%),Soil Temperature (C),Soil Temperature (F),Bulk EC(Raw) (dS/m),Bulk EC(TC) (dS/m),Pore Water EC (dS/m),Pore Water EC Offset,Raw Real Dielectric,Raw Imaginary Dielectric,Loss Tangent,Memo,Soil Moisture Calibration,A,B,C,D,E,F
HG279332,278928,6/22/2023 13:27,Default,37.219289,-76.409411,0.95,95,23.7,74.7,4.31,4.39,2.44,3.4,145.3,155.1,1.07,GWI-TR-SF-6A,Default,0,0,0,0,0,0
HG279332,278928,6/22/2023 13:28,Default,37.219283,-76.409423,0.946,94.6,23.7,74.7,3.32,3.38,2.58,3.4,106.5,119.3,1.12,GWI-TR-SF-6B,Default,0,0,0,0,0,0
HG279332,278928,6/22/2023 13:28,Default,37.219273,-76.409421,0.95,95,23.7,74.7,3.43,3.49,1.74,3.4,161.8,123.2,0.76,GWI-TR-SF-6C,Default,0,0,0,0,0,0
HG279332,278928,6/22/2023 13:31,Default,37.219246,-76.409417,0.95,95,23.5,74.3,3.83,3.91,2.54,3.4,124.8,137.8,1.1,GWI-TR-SF-5A,Default,0,0,0,0,0,0
HG279332,278928,6/22/2023 13:32,Default,37.268987,-76.457212,0.95,95,23.5,74.3,3.21,3.28,2.06,3.4,129.1,115.3,0.89,GWI-TR-SF-5B,Default,0,0,0,0,0,0
HG279332,278928,6/22/2023 13:33,Default,37.219254,-76.409431,0.824,82.4,23.5,74.3,3.62,3.7,3.59,3.4,84.7,130.4,1.54,GWI-TR-SF-5C,Default,0,0,0,0,0,0
HG279332,278928,6/22/2023 13:41,Default,37.219264,-76.409269,0.825,82.5,23.9,75.1,3.64,3.7,3.58,3.4,84.9,131,1.54,GWI-TR-SF-4A,Default,0,0,0,0,0,0
HG279332,278928,6/22/2023 13:41,Default,37.219283,-76.409303,0.95,95,23.7,74.7,3.15,3.2,1.55,3.4,166.4,113.3,0.68,GWI-TR-SF-4B,Default,0,0,0,0,0,0
HG279332,278928,6/22/2023 13:42,Default,37.21927,-76.409325,0.95,95,23.5,74.3,3.55,3.61,2.57,3.4,114.1,127.7,1.12,GWI-TR-SF-4C,Default,0,0,0,0,0,0
HG279332,278928,6/22/2023 13:46,Default,37.219247,-76.409279,0.95,95,23.7,74.7,3.14,3.2,1.55,3.4,165.9,113,0.68,GWI-TR-SF-1A,Default,0,0,0,0,0,0
HG279332,278928,6/22/2023 13:47,Default,37.219235,-76.409279,0.95,95,23.5,74.3,3.27,3.34,1.64,3.4,163.5,117.6,0.72,GWI-TR-SF-1B,Default,0,0,0,0,0,0
HG279332,278928,6/22/2023 13:48,Default,37.219242,-76.409271,0.95,95,23.5,74.3,3.58,3.65,2.06,3.4,143.2,128.6,0.9,GWI-TR-SF-1C,Default,0,0,0,0,0,0
HG279332,278928,6/22/2023 13:49,Default,37.219191,-76.409244,0.95,95,23.3,73.9,3.26,3.34,1.65,3.4,163.1,117.4,0.72,GWI-TR-SF-2A,Default,0,0,0,0,0,0
