HydraGO Serial    ,HydraProbe Serial    ,Timestamp    ,Location    ,Latitude    ,Longitude    ,Soil Moisture (wfv)    ,Soil Moisture (%)    ,Soil Temperature (C)    ,Soil Temperature (F)    ,Bulk EC(Raw) (dS/m)    ,Bulk EC(TC) (dS/m)    ,Pore Water EC (dS/m)    ,Pore Water EC Offset    ,Raw Real Dielectric    ,Raw Imaginary Dielectric    ,Loss Tangent    ,Memo    ,Calibration    ,A    ,B    ,C    ,D    ,E    ,F
HG279332,00000278928,07/20/23 13:00,Default,37.217178,-76.421196,0.950,95.00,+31.4,+88.5,3.49,3.20,1.65,3.4,+155.917,+125.584,0.81,GWI-WC-1,Default,,,,,,
HG279332,00000278928,07/20/23 13:01,Default,37.218916,-76.410091,0.950,95.00,+31.7,+89.1,3.22,2.94,1.46,3.4,+161.156,+115.756,0.72,GWI-WC-A,Default,,,,,,
HG279332,00000278928,07/20/23 13:01,Default,37.218819,-76.410072,0.950,95.00,+32.1,+89.7,3.51,3.20,1.64,3.4,+156.722,+126.170,0.81,GWI-WC-2,Default,,,,,,
HG279332,00000278928,07/20/23 13:02,Default,37.218878,-76.410098,0.950,95.00,+31.7,+89.1,3.08,2.81,1.27,3.4,+177.435,+110.821,0.62,GWI-WC-B,Default,,,,,,
HG279332,00000278928,07/20/23 13:03,Default,37.218956,-76.410247,0.950,95.00,+31.7,+89.1,3.54,3.23,1.51,3.4,+171.153,+127.295,0.74,GWI-WC-3,Default,,,,,,
HG279332,00000278928,07/20/23 13:04,Default,37.218839,-76.410102,0.950,95.00,+31.4,+88.5,4.08,3.72,1.84,3.4,+162.121,+146.643,0.90,GWI-WC-4,Default,,,,,,
HG279332,00000278928,07/20/23 13:04,Default,37.218829,-76.410154,0.950,95.00,+31.7,+89.1,3.70,3.37,1.60,3.4,+168.402,+133.131,0.79,GWI-WC-C,Default,,,,,,
HG279332,00000278928,07/20/23 13:05,Default,37.218828,-76.410150,0.950,95.00,+32.1,+89.7,3.70,3.37,1.60,3.4,+168.402,+133.131,0.79,GWI-WC-5,Default,,,,,,
HG279332,00000278928,07/24/23 12:19,Default,38.874381,-76.550332,0.609,60.90,+26.2,+79.1,0.60,0.59,0.95,3.4,+52.280,+21.571,0.41,GCW-TR-SF-4a,Default,,,,,,
HG279332,00000278928,07/24/23 12:21,Default,38.874426,-76.551281,0.625,62.50,+25.9,+78.6,0.60,0.59,0.91,3.4,+54.442,+21.651,0.40,GCW-TR-SF-4b,Default,,,,,,
HG279332,00000278928,07/24/23 12:23,Default,38.874517,-76.551239,0.551,55.10,+25.6,+78.2,0.46,0.46,0.87,3.4,+44.903,+16.639,0.37,GCW-TR-SF-4c,Default,,,,,,
HG279332,00000278928,07/24/23 14:57,Default,38.874451,-76.550102,0.573,57.30,+25.4,+77.7,0.58,0.57,1.01,3.4,+47.627,+20.748,0.44,GCW-TR-SF-3a,Default,,,,,,
HG279332,00000278928,07/24/23 15:02,Default,38.874449,-76.550109,0.532,53.20,+25.4,+77.7,0.56,0.56,1.12,3.4,+42.496,+20.320,0.48,GCW-TR-SF-3b,Default,,,,,,
HG279332,00000278928,07/24/23 15:03,Default,38.874356,-76.551095,0.525,52.50,+25.1,+77.3,0.35,0.35,0.72,3.4,+41.665,+12.466,0.30,GCW-TR-SF-3c,Default,,,,,,
HG279332,00000278928,07/24/23 15:05,Default,38.874527,-76.551392,0.577,57.70,+25.1,+77.3,0.32,0.32,0.56,3.4,+48.067,+11.559,0.24,GCW-TR-SF-5a,Default,,,,,,
HG279332,00000278928,07/24/23 15:05,Default,38.874172,-76.551021,0.643,64.30,+25.1,+77.3,0.34,0.34,0.50,3.4,+56.909,+12.110,0.21,GCW-TR-SF-5b,Default,,,,,,
