HydraGO Serial    ,HydraProbe Serial    ,Timestamp    ,Location    ,Latitude    ,Longitude    ,Soil Moisture (wfv)    ,Soil Moisture (%)    ,Soil Temperature (C)    ,Soil Temperature (F)    ,Bulk EC(Raw) (dS/m),Bulk EC(TC) (dS/m),Pore Water EC (dS/m)    ,Pore Water EC Offset    ,Raw Real Dielectric    ,Raw Imaginary Dielectric    ,Loss Tangent    ,Memo    ,Calibration    ,A    ,B    ,C    ,D    ,E    ,F
HG279332,278928,7/6/2023 13:43,Default,38.874497,-76.55007,0.603,60.3,29.5,85.1,0.33,0.31,0.51,3.4,51.493,11.739,0.23,GCW-TR-SF-5a,Default,,,,,,
HG279332,278928,7/6/2023 13:46,Default,38.874494,-76.550065,0.578,57.8,28.9,84,0.38,0.36,0.63,3.4,48.176,13.574,0.28,GCW-TR-SF-5b,Default,,,,,,
HG279332,278928,7/6/2023 13:46,Default,38.874304,-76.551203,0.576,57.6,28.6,83.5,0.41,0.38,0.67,3.4,47.93,14.583,0.3,GCW-TR-SF-5c,Default,,,,,,
HG279332,278928,7/6/2023 13:51,Default,38.874521,-76.550056,0.497,49.7,27.8,82,0.38,0.37,0.83,3.4,38.474,13.811,0.36,GCW-TR-SF-3a,Default,,,,,,
HG279332,278928,7/6/2023 13:51,Default,38.874725,-76.551204,0.477,47.7,27.8,82,0.55,0.52,1.25,3.4,36.174,19.669,0.54,GCW-TR-SF-3b,Default,,,,,,
HG279332,278928,7/6/2023 13:52,Default,38.874365,-76.551278,0.471,47.1,27.8,82,0.69,0.66,1.61,3.4,35.531,24.755,0.7,GCW-TR-SF-3c,Default,,,,,,
HG279332,278928,7/6/2023 13:54,Default,38.874454,-76.551311,0.527,52.7,27.5,81.5,0.59,0.57,1.16,3.4,41.987,21.382,0.51,GCW-TR-SF-4a,Default,,,,,,
HG279332,278928,7/6/2023 13:55,Default,38.874597,-76.551464,0.506,50.6,27.5,81.5,0.49,0.47,1.02,3.4,39.518,17.557,0.44,GCW-TR-SF-4b,Default,,,,,,
HG279332,278928,7/6/2023 13:55,Default,38.874387,-76.551335,0.685,68.5,27.2,81,0.47,0.45,0.59,3.4,62.816,16.853,0.27,GCW-TR-SF-4c,Default,,,,,,
HG279332,278928,7/6/2023 13:57,Default,38.874642,-76.5511,0.503,50.3,26.9,80.5,0.33,0.32,0.7,3.4,39.119,11.849,0.3,GCW-TR-SF-2a,Default,,,,,,
HG279332,278928,7/6/2023 13:58,Default,38.8745,-76.550079,0.562,56.2,26.9,80.5,0.46,0.45,0.83,3.4,46.166,16.561,0.36,GCW-TR-SF-2b,Default,,,,,,
HG279332,278928,7/6/2023 13:59,Default,38.87451,-76.550069,0.526,52.6,26.9,80.5,0.52,0.51,1.04,3.4,41.874,18.811,0.45,GCW-TR-SF-2c,Default,,,,,,
HG279332,278928,7/6/2023 14:01,Default,38.874499,-76.550081,0.182,18.2,26.9,80.5,0.13,0.13,1.35,3.4,10.946,4.676,0.43,GCW-TR-SF-6b,Default,,,,,,
HG279332,278928,7/6/2023 14:02,Default,38.874554,-76.551477,0.19,19,26.9,80.5,0.14,0.13,1.26,3.4,11.469,4.996,0.44,GCW-TR-SF-6c,Default,,,,,,
HG279332,278928,7/6/2023 14:02,Default,38.874554,-76.551477,0.226,22.6,26.9,80.5,0.14,0.14,1.05,3.4,13.821,5.075,0.37,GCW-TR-SF-6a,Default,,,,,,
HG279332,278928,7/6/2023 14:04,Default,38.8745,-76.550079,0.106,10.6,26.9,80.5,0.07,0.07,1.6,3.4,6.836,2.595,0.38,GCW-TR-SF-1a,Default,,,,,,
HG279332,278928,7/6/2023 14:05,Default,38.8745,-76.550079,0.105,10.5,26.9,80.5,0.08,0.08,1.85,3.4,6.794,2.985,0.44,GCW-TR-SF-1b,Default,,,,,,
