HydraGO Serial    ,HydraProbe Serial    ,Timestamp    ,Location    ,Latitude    ,Longitude    ,Soil Moisture (wfv)    ,Soil Moisture (%)    ,Soil Temperature (C)    ,Soil Temperature (F)    ,Bulk EC(Raw) (dS/m)    ,Bulk EC(TC) (dS/m)    ,Pore Water EC (dS/m)    ,Pore Water EC Offset    ,Raw Real Dielectric    ,Raw Imaginary Dielectric    ,Loss Tangent    ,Memo    ,Calibration    ,A    ,B    ,C    ,D    ,E    ,F
HG279332,278928,7/11/2023 13:18,Default,38.874476,-76.550109,0.651,65.1,26.7,80,0.34,0.33,0.47,3.4,57.998,12.099,0.21,GCW-TR-SF-5a,Default,,,,,,
HG279332,278928,7/11/2023 13:20,Default,38.874532,-76.55126,0.451,45.1,26.2,79.1,0.3,0.3,0.79,3.4,33.381,10.86,0.33,GCW-TR-SF-5b,Default,,,,,,
HG279332,278928,7/11/2023 13:21,Default,38.87429,-76.550351,0.712,71.2,26.2,79.1,0.6,0.59,0.73,3.4,66.871,21.66,0.32,GCW-TR-SF-5c,Default,,,,,,
HG279332,278928,7/11/2023 13:24,Default,38.87457,-76.551396,0.547,54.7,25.4,77.7,0.56,0.55,1.06,3.4,44.313,20.124,0.45,GCW-TR-SF-4a,Default,,,,,,
HG279332,278928,7/11/2023 13:26,Default,38.874453,-76.551289,0.633,63.3,25.4,77.7,0.53,0.52,0.78,3.4,55.515,18.916,0.34,GCW-TR-SF-4b,Default,,,,,,
HG279332,278928,7/11/2023 13:42,Default,38.874527,-76.551335,0.626,62.6,24.7,76.4,0.57,0.58,0.89,3.4,54.533,20.674,0.38,GCW-TR-SF-4c,Default,,,,,,
HG279332,278928,7/11/2023 13:43,Default,38.874497,-76.551218,0.536,53.6,24.7,76.4,0.59,0.6,1.19,3.4,43,21.375,0.5,GCW-TR-SF-3a,Default,,,,,,
HG279332,278928,7/11/2023 13:44,Default,38.8745,-76.550079,0.555,55.5,24.9,76.8,0.51,0.51,0.95,3.4,45.376,18.342,0.4,GCW-TR-SF-3b,Default,,,,,,
HG279332,278928,7/11/2023 13:45,Default,38.87472,-76.551287,0.508,50.8,24.9,76.8,0.37,0.37,0.8,3.4,39.731,13.252,0.33,GCW-TR-SF-3c,Default,,,,,,
HG279332,278928,7/11/2023 13:46,Default,38.874385,-76.551176,0.508,50.8,24.9,76.8,0.33,0.34,0.74,3.4,39.675,12.041,0.3,GCW-TR-SF-2a,Default,,,,,,
