HydraGO Serial    ,HydraProbe Serial    ,Timestamp    ,Location    ,Latitude    ,Longitude    ,Soil Moisture (wfv)    ,Soil Moisture (%)    ,Soil Temperature (C)    ,Soil Temperature (F)    ,Bulk EC(Raw) (dS/m)    ,Bulk EC(TC) (dS/m)    ,Pore Water EC (dS/m)    ,Pore Water EC Offset    ,Raw Real Dielectric    ,Raw Imaginary Dielectric    ,Loss Tangent    ,Memo    ,Calibration    ,A    ,B    ,C    ,D    ,E    ,F
HG279332,00000278928,06/29/23 10:58,Default,38.429137,-76.227447,0.056,5.60,+26.2,+79.1,0.13,0.13,8.31,3.4,+4.628,+4.590,0.99,MSM-UP-SF-8a,Default,,,,,,
HG279332,00000278928,06/29/23 10:58,Default,38.430733,-76.226141,0.113,11.30,+26.2,+79.1,0.27,0.27,5.60,3.4,+7.184,+9.882,1.38,MSM-UP-SF-8b,Default,,,,,,
HG279332,00000278928,06/29/23 10:59,Default,38.431080,-76.226083,0.053,5.30,+26.2,+79.1,0.14,0.14,9.84,3.4,+4.517,+5.113,1.13,MSM-UP-SF-8c,Default,,,,,,
HG279332,00000278928,06/29/23 11:01,Default,38.430703,-76.225996,0.100,10.00,+26.2,+79.1,0.26,0.25,6.21,3.4,+6.558,+9.223,1.41,MSM-UP-SF-7a,Default,,,,,,
HG279332,00000278928,06/29/23 11:01,Default,38.431016,-76.226575,0.064,6.40,+26.2,+79.1,0.15,0.14,6.91,3.4,+4.990,+5.258,1.05,MSM-UP-SF-7b,Default,,,,,,
HG279332,00000278928,06/29/23 11:01,Default,38.430972,-76.226358,0.052,5.20,+26.2,+79.1,0.10,0.10,7.13,3.4,+4.501,+3.714,0.83,MSM-UP-SF-7c,Default,,,,,,
HG279332,00000278928,06/29/23 11:02,Default,38.430815,-76.226243,0.099,9.90,+26.4,+79.5,0.11,0.10,2.51,3.4,+6.528,+3.781,0.58,MSM-UP-SF-6a,Default,,,,,,
HG279332,00000278928,06/29/23 11:03,Default,38.430815,-76.226123,0.127,12.70,+26.4,+79.5,0.11,0.11,1.92,3.4,+7.900,+3.879,0.49,MSM-UP-SF-6b,Default,,,,,,
HG279332,00000278928,06/29/23 11:03,Default,38.430786,-76.226187,0.084,8.40,+26.4,+79.5,0.21,0.20,6.51,3.4,+5.813,+7.466,1.28,MSM-UP-SF-6c,Default,,,,,,
HG279332,00000278928,06/29/23 11:05,Default,38.430973,-76.226009,0.148,14.80,+26.7,+80.0,0.22,0.22,3.10,3.4,+8.976,+7.890,0.88,MSM-UP-SF-5a,Default,,,,,,
HG279332,00000278928,06/29/23 11:05,Default,38.431038,-76.226097,0.110,11.00,+26.7,+80.0,0.27,0.26,5.63,3.4,+7.023,+9.544,1.36,MSM-UP-SF-5b,Default,,,,,,
HG279332,00000278928,06/29/23 11:05,Default,38.431005,-76.226015,0.065,6.50,+26.7,+80.0,0.08,0.08,3.90,3.4,+5.011,+2.826,0.56,MSM-UP-SF-5c,Default,,,,,,
HG279332,00000278928,06/29/23 11:06,Default,38.430974,-76.226016,0.136,13.60,+26.7,+80.0,0.31,0.31,4.90,3.4,+8.366,+11.330,1.35,MSM-UP-SF-4a,Default,,,,,,
HG279332,00000278928,06/29/23 11:06,Default,38.430962,-76.226021,0.164,16.40,+26.9,+80.5,0.37,0.36,4.36,3.4,+9.875,+13.206,1.34,MSM-UP-SF-4b,Default,,,,,,
HG279332,00000278928,06/29/23 11:07,Default,38.430980,-76.226005,0.108,10.80,+26.9,+80.5,0.17,0.16,3.54,3.4,+6.951,+6.037,0.87,MSM-UP-SF-4c,Default,,,,,,
HG279332,00000278928,06/29/23 11:09,Default,38.430983,-76.226020,0.263,26.30,+26.9,+80.5,0.46,0.45,2.71,3.4,+16.416,+16.507,1.01,MSM-UP-SF-3a,Default,,,,,,
HG279332,00000278928,06/29/23 11:10,Default,38.430968,-76.226071,0.097,9.70,+26.9,+80.5,0.22,0.22,5.78,3.4,+6.389,+8.019,1.26,MSM-UP-SF-3b,Default,,,,,,
HG279332,00000278928,06/29/23 11:10,Default,38.430814,-76.226051,0.055,5.50,+26.9,+80.5,0.10,0.10,6.48,3.4,+4.611,+3.579,0.78,MSM-UP-SF-3c,Default,,,,,,
HG279332,00000278928,06/29/23 11:10,Default,38.430840,-76.225834,0.181,18.10,+26.9,+80.5,0.12,0.12,1.26,3.4,+10.899,+4.430,0.41,MSM-UP-SF-2a,Default,,,,,,
HG279332,00000278928,06/29/23 11:11,Default,38.430849,-76.225929,0.168,16.80,+26.9,+80.5,0.15,0.14,1.64,3.4,+10.113,+5.283,0.52,MSM-UP-SF-2b,Default,,,,,,
HG279332,00000278928,06/29/23 11:11,Default,38.430795,-76.225976,0.197,19.70,+26.9,+80.5,0.37,0.36,3.32,3.4,+11.905,+13.249,1.11,MSM-UP-SF-2c,Default,,,,,,
HG279332,00000278928,06/29/23 11:13,Default,38.430645,-76.226199,0.059,5.90,+26.9,+80.5,0.07,0.07,4.04,3.4,+4.761,+2.686,0.56,MSM-UP-SF-1a,Default,,,,,,
HG279332,00000278928,06/29/23 11:13,Default,38.430666,-76.226390,0.095,9.50,+26.9,+80.5,0.21,0.20,5.37,3.4,+6.321,+7.516,1.19,MSM-UP-SF-1b,Default,,,,,,
HG279332,00000278928,06/29/23 11:14,Default,38.430789,-76.226192,0.083,8.30,+27.2,+81.0,0.14,0.14,4.61,3.4,+5.785,+5.200,0.90,MSM-UP-SF-1c,Default,,,,,,
HG279332,00000278928,06/29/23 11:50,Default,38.430542,-76.226922,0.877,87.70,+29.8,+85.6,3.81,3.56,3.09,3.4,+93.904,+137.121,1.46,MSM-TR-SF-4a,Default,,,,,,
