HydraGO Serial    ,HydraProbe Serial    ,Timestamp    ,Location    ,Latitude    ,Longitude    ,Soil Moisture (wfv)    ,Soil Moisture (%)    ,Soil Temperature (C)    ,Soil Temperature (F)    ,Bulk EC(Raw) (dS/m)    ,Bulk EC(TC) (dS/m)    ,Pore Water EC (dS/m)    ,Pore Water EC Offset    ,Raw Real Dielectric    ,Raw Imaginary Dielectric    ,Loss Tangent    ,Memo    ,Calibration    ,A    ,B    ,C    ,D    ,E    ,F
HG279332,278928,7/17/2023 17:03,Default,38.874381,-76.550332,0.627,62.7,28.9,84,0.38,0.35,0.54,3.4,54.624,13.509,0.25,GCW-TR-SF-5a,Default,,,,,,
HG279332,278928,7/17/2023 17:04,Default,38.8745,-76.551237,0.651,65.1,28.6,83.5,0.56,0.53,0.76,3.4,57.983,20.239,0.35,GCW-TR-SF-5b,Default,,,,,,
HG279332,278928,7/17/2023 17:04,Default,38.874422,-76.551206,0.638,63.8,28.3,83,0.4,0.38,0.57,3.4,56.144,14.484,0.26,GCW-TR-SF-5c,Default,,,,,,
HG279332,278928,7/17/2023 17:06,Default,38.874468,-76.550104,0.547,54.7,27.8,82,0.55,0.52,1,3.4,44.358,19.628,0.44,GCW-TR-SF-4a,Default,,,,,,
HG279332,278928,7/17/2023 17:06,Default,38.875058,-76.551029,0.539,53.9,27.8,82,0.51,0.49,0.96,3.4,43.379,18.474,0.43,GCW-TR-SF-4b,Default,,,,,,
HG279332,278928,7/17/2023 17:07,Default,38.874431,-76.551131,0.651,65.1,27.8,82,0.55,0.53,0.76,3.4,57.934,19.733,0.34,GCW-TR-SF-4c,Default,,,,,,
HG279332,278928,7/17/2023 17:08,Default,38.874551,-76.551252,0.524,52.4,27.5,81.5,0.55,0.53,1.09,3.4,41.629,19.954,0.48,GCW-TR-SF-3a,Default,,,,,,
HG279332,278928,7/17/2023 17:08,Default,38.874597,-76.55126,0.53,53,27.5,81.5,0.72,0.69,1.39,3.4,42.355,25.927,0.61,GCW-TR-SF-3b,Default,,,,,,
HG279332,278928,7/17/2023 17:09,Default,38.874574,-76.551261,0.464,46.4,27.2,81,0.47,0.45,1.12,3.4,34.835,16.842,0.48,GCW-TR-SF-3c,Default,,,,,,
HG279332,278928,7/17/2023 17:09,Default,38.874471,-76.551306,0.437,43.7,27.2,81,0.27,0.26,0.72,3.4,31.889,9.626,0.3,GCW-TR-SF-2a,Default,,,,,,
HG279332,278928,7/17/2023 17:10,Default,38.874472,-76.551326,0.521,52.1,27.2,81,0.44,0.43,0.89,3.4,41.222,15.956,0.39,GCW-TR-SF-2b,Default,,,,,,
HG279332,278928,7/17/2023 17:10,Default,38.874483,-76.551333,0.504,50.4,26.9,80.5,0.5,0.48,1.05,3.4,39.31,17.878,0.45,GCW-TR-SF-2c,Default,,,,,,
HG279332,278928,7/17/2023 17:11,Default,38.874533,-76.551399,0.253,25.3,26.9,80.5,0.19,0.19,1.21,3.4,15.703,6.908,0.44,GCW-TR-SF-6a,Default,,,,,,
HG279332,278928,7/17/2023 17:13,Default,38.874531,-76.551325,0.119,11.9,26.9,80.5,0.07,0.07,1.35,3.4,7.481,2.595,0.35,GCW-TR-SF-6b,Default,,,,,,
HG279332,278928,7/17/2023 17:13,Default,38.874643,-76.551337,0.228,22.8,26.9,80.5,0.18,0.18,1.34,3.4,13.935,6.523,0.47,GCW-TR-SF-6c,Default,,,,,,
HG279332,278928,7/17/2023 17:15,Default,38.874584,-76.552135,0.149,14.9,26.7,80,0.12,0.12,1.67,3.4,9.055,4.363,0.48,GCW-TR-SF-1b,Default,,,,,,
HG279332,278928,7/17/2023 17:15,Default,38.874733,-76.551693,0.102,10.2,26.7,80,0.08,0.08,1.93,3.4,6.662,3.017,0.45,GCW-TR-SF-1a,Default,,,,,,
HG279332,278928,7/17/2023 17:16,Default,38.874581,-76.552557,0.184,18.4,26.7,80,0.13,0.13,1.32,3.4,11.103,4.823,0.43,GCW-TR-SF-1c,Default,,,,,,
HG279332,278928,7/17/2023 17:17,Default,38.874696,-76.551549,0.274,27.4,26.7,80,0.11,0.11,0.62,3.4,17.24,4.132,0.24,GCW-UP-SF-C12a,Default,,,,,,
HG279332,278928,7/17/2023 17:18,Default,38.874232,-76.55189,0.392,39.2,26.7,80,0.3,0.3,0.98,3.4,27.487,10.957,0.4,GCW-UP-SF-C12b,Default,,,,,,
HG279332,278928,7/17/2023 17:19,Default,38.874762,-76.55198,0.198,19.8,26.7,80,0.17,0.17,1.56,3.4,11.951,6.264,0.52,GCW-UP-SF-C12c,Default,,,,,,
HG279332,278928,7/17/2023 17:19,Default,38.874731,-76.551984,0.273,27.3,26.7,80,0.26,0.25,1.42,3.4,17.201,9.397,0.55,GCW-UP-SF-C11a,Default,,,,,,
HG279332,278928,7/17/2023 17:20,Default,38.874704,-76.55185,0.282,28.2,26.7,80,0.14,0.14,0.76,3.4,17.874,5.168,0.29,GCW-UP-SF-C11b,Default,,,,,,
HG279332,278928,7/17/2023 17:20,Default,38.874695,-76.551842,0.181,18.1,26.7,80,0.11,0.11,1.15,3.4,10.928,4.081,0.37,GCW-UP-SF-C11c,Default,,,,,,
HG279332,278928,7/17/2023 17:21,Default,38.87439,-76.552145,0.395,39.5,26.4,79.5,0.39,0.38,1.23,3.4,27.748,14.072,0.51,GCW-UP-SF-C10a,Default,,,,,,
HG279332,278928,7/17/2023 17:22,Default,38.874404,-76.552118,0.245,24.5,26.4,79.5,0.3,0.29,1.94,3.4,15.133,10.842,0.72,GCW-UP-SF-C10b,Default,,,,,,
HG279332,278928,7/17/2023 17:23,Default,38.874469,-76.552084,0.242,24.2,26.4,79.5,0.24,0.23,1.57,3.4,14.904,8.5,0.57,GCW-UP-SF-C10c,Default,,,,,,
HG279332,278928,7/17/2023 17:24,Default,38.874545,-76.552241,0.273,27.3,26.4,79.5,0.2,0.19,1.08,3.4,17.2,7.165,0.42,GCW-UP-SF-C7a,Default,,,,,,
HG279332,278928,7/17/2023 17:24,Default,38.874807,-76.552094,0.306,30.6,26.4,79.5,0.19,0.19,0.91,3.4,19.789,7.004,0.35,GCW-UP-SF-C7c,Default,,,,,,
HG279332,278928,7/17/2023 17:25,Default,38.874671,-76.55207,0.338,33.8,26.4,79.5,0.26,0.25,1.03,3.4,22.523,9.176,0.41,GCW-UP-SF-C7b,Default,,,,,,
HG279332,278928,7/17/2023 17:26,Default,38.874665,-76.552068,0.328,32.8,26.4,79.5,0.33,0.32,1.38,3.4,21.594,11.84,0.55,GCW-UP-SF-C19a,Default,,,,,,
HG279332,278928,7/17/2023 17:27,Default,38.87469,-76.552074,0.232,23.2,26.4,79.5,0.22,0.22,1.6,3.4,14.211,7.898,0.56,GCW-UP-SF-C19b,Default,,,,,,
HG279332,278928,7/17/2023 17:27,Default,38.874619,-76.55215,0.186,18.6,26.4,79.5,0.18,0.18,1.8,3.4,11.242,6.477,0.58,GCW-UP-SF-C19c,Default,,,,,,
HG279332,278928,7/17/2023 17:28,Default,38.874618,-76.552119,0.348,34.8,26.4,79.5,0.43,0.42,1.65,3.4,23.374,15.447,0.66,GCW-UP-SF-C9a,Default,,,,,,
