HydraGO Serial    ,HydraProbe Serial    ,Timestamp    ,Location    ,Latitude    ,Longitude    ,Soil Moisture (wfv)    ,Soil Moisture (%)    ,Soil Temperature (C)    ,Soil Temperature (F)    ,Bulk EC(Raw) (dS/m)    ,Bulk EC(TC) (dS/m)    ,Pore Water EC (dS/m)    ,Pore Water EC Offset    ,Raw Real Dielectric    ,Raw Imaginary Dielectric    ,Loss Tangent    ,Memo    ,Calibration    ,A    ,B    ,C    ,D    ,E    ,F
HG279332,278928,7/13/2023 11:44,Default,38.430794,-76.22665,0.064,6.4,32.7,90.9,0.12,0.11,5.5,3.4,4.97,4.493,0.9,MSM-UP-SF-1a,Default,,,,,,
HG279332,278928,7/13/2023 11:45,Default,38.430951,-76.226169,0.186,18.6,33.1,91.6,0.39,0.35,3.52,3.4,11.208,14.148,1.26,MSM-UP-SF-1b,Default,,,,,,
HG279332,278928,7/13/2023 11:46,Default,38.430867,-76.226236,0.062,6.2,33.1,91.6,0.12,0.11,5.75,3.4,4.901,4.367,0.89,MSM-UP-SF-1c,Default,,,,,,
HG279332,278928,7/13/2023 11:50,Default,38.430753,-76.226138,0.275,27.5,32.1,89.7,0.69,0.63,3.56,3.4,17.311,24.99,1.44,MSM-UP-SF-2a,Default,,,,,,
HG279332,278928,7/13/2023 11:51,Default,38.430983,-76.22615,0.208,20.8,31.7,89.1,0.35,0.32,2.72,3.4,12.62,12.487,0.99,MSM-UP-SF-2b,Default,,,,,,
HG279332,278928,7/13/2023 11:52,Default,38.430796,-76.226155,0.167,16.7,31.7,89.1,0.46,0.42,4.92,3.4,10.095,16.584,1.64,MSM-UP-SF-2c,Default,,,,,,
HG279332,278928,7/13/2023 11:56,Default,38.430973,-76.226213,0.224,22.4,31.7,89.1,0.76,0.69,5.29,3.4,13.646,27.375,2.01,MSM-UP-SF-3a,Default,,,,,,
HG279332,278928,7/13/2023 12:01,Default,38.430978,-76.226211,0.123,12.3,32.1,89.7,0.26,0.23,4.21,3.4,7.69,9.299,1.21,MSM-UP-SF-3b,Default,,,,,,
HG279332,278928,7/13/2023 12:02,Default,38.430947,-76.226164,0.132,13.2,32.1,89.7,0.35,0.32,5.28,3.4,8.155,12.569,1.54,MSM-UP-SF-3c,Default,,,,,,
HG279332,278928,7/13/2023 12:07,Default,38.430831,-76.226227,0.23,23,32.1,89.7,0.88,0.8,5.88,3.4,14.075,31.758,2.26,MSM-UP-SF-4a,Default,,,,,,
HG279332,278928,7/13/2023 12:08,Default,38.430728,-76.226146,0.183,18.3,32.1,89.7,0.51,0.46,4.72,3.4,11.046,18.261,1.65,MSM-UP-SF-4b,Default,,,,,,
HG279332,278928,7/13/2023 12:09,Default,38.430789,-76.226082,0.067,6.7,32.1,89.7,0.1,0.09,4.22,3.4,5.076,3.73,0.73,MSM-UP-SF-4c,Default,,,,,,
