HydraGO Serial    ,HydraProbe Serial    ,Timestamp    ,Location    ,Latitude    ,Longitude    ,Soil Moisture (wfv)    ,Soil Moisture (%)    ,Soil Temperature (C)    ,Soil Temperature (F)    ,Bulk EC(Raw) (dS/m),Bulk EC(TC) (dS/m),Pore Water EC (dS/m),Pore Water EC Offset    ,Raw Real Dielectric    ,Raw Imaginary Dielectric    ,Loss Tangent    ,Memo    ,Calibration    ,A    ,B    ,C    ,D    ,E    ,F
HG279332,278928,5/19/2023 9:33,Default,38.430811,-76.226175,0.289,28.9,17.3,63.2,0.24,0.26,1.36,3.4,18.402,8.479,0.46,MSM-UP-SF-1A,Default,,,,,,
HG279332,278928,5/19/2023 9:36,Default,38.430842,-76.22619,0.372,37.2,17.5,63.5,0.29,0.32,1.13,3.4,25.537,10.374,0.41,MSM-UP-SF-1B,Default,,,,,,
HG279332,278928,5/19/2023 9:36,Default,38.430988,-76.226041,0.231,23.1,17.5,63.5,0.28,0.32,2.33,3.4,14.165,10.226,0.72,MSM-UP-SF-1C,Default,,,,,,
HG279332,278928,5/19/2023 9:39,Default,38.430914,-76.226142,0.266,26.6,17.7,63.8,0.12,0.14,0.83,3.4,16.64,4.476,0.27,MSM-UP-SF-2A,Default,,,,,,
HG279332,278928,5/19/2023 9:40,Default,38.430814,-76.226131,0.368,36.8,17.9,64.1,0.32,0.35,1.26,3.4,25.219,11.427,0.45,MSM-UP-SF-2B,Default,,,,,,
HG279332,278928,5/19/2023 9:40,Default,38.430777,-76.226106,0.348,34.8,17.9,64.1,0.18,0.2,0.79,3.4,23.349,6.369,0.27,MSM-UP-SF-2C,Default,,,,,,
HG279332,278928,5/19/2023 9:42,Default,38.430891,-76.226137,0.426,42.6,18,64.5,0.38,0.42,1.2,3.4,30.856,13.639,0.44,MSM-UP-SF-3A,Default,,,,,,
HG279332,278928,5/19/2023 9:43,Default,38.430899,-76.22613,0.428,42.8,18,64.5,0.35,0.39,1.11,3.4,31.06,12.541,0.4,MSM-UP-SF-3B,Default,,,,,,
HG279332,278928,5/19/2023 9:43,Default,38.430698,-76.226118,0.256,25.6,18.2,64.8,0.15,0.16,1,3.4,15.943,5.217,0.33,MSM-UP-SF-3C,Default,,,,,,
HG279332,278928,5/19/2023 9:46,Default,38.430741,-76.226154,0.325,32.5,18.4,65.1,0.25,0.28,1.23,3.4,21.342,9.032,0.42,MSM-UP-SF-4A,Default,,,,,,
HG279332,278928,5/19/2023 9:47,Default,38.431049,-76.226365,0.45,45,18.6,65.4,1.01,1.12,2.94,3.4,33.293,36.359,1.09,MSM-UP-SF-4B,Default,,,,,,
HG279332,278928,5/19/2023 9:47,Default,38.430496,-76.226008,0.254,25.4,18.6,65.4,0.17,0.18,1.14,3.4,15.794,6.028,0.38,MSM-UP-SF-4C,Default,,,,,,
HG279332,278928,5/19/2023 9:49,Default,38.430845,-76.226134,0.381,38.1,18.8,65.8,0.35,0.38,1.3,3.4,26.405,12.556,0.48,MSM-UP-SF-5A,Default,,,,,,
HG279332,278928,5/19/2023 9:50,Default,38.430866,-76.225971,0.306,30.6,18.8,65.8,0.25,0.27,1.29,3.4,19.816,8.98,0.45,MSM-UP-SF-5B,Default,,,,,,
HG279332,278928,5/19/2023 9:50,Default,38.430876,-76.226098,0.247,24.7,18.9,66.1,0.2,0.22,1.45,3.4,15.294,7.274,0.48,MSM-UP-SF-5C,Default,,,,,,
HG279332,278928,5/19/2023 9:52,Default,38.430835,-76.226143,0.396,39.6,19.1,66.4,0.33,0.36,1.16,3.4,27.837,11.943,0.43,MSM-UP-SF-6A,Default,,,,,,
HG279332,278928,5/19/2023 9:52,Default,38.430804,-76.226217,0.249,24.9,19.1,66.4,0.14,0.15,0.98,3.4,15.399,5.031,0.33,MSM-UP-SF-6B,Default,,,,,,
HG279332,278928,5/19/2023 9:53,Default,38.430941,-76.226142,0.424,42.4,19.3,66.8,0.5,0.55,1.58,3.4,30.644,18.081,0.59,MSM-UP-SF-6C,Default,,,,,,
HG279332,278928,5/19/2023 9:57,Default,38.430923,-76.226128,0.305,30.5,19.3,66.8,0.34,0.37,1.78,3.4,19.688,12.161,0.62,MSM-UP-SF-7A,Default,,,,,,
HG279332,278928,5/19/2023 9:57,Default,38.430874,-76.226352,0.451,45.1,19.5,67.1,0.67,0.73,1.91,3.4,33.416,24.006,0.72,MSM-UP-SF-7B,Default,,,,,,
HG279332,278928,5/19/2023 9:57,Default,38.430916,-76.226267,0.381,38.1,19.5,67.1,0.63,0.69,2.36,3.4,26.358,22.837,0.87,MSM-UP-SF-7C,Default,,,,,,
HG279332,278928,5/19/2023 10:00,Default,38.430921,-76.226298,0.395,39.5,19.5,67.1,0.32,0.35,1.13,3.4,27.737,11.611,0.42,MSM-UP-SF-8A,Default,,,,,,
HG279332,278928,5/19/2023 10:00,Default,38.430823,-76.226299,0.298,29.8,19.5,67.1,0.21,0.23,1.15,3.4,19.135,7.656,0.4,MSM-UP-SF-8B,Default,,,,,,
HG279332,278928,5/19/2023 10:01,Default,38.430831,-76.226333,0.317,31.7,19.5,67.1,0.39,0.43,1.95,3.4,20.678,14.136,0.68,MSM-UP-SF-8C,Default,,,,,,
HG279332,278928,5/19/2023 10:08,Default,38.430041,-76.227161,0.765,76.5,20.1,68.2,3.83,4.12,4.52,3.4,75,137.836,1.84,MSM-TR-SF-1A,Default,,,,,,
HG279332,278928,5/19/2023 10:09,Default,38.430492,-76.227195,0.779,77.9,20.1,68.2,3.24,3.47,3.69,3.4,77.222,116.439,1.51,MSM-TR-SF-1B,Default,,,,,,
HG279332,278928,5/19/2023 10:09,Default,38.430489,-76.227101,0.466,46.6,20.3,68.5,2.81,3.02,7.49,3.4,35.051,101.239,2.89,MSM-TR-SF-1C,Default,,,,,,
HG279332,278928,5/19/2023 10:12,Default,38.430514,-76.227102,0.705,70.5,20.1,68.2,3.7,3.97,5,3.4,65.789,133.174,2.02,MSM-TR-SF-2A,Default,,,,,,
HG279332,278928,5/19/2023 10:12,Default,38.430554,-76.227099,0.611,61.1,20.1,68.2,3.5,3.75,6,3.4,52.499,125.788,2.4,MSM-TR-SF-2B,Default,,,,,,
HG279332,278928,5/19/2023 10:12,Default,38.430041,-76.227161,0.636,63.6,20.1,68.2,3.86,4.14,6.19,3.4,55.876,138.857,2.49,MSM-TR-SF-2C,Default,,,,,,
HG279332,278928,5/19/2023 10:15,Default,38.430484,-76.227055,0.592,59.2,20.3,68.5,3.74,4,6.72,3.4,50.096,134.398,2.68,MSM-TR-SF-3A,Default,,,,,,
HG279332,278928,5/19/2023 10:15,Default,38.430041,-76.227161,0.563,56.3,20.3,68.5,3.31,3.54,6.48,3.4,46.305,118.958,2.57,MSM-TR-SF-3B,Default,,,,,,
HG279332,278928,5/19/2023 10:15,Default,38.430041,-76.227161,0.241,24.1,20.3,68.5,1.97,2.11,14.43,3.4,14.877,70.831,4.76,MSM-TR-SF-3C,Default,,,,,,
HG279332,278928,5/19/2023 10:20,Default,38.430041,-76.227161,0.302,30.2,20.1,68.2,2.4,2.58,12.59,3.4,19.482,86.4,4.43,MSM-TR-SF-4A,Default,,,,,,
HG279332,278928,5/19/2023 10:20,Default,38.430478,-76.226837,0.154,15.4,20.1,68.2,1.3,1.4,18.5,3.4,9.342,46.869,5.02,MSM-TR-SF-4B,Default,,,,,,
HG279332,278928,5/19/2023 10:20,Default,38.430471,-76.226856,0.463,46.3,20.1,68.2,3.18,3.4,8.54,3.4,34.656,114.23,3.3,MSM-TR-SF-4C,Default,,,,,,
HG279332,278928,5/19/2023 10:23,Default,38.430452,-76.226854,0.602,60.2,20.5,68.9,4.21,4.5,7.38,3.4,51.282,151.454,2.95,MSM-TR-SF-5A,Default,,,,,,
HG279332,278928,5/19/2023 10:24,Default,38.430041,-76.227161,0.593,59.3,20.5,68.9,3.56,3.81,6.39,3.4,50.22,128.097,2.55,MSM-TR-SF-5B,Default,,,,,,
HG279332,278928,5/19/2023 10:25,Default,38.430387,-76.226977,0.278,27.8,20.5,68.9,2.85,3.05,16.87,3.4,17.589,102.572,5.83,MSM-TR-SF-5C,Default,,,,,,
HG279332,278928,5/19/2023 10:27,Default,38.430041,-76.227161,0.39,39,20.9,69.6,3.55,3.78,12.43,3.4,27.267,127.577,4.68,MSM-TR-SF-6A,Default,,,,,,
HG279332,278928,5/19/2023 10:28,Default,38.430361,-76.227035,0.411,41.1,20.9,69.6,2.97,3.16,9.58,3.4,29.304,106.804,3.64,MSM-TR-SF-6B,Default,,,,,,
HG279332,278928,5/19/2023 10:28,Default,38.430365,-76.226996,0.243,24.3,20.9,69.6,1.13,1.2,8.11,3.4,15.011,40.592,2.7,MSM-TR-SF-6C,Default,,,,,,
