HydraGO Serial,HydraProbe Serial,Timestamp,Location,Latitude,Longitude,Soil Moisture (wfv),Soil Moisture (%),Soil Temperature (C),Soil Temperature (F),Bulk EC(Raw) (dS/m),Bulk EC(TC) (dS/m),Pore Water EC (dS/m) ,Pore Water EC Offset,Raw Real Dielectric,Raw Imaginary Dielectric,Loss Tangent,Memo,Soil Moisture Calibration,A,B,C,D,E,F
HG279332,278928,6/21/2023 9:36,Default,37.568644,-76.896626,0.586,58.6,19.9,67.8,3.12,3.36,5.78,3.4,49.2,112.3,2.28,SWH-TR-SF-6A,Default,0,0,0,0,0,0
HG279332,278928,6/21/2023 9:38,Default,37.568485,-76.896698,0.571,57.1,20.1,68.2,3.23,3.48,6.23,3.4,47.4,116.4,2.46,SWH-TR-SF-6B,Default,0,0,0,0,0,0
HG279332,278928,6/21/2023 9:38,Default,37.568497,-76.896678,0.598,59.8,20.1,68.2,3.5,3.76,6.25,3.4,50.8,125.7,2.47,SWH-TR-SF-6C,Default,0,0,0,0,0,0
HG279332,278928,6/21/2023 9:40,Default,37.568529,-76.896578,0.513,51.3,20.1,68.2,3.58,3.84,8.2,3.4,40.3,128.6,3.19,SWH-TR-SF-5A,Default,0,0,0,0,0,0
HG279332,278928,6/21/2023 9:41,Default,37.568528,-76.896583,0.139,13.9,20.1,68.2,0.17,0.18,2.78,3.4,8.5,6.1,0.72,SWH-TR-SF-5B,Default,0,0,0,0,0,0
HG279332,278928,6/21/2023 9:42,Default,37.568526,-76.896587,0.391,39.1,20.1,68.2,0.62,0.66,2.17,3.4,27.4,22.1,0.81,SWH-TR-SF-5C,Default,0,0,0,0,0,0
HG279332,278928,6/21/2023 9:44,Default,37.56871,-76.896426,0.535,53.5,19.7,67.5,2.74,2.95,5.87,3.4,43,22.1,0.51,SWH-TR-SF-4A,Default,0,0,0,0,0,0
HG279332,278928,6/21/2023 9:44,Default,37.568643,-76.896557,0.549,54.9,19.7,67.5,2.91,3.14,6,3.4,44.6,104.6,2.35,SWH-TR-SF-4B,Default,0,0,0,0,0,0
HG279332,278928,6/21/2023 9:45,Default,37.568637,-76.89656,0.501,50.1,19.9,67.8,2.23,2.41,5.35,3.4,38.9,80.4,2.07,SWH-TR-SF-4C,Default,0,0,0,0,0,0
HG279332,278928,6/21/2023 9:47,Default,37.568776,-76.896654,0.445,44.5,19.9,67.8,2.37,2.56,6.86,3.4,32.8,85.4,2.6,SWH-TR-SF-8A,Default,0,0,0,0,0,0
HG279332,278928,6/21/2023 9:47,Default,37.568782,-76.896635,0.613,61.3,19.9,67.8,2.68,2.89,4.61,3.4,52.8,85.4,1.62,SWH-TR-SF-8B,Default,0,0,0,0,0,0
HG279332,278928,6/21/2023 9:49,Default,37.568799,-76.896525,0.639,63.9,19.7,67.5,4.14,4.47,6.66,3.4,56.3,148.9,2.64,test,Default,0,0,0,0,0,0
HG279332,278928,6/21/2023 9:51,Default,37.568798,-76.896477,0.572,57.2,19.7,67.5,3.22,3.48,6.23,3.4,47.4,115.9,2.45,SWH-TR-SF-2A,Default,0,0,0,0,0,0
HG279332,278928,6/21/2023 9:52,Default,37.568821,-76.89647,0.5,50,19.9,67.8,2.2,2.38,5.3,3.4,38.8,79.1,2.04,SWH-TR-SF-2B,Default,0,0,0,0,0,0
HG279332,278928,6/21/2023 9:52,Default,37.568802,-76.896444,0.517,51.7,19.9,67.8,2.6,2.81,5.93,3.4,40.7,93.4,2.29,SWH-TR-SF-2C,Default,0,0,0,0,0,0
HG279332,278928,6/21/2023 10:00,Default,37.568593,-76.896623,0.589,58.9,19.7,67.5,3.32,3.6,6.14,3.4,49.6,119.5,2.41,SWH-TR-SF-3A,Default,0,0,0,0,0,0
HG279332,278928,6/21/2023 10:01,Default,37.568697,-76.896552,0.562,56.2,19.9,67.8,3.65,3.95,7.27,3.4,46.2,131.3,2.84,SWH-TR-SF-3B,Default,0,0,0,0,0,0
HG279332,278928,6/21/2023 10:09,Default,37.568676,-76.896615,0.311,31.1,19.9,67.8,2.95,3.19,14.96,3.4,20.2,106.1,5.25,SWH-TR-SF-7A,Default,0,0,0,0,0,0
HG279332,278928,6/21/2023 10:10,Default,37.568697,-76.896624,0.476,47.6,19.9,67.8,2.32,2.51,6.05,3.4,36.1,83.5,2.31,SWH-TR-SF-7B,Default,0,0,0,0,0,0
HG279332,278928,6/21/2023 10:11,Default,37.568698,-76.896613,0.628,62.8,19.9,67.8,2.93,3.17,4.86,3.4,54.8,105.5,1.93,SWH-TR-SF-7C,Default,0,0,0,0,0,0
