"","TIMESTAMP","Plot","Site","wx_tempavg15"
"1","2022-04-06 11:00:00","W","GWI",17.83
"2","2022-04-06 12:00:00","W","GWI",17.71
"3","2022-04-06 13:00:00","W","GWI",18.23
"4","2022-04-06 14:00:00","W","GWI",18.7
"5","2022-04-06 15:00:00","W","GWI",19.3
"6","2022-04-06 16:00:00","W","GWI",18.67
"7","2022-04-06 17:00:00","W","GWI",15.83
"8","2022-04-06 18:00:00","W","GWI",15.2
"9","2022-04-06 19:00:00","W","GWI",13.8
"10","2022-04-06 20:00:00","W","GWI",12.77
"11","2022-04-06 21:00:00","W","GWI",12.46
"12","2022-04-06 22:00:00","W","GWI",12.2
"13","2022-04-06 23:00:00","W","GWI",11.34
"14","2022-04-07 00:00:00","W","GWI",10.76
"15","2022-04-07 01:00:00","W","GWI",10.38
"16","2022-04-07 02:00:00","W","GWI",10.54
"17","2022-04-07 03:00:00","W","GWI",11.07
"18","2022-04-07 04:00:00","W","GWI",11.16
"19","2022-04-07 05:00:00","W","GWI",11.28
"20","2022-04-07 06:00:00","W","GWI",11.76
"21","2022-04-07 07:00:00","W","GWI",12.4
"22","2022-04-07 08:00:00","W","GWI",12.95
"23","2022-04-07 09:00:00","W","GWI",13.91
"24","2022-04-07 10:00:00","W","GWI",14.46
"25","2022-04-07 11:00:00","W","GWI",18.66
"26","2022-04-07 12:00:00","W","GWI",20.87
"27","2022-04-07 13:00:00","W","GWI",22.5
"28","2022-04-07 14:00:00","W","GWI",24.67
"29","2022-04-07 15:00:00","W","GWI",19.48
"30","2022-04-07 16:00:00","W","GWI",16.8
"31","2022-04-07 17:00:00","W","GWI",17.01
"32","2022-04-07 18:00:00","W","GWI",15.11
"33","2022-04-07 19:00:00","W","GWI",12.36
"34","2022-04-07 20:00:00","W","GWI",11.8
"35","2022-04-07 21:00:00","W","GWI",11.49
"36","2022-04-07 22:00:00","W","GWI",11.27
"37","2022-04-07 23:00:00","W","GWI",10.96
"38","2022-04-08 00:00:00","W","GWI",10.51
